nu,Fv_obs,Fv_err
2.4e+17,1.15558450e-30,5.90284529e-32
7.2e+17,2.89395197e-31,3.35368300e-32
1.2e+18,1.51843270e-31,2.39383980e-32
1.68e+18,9.92571069e-32,1.82245203e-32
2.16e+18,7.22859598e-32,1.46420661e-32
