Temperature;CoefficientOfThermalExpansion
-0.149999999999977;1.46E-05
26.85;1.48E-05
76.85;1.52E-05
126.85;1.56E-05
226.85;1.63E-05
326.85;1.69E-05
426.85;1.74E-05
526.85;1.79E-05
626.85;1.83E-05
726.85;1.87E-05
826.85;1.90E-05
926.85;1.93E-05
1026.85;1.95E-05
1126.85;1.96E-05
1226.85;1.98E-05
1326.85;1.99E-08
