Temperature;YoungModulus;PoissonRatio;BulkModulus;ShearModulus
20;195000000000;0.25;130000000000;78000000000
100;191000000000;0.26;132638888888.889;75793650793.6508
200;186000000000;0.275;137777777777.778;72941176470.5882
300;180000000000;0.315;162162162162.162;68441064638.7833
400;173000000000;0.33;169607843137.255;65037593984.9624
500;164000000000;0.3;136666666666.667;63076923076.9231
600;155000000000;0.32;143518518518.519;58712121212.1212
700;144000000000;0.31;126315789473.684;54961832061.0687
800;131000000000;0.24;83974358974.359;52822580645.1613
900;117000000000;0.24;75000000000;47177419354.8387
1000;100000000000;0.24;641025641025.641;40322580645.1613
1100;81000000000;0.24;519230769230.769;32661290322.5806
1200;51000000000;0.24;326923076923.077;20564516129.0323
