z	Wx	Wy
0.	0.	0.
0.00005	5.0763e13	5.0763e13
0.0001	9.0047e13	9.0047e13
0.00015	1.2647e14	1.2647e14
0.0002	1.5947e14	1.5947e14
0.00025	1.8994e14	1.8994e14
0.0003	2.1809e14	2.1809e14
0.00035	2.4435e14	2.4435e14
0.0004	2.6885e14	2.6885e14
0.00045	2.9185e14	2.9185e14
0.0005	3.1343e14	3.1343e14
0.00055	3.3378e14	3.3378e14
0.0006	3.5296e14	3.5296e14
0.00065	3.7111e14	3.7111e14
0.0007	3.8828e14	3.8828e14
0.00075	4.0458e14	4.0458e14
0.0008	4.2005e14	4.2005e14
0.00085	4.3477e14	4.3477e14
0.0009	4.4879e14	4.4879e14
0.00095	4.6215e14	4.6215e14
0.001	4.7491e14	4.7491e14
0.00105	4.871e14	4.871e14
0.0011	4.9875e14	4.9875e14
0.00115	5.0989e14	5.0989e14
0.0012	5.205599999999999e14	5.205599999999999e14
0.00125	5.3077e14	5.3077e14
0.0013	5.4053e14	5.4053e14
0.00135	5.4988e14	5.4988e14
0.0014	5.588099999999999e14	5.588099999999999e14
0.00145	5.6734e14	5.6734e14
0.0015	5.7547e14	5.7547e14
0.00155	5.8322e14	5.8322e14
0.0016	5.9059e14	5.9059e14
0.00165	5.9759e14	5.9759e14
0.0017	6.0422e14	6.0422e14
0.00175	6.1049e14	6.1049e14
0.0018	6.1641e14	6.1641e14
0.00185	6.2199e14	6.2199e14
0.0019	6.2723e14	6.2723e14
0.00195	6.3215e14	6.3215e14
0.002	6.3675e14	6.3675e14
0.00205	6.4106e14	6.4106e14
0.0021	6.4508e14	6.4508e14
0.00215	6.4883e14	6.4883e14
0.0022	6.5232e14	6.5232e14
0.00225	6.5558e14	6.5558e14
0.0023	6.5861e14	6.5861e14
0.00235	6.6143e14	6.6143e14
0.0024	6.6405e14	6.6405e14
0.00245	6.6649e14	6.6649e14
0.0025	6.6876e14	6.6876e14
0.00255	6.7087e14	6.7087e14
0.0026	6.7282e14	6.7282e14
0.00265	6.7464e14	6.7464e14
0.0027	6.7631e14	6.7631e14
0.00275	6.7785e14	6.7785e14
0.0028	6.7926e14	6.7926e14
0.00285	6.8052e14	6.8052e14
0.0029	6.8166e14	6.8166e14
0.00295	6.8265e14	6.8265e14
0.003	6.8349e14	6.8349e14
0.00305	6.8419e14	6.8419e14
0.0031	6.8473e14	6.8473e14
0.00315	6.8511e14	6.8511e14
0.0032	6.8532e14	6.8532e14
0.00325	6.8535e14	6.8535e14
0.0033	6.852e14	6.852e14
0.00335	6.8487e14	6.8487e14
0.0034	6.8436e14	6.8436e14
0.00345	6.8365e14	6.8365e14
0.0035	6.8276e14	6.8276e14
0.00355	6.8167e14	6.8167e14
0.0036	6.804e14	6.804e14
0.00365	6.7895e14	6.7895e14
0.0037	6.7732e14	6.7732e14
0.00375	6.7551e14	6.7551e14
0.0038	6.7355e14	6.7355e14
0.00385	6.7143e14	6.7143e14
0.0039	6.6916e14	6.6916e14
0.00395	6.6676e14	6.6676e14
0.004	6.6423e14	6.6423e14
0.00405	6.616e14	6.616e14
0.0041	6.5886e14	6.5886e14
0.00415	6.5603e14	6.5603e14
0.0042	6.5312e14	6.5312e14
0.00425	6.5015e14	6.5015e14
0.0043	6.4712e14	6.4712e14
0.00435	6.4404e14	6.4404e14
0.0044	6.4092e14	6.4092e14
