z	Wz
0.	1.41295e13
0.00002	1.2026e13
0.00004	1.1249875e13
0.00006	1.0688125e13
0.00008	1.0236625e13
0.0001	9.85425e12
0.00012	9.520875e12
0.00014	9.22425e12
0.00016	8.9565e12
0.00018	8.71255e12
0.0002	8.487675e12
0.00022	8.2791625e12
0.00024	8.08465e12
0.00026	7.902475e12
0.00028	7.730975e12
0.0003	7.5691e12
0.00032	7.4157125e12
0.00034	7.270025e12
0.00036	7.1313375e12
0.00038	6.99895e12
0.0004	6.872425e12
0.00042	6.75115e12
0.00044	6.6348625e12
0.00046	6.5230375e12
0.00048	6.4155e12
0.0005	6.3119e12
0.00052	6.211975e12
0.00054	6.1154625e12
0.00056	6.022275e12
0.00058	5.9320625e12
0.0006	5.84465e12
0.00062	5.7600375e12
0.00064	5.677875e12
0.00066	5.5981625e12
0.00068	5.5208125e12
0.0007	5.4455625e12
0.00072	5.3724125e12
0.00074	5.3011875e12
0.00076	5.2318875e12
0.00078	5.164425e12
0.0008	5.098625e12
0.00082	5.0344875e12
0.00084	4.9718375e12
0.00086	4.9107625e12
0.00088	4.851175e12
0.0009	4.7929e12
0.00092	4.736025e12
0.00094	4.680375e12
0.00096	4.62595e12
0.00098	4.57275e12
0.001	4.5206875e12
0.00102	4.469675e12
0.00104	4.4198e12
0.00106	4.3708875e12
0.00108	4.323025e12
0.0011	4.2760375e12
0.00112	4.2301e12
0.00114	4.18495e12
0.00116	4.1407625e12
0.00118	4.0973625e12
0.0012	4.05475e12
0.00122	4.012925e12
0.00124	3.9718875e12
0.00126	3.9316375e12
0.00128	3.8920875e12
0.0013	3.8532375e12
0.00132	3.8150875e12
0.00134	3.77755e12
0.00136	3.7407125e12
0.00138	3.7044e12
0.0014	3.6687875e12
0.00142	3.6337875e12
0.00144	3.5993125e12
0.00146	3.5653625e12
0.00148	3.532025e12
0.0015	3.4992125e12
0.00152	3.466925e12
0.00154	3.435075e12
0.00156	3.4038375e12
0.00158	3.3730375e12
0.0016	3.342675e12
0.00162	3.31275e12
0.00164	3.28335e12
0.00166	3.2543e12
0.00168	3.225775e12
0.0017	3.1976e12
0.00172	3.1698625e12
0.00174	3.142475e12
0.00176	3.115525e12
0.00178	3.0890125e12
0.0018	3.0627625e12
0.00182	3.03695e12
0.00184	3.0114875e12
0.00186	2.986375e12
0.00188	2.961525e12
0.0019	2.9371125e12
0.00192	2.9129625e12
0.00194	2.8891625e12
0.00196	2.8657125e12
0.00198	2.842525e12
0.002	2.8196875e12
0.00202	2.7971125e12
0.00204	2.7748e12
0.00206	2.7528375e12
0.00208	2.73105e12
0.0021	2.7096125e12
0.00212	2.6884375e12
0.00214	2.667525e12
0.00216	2.646875e12
0.00218	2.6264875e12
0.0022	2.6063625e12
0.00222	2.5864125e12
0.00224	2.5668125e12
0.00226	2.5473875e12
0.00228	2.5281375e12
0.0023	2.5092375e12
0.00232	2.490425e12
0.00234	2.4719625e12
0.00236	2.4535875e12
0.00238	2.4355625e12
0.0024	2.417625e12
0.00242	2.39995e12
0.00244	2.38245e12
0.00246	2.3652125e12
0.00248	2.34815e12
0.0025	2.331175e12
0.00252	2.3144625e12
0.00254	2.2980125e12
0.00256	2.28165e12
0.00258	2.2654625e12
0.0026	2.24945e12
0.00262	2.2337e12
0.00264	2.2180375e12
0.00266	2.20255e12
0.00268	2.1872375e12
0.0027	2.1721e12
0.00272	2.1571375e12
0.00274	2.1422625e12
0.00276	2.12765e12
0.00278	2.113125e12
0.0028	2.098775e12
0.00282	2.0845125e12
0.00284	2.070425e12
0.00286	2.0565125e12
0.00288	2.042775e12
0.0029	2.029125e12
0.00292	2.0155625e12
0.00294	2.002175e12
0.00296	1.9889625e12
0.00298	1.9758375e12
0.003	1.9628875e12
0.00302	1.950025e12
0.00304	1.9373375e12
0.00306	1.9247375e12
0.00308	1.912225e12
0.0031	1.8998875e12
0.00312	1.8876375e12
0.00314	1.875475e12
0.00316	1.8634875e12
0.00318	1.8515875e12
0.0032	1.8398625e12
0.00322	1.8281375e12
0.00324	1.8165875e12
0.00326	1.805125e12
0.00328	1.7938375e12
0.0033	1.78255e12
0.00332	1.7714375e12
0.00334	1.7604125e12
0.00336	1.749475e12
0.00338	1.7387125e12
0.0034	1.72795e12
0.00342	1.717275e12
0.00344	1.706775e12
0.00346	1.6963625e12
0.00348	1.6860375e12
0.0035	1.6757125e12
0.00352	1.6655625e12
0.00354	1.6555e12
0.00356	1.645525e12
0.00358	1.6356375e12
0.0036	1.6258375e12
0.00362	1.616125e12
0.00364	1.6065e12
0.00366	1.596875e12
0.00368	1.587425e12
0.0037	1.5780625e12
0.00372	1.5687e12
0.00374	1.5595125e12
0.00376	1.550325e12
0.00378	1.5413125e12
0.0038	1.5323e12
0.00382	1.523375e12
0.00384	1.5145375e12
0.00386	1.5057875e12
0.00388	1.4970375e12
0.0039	1.4884625e12
0.00392	1.4798875e12
0.00394	1.4714e12
0.00396	1.463e12
0.00398	1.4546e12
0.004	1.446375e12
0.00402	1.43815e12
0.00404	1.4300125e12
0.00406	1.4219625e12
0.00408	1.4139125e12
0.0041	1.40595e12
0.00412	1.398075e12
0.00414	1.3902875e12
0.00416	1.3825e12
0.00418	1.3748e12
0.0042	1.3671875e12
0.00422	1.3596625e12
0.00424	1.3521375e12
0.00426	1.3447e12
0.00428	1.3372625e12
0.0043	1.3299125e12
0.00432	1.32265e12
0.00434	1.3153875e12
0.00436	1.3083e12
0.00438	1.301125e12
0.0044	1.294125e12
0.00442	1.287125e12
0.00444	1.280125e12
0.00446	1.2732125e12
0.00448	1.2663875e12
0.0045	1.2595625e12
0.00452	1.252825e12
0.00454	1.246175e12
0.00456	1.239525e12
0.00458	1.2329625e12
0.0046	1.2264e12
0.00462	1.219925e12
0.00464	1.21345e12
0.00466	1.2070625e12
0.00468	1.200675e12
0.0047	1.194375e12
0.00472	1.1881625e12
0.00474	1.18195e12
0.00476	1.175825e12
0.00478	1.1697e12
0.0048	1.163575e12
0.00482	1.1575375e12
0.00484	1.1515875e12
0.00486	1.1456375e12
0.00488	1.1396875e12
0.0049	1.1339125e12
0.00492	1.12805e12
0.00494	1.122275e12
0.00496	1.1165875e12
0.00498	1.1108125e12
0.005	1.1052125e12
0.00502	1.09961985e12
0.00504	1.09405727e12
0.00506	1.08852601e12
0.00508	1.08302733e12
0.0051	1.0775625e12
0.00512	1.07213275e12
0.00514	1.06673923e12
0.00516	1.0613831e12
0.00518	1.05606547e12
0.0052	1.0507875e12
0.00522	1.04554986e12
0.00524	1.0403514e12
0.00526	1.03519051e12
0.00528	1.03006558e12
0.0053	1.024975e12
0.00532	1.01991761e12
0.00534	1.01489407e12
0.00536	1.00990546e12
0.00538	1.00495291e12
0.0054	1.0000375e12
0.00542	9.95159693e11
0.00544	9.90317337e11
0.00546	9.85507635e11
0.00548	9.80727789e11
0.0055	9.75975e11
0.00552	9.71247218e11
0.00554	9.66545386e11
0.00556	9.61871195e11
0.00558	9.57226336e11
0.0056	9.526125e11
0.00562	9.48031135e11
0.00564	9.43482718e11
0.00566	9.38967484e11
0.00568	9.34485666e11
0.0057	9.300375e11
0.00572	9.25622742e11
0.00574	9.21239241e11
0.00576	9.1688437e11
0.00578	9.12555499e11
0.0058	9.0825e11
0.00582	9.03965997e11
0.00584	8.99704616e11
0.00586	8.95467738e11
0.00588	8.91257239e11
0.0059	8.87075e11
0.00592	8.82922401e11
0.00594	8.78798833e11
0.00596	8.7470319e11
0.00598	8.70634364e11
0.006	8.6659125e11
0.00602	8.62572929e11
0.00604	8.58579241e11
0.00606	8.54610213e11
0.00608	8.50665873e11
0.0061	8.4674625e11
0.00612	8.42851322e11
0.00614	8.38980874e11
0.00616	8.35134639e11
0.00618	8.31312353e11
0.0062	8.2751375e11
0.00622	8.23738572e11
0.00624	8.19986585e11
0.00626	8.16257562e11
0.00628	8.12551276e11
0.0063	8.088675e11
0.00632	8.0520603e11
0.00634	8.01566757e11
0.00636	7.97949594e11
0.00638	7.94354453e11
0.0064	7.9078125e11
0.00642	7.87229867e11
0.00644	7.83700067e11
0.00646	7.80191584e11
0.00648	7.76704151e11
0.0065	7.732375e11
0.00652	7.69791392e11
0.00654	7.66365694e11
0.00656	7.629603e11
0.00658	7.59575104e11
0.0066	7.5621e11
0.00662	7.52864875e11
0.00664	7.49539586e11
0.00666	7.46233985e11
0.00668	7.42947923e11
0.0067	7.3968125e11
0.00672	7.3643382e11
0.00674	7.33205492e11
0.00676	7.2999613e11
0.00678	7.26805595e11
0.0068	7.2363375e11
0.00682	7.20480456e11
0.00684	7.17345574e11
0.00686	7.14228964e11
0.00688	7.11130486e11
0.0069	7.0805e11
0.00692	7.04987365e11
0.00694	7.0194244e11
0.00696	6.98915083e11
0.00698	6.9590515e11
0.007	6.929125e11
0.00702	6.89936992e11
0.00704	6.86978494e11
0.00706	6.84036875e11
0.00708	6.81112004e11
0.0071	6.7820375e11
0.00712	6.75311976e11
0.00714	6.72436514e11
0.00716	6.69577189e11
0.00718	6.66733826e11
0.0072	6.6390625e11
0.00722	6.61094314e11
0.00724	6.58297981e11
0.00726	6.5551724e11
0.00728	6.52752083e11
0.0073	6.500025e11
0.00732	6.47268448e11
0.00734	6.44549754e11
0.00736	6.4184621e11
0.00738	6.39157611e11
0.0074	6.3648375e11
0.00742	6.33824454e11
0.00744	6.31179685e11
0.00746	6.28549439e11
0.00748	6.25933712e11
0.0075	6.233325e11
0.00752	6.20745767e11
0.00754	6.18173347e11
0.00756	6.15615044e11
0.00758	6.13070661e11
0.0076	6.1054e11
0.00762	6.0802289e11
0.00764	6.05519258e11
0.00766	6.03029055e11
0.00768	6.00552235e11
0.0077	5.9808875e11
0.00772	5.95638554e11
0.00774	5.93201613e11
0.00776	5.90777895e11
0.00778	5.88367368e11
0.0078	5.8597e11
0.00782	5.83585724e11
0.00784	5.81214331e11
0.00786	5.78855576e11
0.00788	5.76509214e11
0.0079	5.74175e11
0.00792	5.7185276e11
0.00794	5.69542594e11
0.00796	5.67244673e11
0.00798	5.64959168e11
0.008	5.6268625e11
0.00802	5.60425988e11
0.00804	5.58178045e11
0.00806	5.55941983e11
0.00808	5.53717364e11
0.0081	5.5150375e11
0.00812	5.49300829e11
0.00814	5.47108797e11
0.00816	5.44927975e11
0.00818	5.42758686e11
0.0082	5.4060125e11
0.00822	5.38455865e11
0.00824	5.36322227e11
0.00826	5.34199906e11
0.00828	5.32088474e11
0.0083	5.299875e11
0.00832	5.2789665e11
0.00834	5.25815965e11
0.00836	5.2374558e11
0.00838	5.2168563e11
0.0084	5.1963625e11
0.00842	5.17597535e11
0.00844	5.15569413e11
0.00846	5.13551775e11
0.00848	5.11544507e11
0.0085	5.095475e11
0.00852	5.07560641e11
0.00854	5.05583821e11
0.00856	5.03616931e11
0.00858	5.0165986e11
0.0086	4.997125e11
0.00862	4.9777478e11
0.00864	4.95846791e11
0.00866	4.93928661e11
0.00868	4.92020521e11
0.0087	4.901225e11
0.00872	4.88234638e11
0.00874	4.86356616e11
0.00876	4.84488025e11
0.00878	4.82628456e11
0.0088	4.807775e11
0.00882	4.78934858e11
0.00884	4.77100666e11
0.00886	4.75275171e11
0.00888	4.73458617e11
0.0089	4.7165125e11
0.00892	4.6985325e11
0.00894	4.68064529e11
0.00896	4.66284932e11
0.00898	4.64514308e11
0.009	4.627525e11
0.00902	4.60999373e11
0.00904	4.59254859e11
0.00906	4.57518909e11
0.00908	4.55791473e11
0.0091	4.540725e11
0.00912	4.52361938e11
0.00914	4.50659724e11
0.00916	4.4896579e11
0.00918	4.47280071e11
0.0092	4.456025e11
0.00922	4.43933004e11
0.00924	4.42271485e11
0.00926	4.40617839e11
0.00928	4.38971962e11
0.0093	4.3733375e11
0.00932	4.35703126e11
0.00934	4.34080126e11
0.00936	4.32464813e11
0.00938	4.3085725e11
0.0094	4.292575e11
0.00942	4.27665591e11
0.00944	4.26081409e11
0.00946	4.24504807e11
0.00948	4.22935637e11
0.0095	4.2137375e11
0.00952	4.19819041e11
0.00954	4.18271577e11
0.00956	4.16731467e11
0.00958	4.15198821e11
0.0096	4.1367375e11
0.00962	4.12156296e11
0.00964	4.10646235e11
0.00966	4.09143276e11
0.00968	4.07647128e11
0.0097	4.061575e11
0.00972	4.04674186e11
0.00974	4.03197315e11
0.00976	4.01727101e11
0.00978	4.00263758e11
0.0098	3.988075e11
0.00982	3.97358481e11
0.00984	3.95916617e11
0.00986	3.94481761e11
0.00988	3.93053771e11
0.0099	3.916325e11
0.00992	3.90217819e11
0.00994	3.88809659e11
0.00996	3.87407964e11
0.00998	3.86012679e11
0.01	3.8462375e11
0.01002	3.83241125e11
0.01004	3.81864771e11
0.01006	3.80494657e11
0.01008	3.79130754e11
0.0101	3.77773031e11
0.01012	3.76421459e11
