z	Wx	Wy
0.	0.	0.
5.e-6	4.65217727e11	4.65217727e11
0.00001	9.27889436e11	9.27889436e11
0.000015	1.3880394e12	1.3880394e12
0.00002	1.84569189e12	1.84569189e12
0.000025	2.30087117e12	2.30087117e12
0.00003	2.75360152e12	2.75360152e12
0.000035	3.20390721e12	3.20390721e12
0.00004	3.6518125e12	3.6518125e12
0.000045	4.09734167e12	4.09734167e12
0.00005	4.54051899e12	4.54051899e12
0.000055	4.98136873e12	4.98136873e12
0.00006	5.41991516e12	5.41991516e12
0.000065	5.85618255e12	5.85618255e12
0.00007	6.29019517e12	6.29019517e12
0.000075	6.7219773e12	6.7219773e12
0.00008	7.1515532e12	7.1515532e12
0.000085	7.57894714e12	7.57894714e12
0.00009	8.00418339e12	8.00418339e12
0.000095	8.42728623e12	8.42728623e12
0.0001	8.84827993e12	8.84827993e12
0.000105	9.26718875e12	9.26718875e12
0.00011	9.68403697e12	9.68403697e12
0.000115	1.00988489e13	1.00988489e13
0.00012	1.05116487e13	1.05116487e13
0.000125	1.09224607e13	1.09224607e13
0.00013	1.13313092e13	1.13313092e13
0.000135	1.17382185e13	1.17382185e13
0.00014	1.21432128e13	1.21432128e13
0.000145	1.25463164e13	1.25463164e13
0.00015	1.29475535e13	1.29475535e13
0.000155	1.33469485e13	1.33469485e13
0.00016	1.37445256e13	1.37445256e13
0.000165	1.4140309e13	1.4140309e13
0.00017	1.45343231e13	1.45343231e13
0.000175	1.49265921e13	1.49265921e13
0.00018	1.53171403e13	1.53171403e13
0.000185	1.5705992e13	1.5705992e13
0.00019	1.60931714e13	1.60931714e13
0.000195	1.64787028e13	1.64787028e13
0.0002	1.68626104e13	1.68626104e13
0.000205	1.72449186e13	1.72449186e13
0.00021	1.76256516e13	1.76256516e13
0.000215	1.80048337e13	1.80048337e13
0.00022	1.83824891e13	1.83824891e13
0.000225	1.87586422e13	1.87586422e13
0.00023	1.91333172e13	1.91333172e13
0.000235	1.95065383e13	1.95065383e13
0.00024	1.98783298e13	1.98783298e13
0.000245	2.02487161e13	2.02487161e13
0.00025	2.06177213e13	2.06177213e13
0.000255	2.09853698e13	2.09853698e13
0.00026	2.13516858e13	2.13516858e13
0.000265	2.17166936e13	2.17166936e13
0.00027	2.20804175e13	2.20804175e13
0.000275	2.24428817e13	2.24428817e13
0.00028	2.28041104e13	2.28041104e13
0.000285	2.31641281e13	2.31641281e13
0.00029	2.35229589e13	2.35229589e13
0.000295	2.38806271e13	2.38806271e13
0.0003	2.4237157e13	2.4237157e13
0.000305	2.45925694e13	2.45925694e13
0.00031	2.49468714e13	2.49468714e13
0.000315	2.53000665e13	2.53000665e13
0.00032	2.56521583e13	2.56521583e13
0.000325	2.60031506e13	2.60031506e13
0.00033	2.63530467e13	2.63530467e13
0.000335	2.67018505e13	2.67018505e13
0.00034	2.70495653e13	2.70495653e13
0.000345	2.7396195e13	2.7396195e13
0.00035	2.7741743e13	2.7741743e13
0.000355	2.80862129e13	2.80862129e13
0.00036	2.84296084e13	2.84296084e13
0.000365	2.87719331e13	2.87719331e13
0.00037	2.91131905e13	2.91131905e13
0.000375	2.94533842e13	2.94533842e13
0.00038	2.97925179e13	2.97925179e13
0.000385	3.01305952e13	3.01305952e13
0.00039	3.04676196e13	3.04676196e13
0.000395	3.08035948e13	3.08035948e13
0.0004	3.11385244e13	3.11385244e13
0.000405	3.14724118e13	3.14724118e13
0.00041	3.18052609e13	3.18052609e13
0.000415	3.21370751e13	3.21370751e13
0.00042	3.2467858e13	3.2467858e13
0.000425	3.27976133e13	3.27976133e13
0.00043	3.31263446e13	3.31263446e13
0.000435	3.34540554e13	3.34540554e13
