,smiles,weight,logp,rotatable_bonds,tpsa,rings,AroRings,h_donors,h_acceptors
0,C(CC(=O)O)CN,103.12100000000001,-0.19009999999999982,3,63.31999999999999,0,0,2,2
1,CC1CCC(C(C1)O)C(C)C,156.26899999999998,2.4395000000000007,1,20.23,1,0,1,1
2,CCC1(C(=O)NC(=O)NC1=O)C2=CC=CC=C2,232.239,0.7003999999999997,2,75.27000000000001,2,1,2,3
3,C1CNCC2C1(O2)C(=O)O,143.142,-0.7981000000000003,1,61.86,2,0,2,3
4,CC1=C(CCCl)SC=N1,161.657,2.2328200000000002,2,12.89,1,1,0,2
5,COC1=C(OC)C(OC)=CC(/C=C/C(O)=O)=C1,238.23899999999998,1.8102,5,64.99000000000001,1,1,1,4
6,CCOC(=O)C1=CN=CN1C(C)C2=CC=CC=C2.Cl,280.755,3.0909000000000026,4,44.12,2,2,0,4
7,O=C(O)/C=C/CN,101.10500000000002,-0.41409999999999986,2,63.31999999999999,0,0,2,2
8,C[N+](C)(C)CCCCCC[N+](C)(C)C,202.38599999999997,1.9591999999999998,7,0.0,0,0,0,0
9,Cl/C(C1=C(C=C(Cl)C=C1)Cl)=C\N2C=NC=N2,274.538,3.779300000000002,2,30.71,2,2,0,3
10,CC(C)C1=C(C(=CC=C1)C(C)C)O,178.27499999999998,3.6390000000000033,2,20.23,1,1,1,1
11,CCC#CC(C)C1(C(=O)NC(=O)N(C1=O)C)CC=C,262.30899999999997,1.3065999999999998,3,66.48,1,0,1,3
12,CCCC(C)C1(C(=O)NC(=S)NC1=O)CC,242.344,1.3498999999999994,4,58.2,1,0,2,3
13,C(OC(C(F)(F)F)C(F)(F)F)F,200.05299999999997,2.4232000000000005,2,9.23,0,0,0,1
14,COC1=CC(=CC(=C1OC)OC)/C=C/C(=O)O,238.23899999999998,1.8101999999999998,5,64.99000000000001,1,1,1,4
15,O=C(N)CCC/N=C(C1=CC=C(Cl)C=C1)\C2=CC(F)=CC=C2O,334.7780000000001,3.2876000000000025,6,75.68,2,2,2,3
16,FC1=CC=CC=C1C2=NN=C3C=C(C(C)(C)C)C(OCC4=NC=NN4CC)=NN32,395.4420000000001,3.4183000000000012,5,83.02,4,4,0,8
17,[2H]C(CCN)([2H])C(O)=O,105.13320355599998,-0.19010000000000016,3,63.32,0,0,2,2
18,CN1C=NC2=C1C=CN=C2OCC3=CC=CC=C3Cl,273.72299999999996,3.200700000000001,3,39.94,3,3,0,4
19,C1=C(ONC1=O)CN,114.104,-0.5734000000000001,1,72.02,1,1,2,3
20,CC(C)C12CCC(O1)(C(CCC3(C(O3)CCC4(C(C2)O4)C)C)OC(=O)C)C,380.52500000000015,4.161100000000004,2,60.589999999999996,4,0,0,5
21,O=C(OCC)C1=C(C2=C(NC3=C2C=C(C=C3)OCC4=CC=CC=C4)C=N1)COC,390.4390000000001,4.618200000000003,7,73.44000000000001,4,4,1,5
22,CC(C1=CC=CC=C1)NC(=O)C(=O)C2=CNC3=C2C=C(C=C3)[N+](=O)[O-],337.33500000000004,3.1362000000000005,5,105.1,3,3,2,4
23,CC1=CC(=O)CC(=CCC2(CCC(O2)(C(=O)CC1)C)C(C)C)C,318.457,4.555100000000004,1,43.370000000000005,2,0,0,3
24,O=C(CC1=CC=C(C(OC)=C1)OCC(N(CC)CC)=O)OCCC,337.4160000000001,2.4381000000000004,10,65.07000000000001,1,1,0,5
25,CC(O)(C1=NC2=NC=C(C3=CC=C(F)C(C4=CC=CN=C4)=C3)N2C=C1)C,348.38100000000003,3.8248000000000024,3,63.31,4,4,1,5
26,O=C(O)C1=CN=C(N)C=C1,138.126,0.36200000000000015,1,76.21,1,1,2,3
27,O=C1C=C(OC)CC(/C=C/C2=CC=CC=C2)O1,230.263,2.5456000000000003,3,35.53,2,1,0,3
28,CSCCC(C(=O)O)N,149.215,0.15140000000000003,4,63.31999999999999,0,0,2,3
29,CC(=O)C1CCC2C1(CC(=O)C3C2CCC4C3(CCC(C4)O)C)C,332.4840000000001,3.774200000000003,1,54.370000000000005,4,0,1,3
30,CCO,46.069,-0.0014000000000000123,0,20.23,0,0,1,1
