\  ****************** Hyper photometry ******************
\ Survey code: 15
\ Detection threshold: 4.0 sigma
\ Convert from MJy/sr: None
\ Convert from Jy/beam: None
\ Convert to mJy: True
\ Estimated r.m.s. to identify sources: 0.00266 mJy
\  ******************************************************
\ MAP_ID = Map identifier
\ HYPER_ID = Source identifier
\ FLUX_PEAK = Peak flux (mJy/beam)
\ FLUX = Integrated flux density (mJy)
\ FLUX_ERR = Flux density uncertainty (mJy)
\ RESIDUALS = Mean background level (mJy)
\ POLYN = Polynomial background order
\ NMSE = Normalized Mean Squared Error of fit: scale-independent metric of
\ model-data agreement
\ CHI2_RED = Reduced chi-squared of Gaussian + background fit (valid only if
\ residuals are Gaussian-distributed with constant variance)
\ BIC = Bayesian Information Criterion: model selection metric that penalizes
\ overfitting; lower BIC indicates better trade-off between goodness of fit and
\ model complexity
\ FWHM_1 = First axis FWHM (arcsec)
\ FWHM_2 = Second axis FWHM (arcsec)
\ PA = Position angle (deg East of North)
\ STATUS = Fit status flag: 1 = fit succeeded, 0 = fit failed
\ GLON = Galactic longitude (deg)
\ GLAT = Galactic latitude (deg)
\ RA = Right Ascension (deg, J2000)
\ DEC = Declination (deg, J2000)
\ DEBLEND = Deblending flag
\ CLUSTER = Cluster flag
|             MAP_ID|HYPER_ID| FLUX_PEAK|  FLUX|FLUX_ERR|RESIDUALS|POLYN|  NMSE|CHI2_RED|      BIC|FWHM_1|FWHM_2|    PA|STATUS|     GLON|     GLAT|      RA|      DEC|DEBLEND|CLUSTER|
|               char|    long|    double|double|  double|   double| long|double|  double|   double|double|double|double|  long|   double|   double|  double|   double|   long|   long|
|                   |        |mJy / beam|   mJy|     mJy|      mJy|     |      |        |         |arcsec|arcsec|   deg|      |      deg|      deg|     deg|      deg|       |       |
|               null|    null|      null|  null|    null|     null| null|  null|    null|     null|  null|  null|  null|  null|     null|     null|    null|     null|   null|   null|
 map_500_Gaussians_2        1    0.00077  0.811    0.037   0.00083     2  0.578    0.000  -9644.47  0.086  0.086  -90.0      1 279.43739 -31.66174 84.71240 -69.07859       0       1 
 map_500_Gaussians_2        2    0.00284  0.899    0.083  -0.00014     2  0.355    0.000 -14366.64  0.079  0.054  -37.2      1 279.43747 -31.66262 84.70993 -69.07856       0       1 
 map_500_Gaussians_2        3    0.00281  0.656    0.067   0.00005     2  0.270    0.000 -17167.08  0.060  0.050  -34.8      1 279.43737 -31.66197 84.71176 -69.07855       0       1 
 map_500_Gaussians_2        4    0.00371  1.116    0.103  -0.00008     2  0.130    0.000 -16617.86  0.054  0.086  -41.3      1 279.43738 -31.66210 84.71141 -69.07855       0       1 
 map_500_Gaussians_2        5    0.00350  0.584    0.073   0.00002     2  0.205    0.000  -9271.69  0.077  0.046   44.7      1 279.43742 -31.66248 84.71035 -69.07854       0       1 
 map_500_Gaussians_2        6    0.00165  0.234    0.031   0.00006     2  0.632    0.000 -15830.39  0.043  0.046   60.1      1 279.43732 -31.66179 84.71230 -69.07853       0       1 
 map_500_Gaussians_2        7    0.00240  0.938    0.076  -0.00004     2  0.236    0.000 -11194.82  0.057  0.086   45.9      1 279.43728 -31.66149 84.71313 -69.07853       0       1 
 map_500_Gaussians_2        8    0.00403  1.092    0.100  -0.00006     2  0.078    0.000 -10953.59  0.076  0.046  -44.2      1 279.43742 -31.66257 84.71008 -69.07853       0       1 
 map_500_Gaussians_2        9    0.00271  0.549    0.062   0.00001     2  0.474    0.000 -24337.21  0.052  0.048  -38.2      1 279.43747 -31.66293 84.70906 -69.07852       0       1 
