\  ****************** Hyper photometry ******************
\ Survey code: 15
\ Detection threshold: 4.0 sigma
\ Convert from MJy/sr: None
\ Convert from Jy/beam: None
\ Convert to mJy: True
\ Estimated r.m.s. to identify sources: 0.00274 mJy
\  ******************************************************
\ MAP_ID = Map identifier
\ HYPER_ID = Source identifier
\ FLUX_PEAK = Peak flux (mJy/beam)
\ FLUX = Integrated flux density (mJy)
\ FLUX_ERR = Flux density uncertainty (mJy)
\ RESIDUALS = Mean background level (mJy)
\ POLYN = Polynomial background order
\ NMSE = Normalized Mean Squared Error of fit: scale-independent metric of
\ model-data agreement
\ CHI2_RED = Reduced chi-squared of Gaussian + background fit (valid only if
\ residuals are Gaussian-distributed with constant variance)
\ BIC = Bayesian Information Criterion: model selection metric that penalizes
\ overfitting; lower BIC indicates better trade-off between goodness of fit and
\ model complexity
\ FWHM_1 = First axis FWHM (arcsec)
\ FWHM_2 = Second axis FWHM (arcsec)
\ PA = Position angle (deg East of North)
\ STATUS = Fit status flag: 1 = fit succeeded, 0 = fit failed
\ GLON = Galactic longitude (deg)
\ GLAT = Galactic latitude (deg)
\ RA = Right Ascension (deg, J2000)
\ DEC = Declination (deg, J2000)
\ DEBLEND = Deblending flag
\ CLUSTER = Cluster flag
|             MAP_ID|HYPER_ID| FLUX_PEAK|  FLUX|FLUX_ERR|RESIDUALS|POLYN|  NMSE|CHI2_RED|      BIC|FWHM_1|FWHM_2|    PA|STATUS|     GLON|     GLAT|      RA|      DEC|DEBLEND|CLUSTER|
|               char|    long|    double|double|  double|   double| long|double|  double|   double|double|double|double|  long|   double|   double|  double|   double|   long|   long|
|                   |        |mJy / beam|   mJy|     mJy|      mJy|     |      |        |         |arcsec|arcsec|   deg|      |      deg|      deg|     deg|      deg|       |       |
|               null|    null|      null|  null|    null|     null| null|  null|    null|     null|  null|  null|  null|  null|     null|     null|    null|     null|   null|   null|
 map_500_Gaussians_1        1    0.00177  0.580    0.050  -0.00009     2  0.202    0.000 -12438.01  0.056  0.076  -38.9      1 279.43758 -31.66341 84.70771 -69.07857       0       1 
 map_500_Gaussians_1        2    0.00251  0.747    0.067   0.00000     2  0.241    0.000 -13461.09  0.050  0.077  -42.1      1 279.43743 -31.66252 84.71023 -69.07854       0       1 
 map_500_Gaussians_1        3    0.00191  0.678    0.053  -0.00002     2  0.332    0.000 -11836.90  0.083  0.054  -39.6      1 279.43728 -31.66145 84.71325 -69.07853       0       1 
 map_500_Gaussians_1        4    0.00207  0.302    0.040  -0.00004     2  0.481    0.000 -12111.46  0.049  0.043   50.7      1 279.43732 -31.66176 84.71237 -69.07853       0       1 
 map_500_Gaussians_1        5    0.00242  0.611    0.056  -0.00004     2  0.334    0.000 -14604.59  0.043  0.074   43.2      1 279.43741 -31.66246 84.71041 -69.07853       0       1 
 map_500_Gaussians_1        6    0.00215  0.512    0.054   0.00003     1  0.562    0.000 -20638.18  0.067  0.047  -40.8      1 279.43727 -31.66154 84.71300 -69.07852       0       1 
 map_500_Gaussians_1        7    0.00261  0.604    0.064  -0.00007     2  0.209    0.000 -12443.61  0.054  0.056  -80.1      1 279.43735 -31.66211 84.71140 -69.07852       0       1 
 map_500_Gaussians_1        8    0.00182  0.525    0.050  -0.00007     2  0.509    0.000 -11839.61  0.081  0.053   42.1      1 279.43737 -31.66237 84.71065 -69.07851       0       1 
 map_500_Gaussians_1        9    0.00171  0.431    0.042  -0.00002     2  0.301    0.000 -12726.18  0.043  0.076  -42.8      1 279.43750 -31.66349 84.70752 -69.07849       0       1 
 map_500_Gaussians_1       10    0.00420  0.681    0.082  -0.00010     2  0.133    0.000 -12096.15  0.054  0.043  -44.4      1 279.43746 -31.66329 84.70808 -69.07848       0       1 
 map_500_Gaussians_1       11    0.00147  0.345    0.039  -0.00007     2  0.555    0.000 -12223.32  0.045  0.072  -44.6      1 279.43734 -31.66246 84.71042 -69.07847       0       1 
 map_500_Gaussians_1       12    0.00235  0.453    0.052   0.00004     2  0.427    0.000 -17783.84  0.074  0.053   46.3      1 279.43736 -31.66266 84.70986 -69.07847       0       1 
 map_500_Gaussians_1       13    0.00313  0.349    0.055   0.00004     2  0.311    0.000 -10797.57  0.048  0.043  -43.2      1 279.43726 -31.66210 84.71143 -69.07845       0       1 
 map_500_Gaussians_1       14    0.00397  0.444    0.067   0.00007     2  0.231    0.000 -10976.28  0.043  0.043  -90.0      1 279.43725 -31.66221 84.71113 -69.07843       0       1 
 map_500_Gaussians_1       15    0.00172  0.496    0.045  -0.00013     2  0.309    0.000 -12820.74  0.049  0.079  -41.3      1 279.43715 -31.66149 84.71318 -69.07842       0       1 
 map_500_Gaussians_1       16    0.00349  0.488    0.070   0.00012     1  0.526    0.000 -22115.61  0.051  0.043   47.8      1 279.43724 -31.66227 84.71098 -69.07841       0       1 
 map_500_Gaussians_1       17    0.00363  0.502    0.066  -0.00007     0  0.536    0.000 -22461.38  0.045  0.043   46.9      1 279.43731 -31.66304 84.70882 -69.07838       0       1 
