\  ****************** Hyper photometry ******************
\ Survey code: 15
\ Detection threshold: 4.0 sigma
\ Convert from MJy/sr: None
\ Convert from Jy/beam: None
\ Convert to mJy: True
\ Estimated r.m.s. to identify sources: 0.00274 mJy
\  ******************************************************
\ MAP_ID = Map identifier
\ HYPER_ID = Source identifier
\ FLUX_PEAK = Peak flux (mJy/beam)
\ FLUX = Integrated flux density (mJy)
\ FLUX_ERR = Flux density uncertainty (mJy)
\ RESIDUALS = Mean background level (mJy)
\ POLYN = Polynomial background order
\ NMSE = Normalized Mean Squared Error of fit: scale-independent metric of
\ model-data agreement
\ CHI2_RED = Reduced chi-squared of Gaussian + background fit (valid only if
\ residuals are Gaussian-distributed with constant variance)
\ BIC = Bayesian Information Criterion: model selection metric that penalizes
\ overfitting; lower BIC indicates better trade-off between goodness of fit and
\ model complexity
\ FWHM_1 = First axis FWHM (arcsec)
\ FWHM_2 = Second axis FWHM (arcsec)
\ PA = Position angle (deg East of North)
\ STATUS = Fit status flag: 1 = fit succeeded, 0 = fit failed
\ GLON = Galactic longitude (deg)
\ GLAT = Galactic latitude (deg)
\ RA = Right Ascension (deg, J2000)
\ DEC = Declination (deg, J2000)
\ DEBLEND = Deblending flag
\ CLUSTER = Cluster flag
|             MAP_ID|HYPER_ID| FLUX_PEAK|  FLUX|FLUX_ERR|RESIDUALS|POLYN|  NMSE|CHI2_RED|      BIC|FWHM_1|FWHM_2|    PA|STATUS|     GLON|     GLAT|      RA|      DEC|DEBLEND|CLUSTER|
|               char|    long|    double|double|  double|   double| long|double|  double|   double|double|double|double|  long|   double|   double|  double|   double|   long|   long|
|                   |        |mJy / beam|   mJy|     mJy|      mJy|     |      |        |         |arcsec|arcsec|   deg|      |      deg|      deg|     deg|      deg|       |       |
 map_500_Gaussians_1       18    0.00193  0.557    0.053  -0.00021     2  0.369    0.000 -11567.74  0.077  0.051  -39.1      1 279.43726 -31.66268 84.70982 -69.07838       0       1 
 map_500_Gaussians_1       19    0.00284  0.349    0.051  -0.00003     2  0.389    0.000 -11069.31  0.043  0.045   45.7      1 279.43705 -31.66140 84.71345 -69.07835       0       1 
 map_500_Gaussians_1       20    0.00211  0.273    0.037  -0.00000     2  0.412    0.000 -12647.77  0.052  0.043  -43.7      1 279.43727 -31.66322 84.70831 -69.07833       0       1 
 map_500_Gaussians_1       21    0.00341  0.749    0.077  -0.00014     2  0.223    0.000 -15562.14  0.045  0.061  -43.2      1 279.43709 -31.66202 84.71171 -69.07831       0       1 
 map_500_Gaussians_1       22    0.00395  0.847    0.091  -0.00002     2  0.166    0.000 -14498.15  0.046  0.062  -40.5      1 279.43724 -31.66314 84.70854 -69.07831       0       1 
 map_500_Gaussians_1       23    0.00285  0.853    0.076  -0.00029     2  0.231    0.000 -10905.65  0.055  0.072   41.6      1 279.43720 -31.66286 84.70935 -69.07830       0       1 
 map_500_Gaussians_1       24    0.00218  0.260    0.037   0.00009     2  0.671    0.000 -24536.05  0.043  0.043   90.0      1 279.43708 -31.66208 84.71153 -69.07830       0       1 
 map_500_Gaussians_1       25    0.00252  0.294    0.044   0.00011     2  0.565    0.000 -12988.60  0.043  0.043   90.0      1 279.43700 -31.66148 84.71323 -69.07829       0       1 
 map_500_Gaussians_1       26    0.00296  0.276    0.049   0.00011     2  0.582    0.000 -16465.36  0.043  0.043  -90.0      1 279.43701 -31.66168 84.71268 -69.07828       0       1 
 map_500_Gaussians_1       27    0.00274  0.566    0.060  -0.00013     2  0.278    0.000  -9848.33  0.045  0.057   42.5      1 279.43721 -31.66328 84.70817 -69.07827       0       1 
 map_500_Gaussians_1       28    0.00138  0.328    0.034   0.00018     2  0.551    0.000 -14166.57  0.045  0.068   37.3      1 279.43721 -31.66345 84.70769 -69.07825       0       1 
 map_500_Gaussians_1       29    0.00196  0.708    0.060  -0.00003     2  0.319    0.000 -11487.69  0.086  0.052  -39.5      1 279.43697 -31.66175 84.71250 -69.07824       0       1 
 map_500_Gaussians_1       30    0.00229  0.757    0.067  -0.00009     2  0.205    0.000 -12122.87  0.072  0.062   44.4      1 279.43704 -31.66235 84.71082 -69.07823       0       1 
 map_500_Gaussians_1       31    0.00202  0.198    0.037   0.00007     2  0.657    0.000 -18839.04  0.043  0.043  -90.0      1 279.43709 -31.66287 84.70934 -69.07821       0       1 
 map_500_Gaussians_1       32    0.00328  0.624    0.072  -0.00007     2  0.232    0.000 -14526.18  0.061  0.043  -44.0      1 279.43715 -31.66327 84.70822 -69.07822       0       1 
 map_500_Gaussians_1       33    0.00284  0.653    0.064  -0.00018     2  0.236    0.000 -12272.25  0.068  0.043  -44.8      1 279.43713 -31.66338 84.70792 -69.07819       0       1 
 map_500_Gaussians_1       34    0.00287  0.453    0.060   0.00001     2  0.327    0.000 -12799.99  0.055  0.043  -44.2      1 279.43705 -31.66291 84.70925 -69.07817       0       1 
 map_500_Gaussians_1       35    0.00378  0.671    0.076   0.00005     2  0.364    0.000 -11658.84  0.045  0.049  -44.7      1 279.43690 -31.66183 84.71230 -69.07817       0       1 
 map_500_Gaussians_1       36    0.00150  0.262    0.032   0.00002     2  0.526    0.000 -14381.62  0.061  0.043  -45.8      1 279.43703 -31.66286 84.70938 -69.07817       0       1 
 map_500_Gaussians_1       37    0.00249  0.476    0.056  -0.00020     2  0.466    0.000 -13831.95  0.063  0.043  -45.7      1 279.43685 -31.66150 84.71323 -69.07817       0       1 
 map_500_Gaussians_1       38    0.00249  0.270    0.043  -0.00001     2  0.481    0.000 -11789.56  0.045  0.043   48.6      1 279.43690 -31.66192 84.71205 -69.07816       0       1 
 map_500_Gaussians_1       39    0.00180  0.482    0.045   0.00010     2  0.317    0.000 -12525.51  0.085  0.044   41.7      1 279.43705 -31.66305 84.70885 -69.07816       0       1 
 map_500_Gaussians_1       40    0.00343  0.676    0.073   0.00001     2  0.265    0.000 -14765.23  0.063  0.043  -42.9      1 279.43703 -31.66296 84.70912 -69.07816       0       1 
 map_500_Gaussians_1       41    0.00271  0.913    0.078  -0.00003     2  0.215    0.000 -13234.50  0.052  0.086  -43.4      1 279.43686 -31.66169 84.71268 -69.07815       0       1 
 map_500_Gaussians_1       42    0.00186  0.189    0.032   0.00010     1  0.863    0.000 -17630.78  0.043  0.043  -89.9      1 279.43704 -31.66312 84.70867 -69.07814       0       1 
 map_500_Gaussians_1       43    0.00180  0.227    0.032   0.00011     2  0.497    0.000 -14010.10  0.044  0.043   47.9      1 279.43690 -31.66224 84.71114 -69.07813       0       1 
 map_500_Gaussians_1       44    0.00218  0.618    0.057  -0.00018     2  0.237    0.000 -14093.62  0.053  0.071   43.5      1 279.43703 -31.66331 84.70814 -69.07812       0       1 
 map_500_Gaussians_1       45    0.00275  0.907    0.079   0.00002     2  0.191    0.000 -12089.74  0.078  0.058   33.4      1 279.43687 -31.66210 84.71156 -69.07811       0       1 
 map_500_Gaussians_1       46    0.00196  0.262    0.035   0.00002     2  0.480    0.000 -12504.75  0.050  0.043   46.1      1 279.43695 -31.66280 84.70959 -69.07811       0       1 
 map_500_Gaussians_1       47    0.00309  0.661    0.070  -0.00004     2  0.412    0.000 -13738.41  0.070  0.043   45.0      1 279.43677 -31.66149 84.71327 -69.07810       0       1 
 map_500_Gaussians_1       48    0.00196  0.231    0.035  -0.00005     2  0.582    0.000 -11475.38  0.043  0.043  -90.0      1 279.43684 -31.66216 84.71139 -69.07809       0       1 
 map_500_Gaussians_1       49    0.00251  0.324    0.045  -0.00004     2  0.351    0.000 -13647.00  0.043  0.043  -90.0      1 279.43689 -31.66255 84.71029 -69.07808       0       1 
 map_500_Gaussians_1       50    0.00210  0.471    0.050  -0.00010     2  0.362    0.000 -15594.84  0.043  0.072  -45.3      1 279.43684 -31.66221 84.71124 -69.07808       0       1 
 map_500_Gaussians_1       51    0.00277  0.965    0.079  -0.00040     2  0.199    0.000 -11164.72  0.061  0.074  -36.4      1 279.43687 -31.66243 84.71062 -69.07808       0       1 
 map_500_Gaussians_1       52    0.00340  0.491    0.064   0.00000     2  0.175    0.000 -11172.60  0.051  0.043  -46.0      1 279.43693 -31.66291 84.70927 -69.07807       0       1 
 map_500_Gaussians_1       53    0.00236  0.466    0.053  -0.00007     2  0.520    0.000 -18390.62  0.047  0.054  -45.7      1 279.43696 -31.66322 84.70842 -69.07807       0       1 
 map_500_Gaussians_1       54    0.00272  0.500    0.058  -0.00018     2  0.269    0.000 -11525.39  0.043  0.062  -42.1      1 279.43676 -31.66181 84.71239 -69.07806       0       1 
 map_500_Gaussians_1       55    0.00322  0.761    0.078  -0.00014     2  0.245    0.000 -10128.57  0.052  0.086  -42.4      1 279.43678 -31.66191 84.71210 -69.07806       0       1 
 map_500_Gaussians_1       56    0.00262  0.855    0.071  -0.00006     2  0.355    0.000 -16404.08  0.050  0.085   42.3      1 279.43697 -31.66338 84.70797 -69.07806       0       1 
 map_500_Gaussians_1       57    0.00404  0.950    0.093   0.00003     2  0.129    0.000 -13990.84  0.067  0.044  -42.2      1 279.43693 -31.66310 84.70874 -69.07805       0       1 
 map_500_Gaussians_1       58    0.00347  1.212    0.103  -0.00023     2  0.173    0.000 -11205.77  0.074  0.062  -44.4      1 279.43673 -31.66166 84.71280 -69.07804       0       1 
 map_500_Gaussians_1       59    0.00230  0.484    0.051  -0.00012     2  0.296    0.000 -12407.75  0.047  0.059   36.8      1 279.43693 -31.66330 84.70818 -69.07803       0       1 
 map_500_Gaussians_1       60    0.00234  0.727    0.067  -0.00020     2  0.241    0.000 -12245.21  0.061  0.071  -12.3      1 279.43676 -31.66208 84.71163 -69.07803       0       1 
 map_500_Gaussians_1       61    0.00253  0.554    0.056   0.00004     2  0.312    0.000 -12291.09  0.071  0.043  -40.0      1 279.43686 -31.66290 84.70933 -69.07802       0       1 
 map_500_Gaussians_1       62    0.00168  0.517    0.051  -0.00002     2  0.480    0.000 -11470.87  0.059  0.072  -40.6      1 279.43672 -31.66191 84.71211 -69.07801       0       1 
 map_500_Gaussians_1       63    0.00224  0.268    0.043  -0.00018     2  0.546    0.000 -10882.72  0.046  0.073  -43.4      1 279.43687 -31.66303 84.70897 -69.07801       0       1 
 map_500_Gaussians_1       64    0.00300  0.994    0.085   0.00002     2  0.190    0.000 -11804.35  0.078  0.056   42.6      1 279.43683 -31.66279 84.70963 -69.07801       0       1 
 map_500_Gaussians_1       65    0.00228  0.386    0.047   0.00004     2  0.392    0.000 -12556.54  0.043  0.050  -55.1      1 279.43680 -31.66264 84.71006 -69.07800       0       1 
 map_500_Gaussians_1       66    0.00264  0.795    0.072  -0.00000     2  0.167    0.000 -11911.31  0.053  0.071  -38.5      1 279.43693 -31.66359 84.70738 -69.07800       0       1 
 map_500_Gaussians_1       67    0.00198  0.419    0.046  -0.00005     2  0.388    0.000 -16132.29  0.057  0.050  -24.0      1 279.43677 -31.66256 84.71030 -69.07798       0       1 
 map_500_Gaussians_1       68    0.00171  0.351    0.037   0.00011     2  0.381    0.000 -13015.83  0.056  0.046  -51.3      1 279.43674 -31.66238 84.71081 -69.07797       0       1 
 map_500_Gaussians_1       69    0.00239  0.333    0.043   0.00008     2  0.340    0.000 -11988.59  0.043  0.053   45.2      1 279.43684 -31.66339 84.70796 -69.07795       0       1 
 map_500_Gaussians_1       70    0.00308  0.493    0.060  -0.00003     2  0.311    0.000 -15115.49  0.043  0.046  -38.3      1 279.43661 -31.66164 84.71289 -69.07795       0       1 
 map_500_Gaussians_1       71    0.00378  0.835    0.085  -0.00005     2  0.134    0.000 -14050.72  0.047  0.062   45.0      1 279.43673 -31.66266 84.71004 -69.07794       0       1 
 map_500_Gaussians_1       72    0.00281  0.673    0.068  -0.00005     2  0.253    0.000 -11383.94  0.043  0.069  -43.0      1 279.43677 -31.66294 84.70922 -69.07793       0       1 
 map_500_Gaussians_1       73    0.00288  0.614    0.065  -0.00004     2  0.426    0.000 -13310.96  0.060  0.047   50.3      1 279.43679 -31.66308 84.70883 -69.07793       0       1 
 map_500_Gaussians_1       74    0.00300  0.470    0.062  -0.00008     2  0.373    0.000 -11278.96  0.057  0.043  -29.0      1 279.43656 -31.66145 84.71344 -69.07793       0       1 
 map_500_Gaussians_1       75    0.00217  0.612    0.057   0.00002     2  0.227    0.000 -14256.99  0.067  0.054  -33.9      1 279.43665 -31.66210 84.71160 -69.07793       0       1 
 map_500_Gaussians_1       76    0.00294  0.553    0.067   0.00001     2  0.299    0.000 -12822.39  0.043  0.064  -44.5      1 279.43657 -31.66156 84.71314 -69.07792       0       1 
 map_500_Gaussians_1       77    0.00191  0.295    0.039  -0.00010     2  0.401    0.000 -12644.87  0.043  0.049   46.4      1 279.43676 -31.66304 84.70897 -69.07791       0       1 
 map_500_Gaussians_1       78    0.00209  0.281    0.038   0.00006     2  0.423    0.000 -12265.92  0.043  0.047   47.1      1 279.43678 -31.66329 84.70825 -69.07791       0       1 
 map_500_Gaussians_1       79    0.00295  0.470    0.057   0.00007     2  0.176    0.000 -12724.09  0.049  0.043  -36.0      1 279.43680 -31.66347 84.70775 -69.07790       0       1 
 map_500_Gaussians_1       80    0.00388  0.782    0.080  -0.00025     2  0.246    0.000  -8806.59  0.065  0.043   42.5      1 279.43671 -31.66292 84.70932 -69.07789       0       1 
 map_500_Gaussians_1       81    0.00179  0.507    0.046  -0.00001     1  0.594    0.000 -21582.80  0.070  0.052  -39.9      1 279.43665 -31.66258 84.71026 -69.07788       0       1 
 map_500_Gaussians_1       82    0.00320  0.462    0.060   0.00003     2  0.300    0.000 -13202.34  0.043  0.054  -45.3      1 279.43654 -31.66216 84.71147 -69.07783       0       1 
 map_500_Gaussians_1       83    0.00229  0.714    0.065  -0.00007     2  0.302    0.000 -10322.57  0.080  0.053   45.0      1 279.43658 -31.66247 84.71060 -69.07783       0       1 
 map_500_Gaussians_1       84    0.00181  0.505    0.047   0.00001     2  0.510    0.000 -11546.87  0.045  0.086  -44.0      1 279.43642 -31.66159 84.71308 -69.07779       0       1 
 map_500_Gaussians_1       85    0.00289  0.586    0.065   0.00003     2  0.198    0.000 -12008.24  0.064  0.043   43.1      1 279.43654 -31.66276 84.70979 -69.07776       0       1 
 map_500_Gaussians_1       86    0.00235  0.531    0.055   0.00027     1  0.390    0.000 -16327.20  0.043  0.068   40.3      1 279.43663 -31.66342 84.70794 -69.07776       0       1 
 map_500_Gaussians_1       87    0.00350  1.019    0.093   0.00003     1  0.334    0.000 -15008.06  0.056  0.086  -42.3      1 279.43640 -31.66177 84.71259 -69.07776       0       1 
 map_500_Gaussians_1       88    0.00256  0.482    0.053  -0.00005     2  0.306    0.000 -12488.04  0.043  0.058  -44.3      1 279.43635 -31.66149 84.71339 -69.07775       0       1 
 map_500_Gaussians_1       89    0.00333  0.329    0.056   0.00033     2  0.464    0.000 -11175.62  0.043  0.043   90.0      1 279.43655 -31.66319 84.70860 -69.07772       0       1 
 map_500_Gaussians_1       90    0.00208  0.464    0.045  -0.00000     2  0.447    0.000 -13255.84  0.056  0.049   26.5      1 279.43654 -31.66332 84.70825 -69.07770       0       1 
 map_500_Gaussians_1       91    0.00281  0.558    0.060   0.00007     2  0.240    0.000 -14357.06  0.055  0.047   29.6      1 279.43637 -31.66215 84.71153 -69.07769       0       1 
 map_500_Gaussians_1       92    0.00374  0.856    0.086  -0.00016     0  0.425    0.001 -15454.18  0.043  0.069   42.3      1 279.43649 -31.66306 84.70898 -69.07769       0       1 
 map_500_Gaussians_1       93    0.00363  0.655    0.078  -0.00001     2  0.425    0.000 -11276.08  0.086  0.065   44.5      1 279.43629 -31.66156 84.71320 -69.07768       0       1 
 map_500_Gaussians_1       94    0.00299  0.389    0.055  -0.00010     2  0.398    0.000 -10448.67  0.053  0.043  -47.1      1 279.43644 -31.66272 84.70994 -69.07768       0       1 
 map_500_Gaussians_1       95    0.00286  0.580    0.062  -0.00001     2  0.386    0.000 -21047.42  0.052  0.050  -12.1      1 279.43646 -31.66286 84.70953 -69.07768       0       1 
 map_500_Gaussians_1       96    0.00253  0.365    0.047  -0.00004     2  0.469    0.000  -9870.13  0.043  0.047  -40.2      1 279.43652 -31.66345 84.70788 -69.07767       0       1 
 map_500_Gaussians_1       97    0.00335  0.837    0.085  -0.00002     2  0.323    0.000 -19966.23  0.073  0.045  -39.7      1 279.43631 -31.66197 84.71205 -69.07766       0       1 
 map_500_Gaussians_1       98    0.00363  0.825    0.085   0.00007     2  0.122    0.000 -11851.20  0.043  0.069   45.8      1 279.43647 -31.66329 84.70835 -69.07764       0       1 
 map_500_Gaussians_1       99    0.00254  0.285    0.050   0.00001     2  0.454    0.000 -11628.76  0.048  0.043  -41.9      1 279.43651 -31.66357 84.70754 -69.07765       0       1 
 map_500_Gaussians_1      100    0.00286  0.883    0.078  -0.00006     1  0.422    0.000 -21887.79  0.049  0.086   43.7      1 279.43635 -31.66242 84.71080 -69.07764       0       1 
 map_500_Gaussians_1      101    0.00323  0.935    0.088  -0.00012     2  0.240    0.000 -16082.50  0.056  0.068  -38.8      1 279.43638 -31.66269 84.71002 -69.07764       0       1 
 map_500_Gaussians_1      102    0.00294  0.385    0.052   0.00011     2  0.361    0.000 -12290.67  0.043  0.043  -90.0      1 279.43625 -31.66177 84.71263 -69.07763       0       1 
 map_500_Gaussians_1      103    0.00319  0.734    0.077  -0.00003     2  0.151    0.000 -13708.52  0.051  0.059  -36.6      1 279.43642 -31.66314 84.70877 -69.07761       0       1 
 map_500_Gaussians_1      104    0.00338  0.468    0.061  -0.00003     2  0.281    0.000 -10440.25  0.043  0.054   45.4      1 279.43643 -31.66333 84.70825 -69.07761       0       1 
 map_500_Gaussians_1      105    0.00369  0.479    0.066  -0.00003     2  0.369    0.000 -12941.20  0.043  0.047   45.7      1 279.43619 -31.66150 84.71341 -69.07760       0       1 
 map_500_Gaussians_1      106    0.00258  0.500    0.056   0.00000     2  0.309    0.000 -10984.52  0.043  0.064   45.8      1 279.43634 -31.66275 84.70988 -69.07759       0       1 
 map_500_Gaussians_1      107    0.00302  0.693    0.071   0.00012     2  0.226    0.000 -11017.60  0.068  0.045   43.9      1 279.43623 -31.66195 84.71215 -69.07759       0       1 
 map_500_Gaussians_1      108    0.00307  0.669    0.068  -0.00005     2  0.158    0.000 -11737.06  0.043  0.067  -43.1      1 279.43627 -31.66227 84.71123 -69.07759       0       1 
 map_500_Gaussians_1      109    0.00228  0.396    0.052   0.00001     2  0.434    0.000 -13463.62  0.059  0.043  -40.2      1 279.43638 -31.66310 84.70890 -69.07759       0       1 
 map_500_Gaussians_1      110    0.00241  0.699    0.066  -0.00008     2  0.309    0.000 -12155.38  0.072  0.052  -40.3      1 279.43632 -31.66266 84.71013 -69.07758       0       1 
 map_500_Gaussians_1      111    0.00401  0.437    0.067  -0.00003     2  0.568    0.001 -14530.51  0.043  0.043  -90.0      1 279.43637 -31.66321 84.70858 -69.07757       0       1 
 map_500_Gaussians_1      112    0.00330  0.456    0.062   0.00007     2  0.387    0.000 -12264.77  0.043  0.060  -45.0      1 279.43623 -31.66223 84.71134 -69.07756       0       1 
 map_500_Gaussians_1      113    0.00228  0.474    0.052  -0.00009     2  0.403    0.000 -13764.32  0.062  0.045  -43.4      1 279.43631 -31.66284 84.70965 -69.07756       0       1 
 map_500_Gaussians_1      114    0.00300  0.751    0.075   0.00013     2  0.481    0.000 -15362.53  0.070  0.047  -44.6      1 279.43638 -31.66337 84.70814 -69.07756       0       1 
 map_500_Gaussians_1      115    0.00184  0.498    0.046   0.00005     0  0.547    0.000 -20831.89  0.050  0.068  -43.7      1 279.43640 -31.66365 84.70735 -69.07754       0       1 
 map_500_Gaussians_1      116    0.00174  0.358    0.039   0.00015     2  0.477    0.000 -15351.66  0.054  0.048   26.2      1 279.43625 -31.66262 84.71026 -69.07754       0       1 
 map_500_Gaussians_1      117    0.00262  0.500    0.057  -0.00006     2  0.345    0.000 -12178.31  0.064  0.043  -40.7      1 279.43615 -31.66187 84.71239 -69.07753       0       1 
 map_500_Gaussians_1      118    0.00228  0.252    0.036   0.00000     1  0.791    0.000 -15067.60  0.043  0.043   89.9      1 279.43632 -31.66330 84.70836 -69.07752       0       1 
 map_500_Gaussians_1      119    0.00359  0.862    0.086   0.00007     2  0.205    0.000 -11296.21  0.047  0.064   41.3      1 279.43633 -31.66342 84.70802 -69.07751       0       1 
 map_500_Gaussians_1      120    0.00353  0.531    0.073   0.00010     2  0.209    0.000 -10025.79  0.043  0.049   42.4      1 279.43631 -31.66348 84.70787 -69.07748       0       1 
 map_500_Gaussians_1      121    0.00200  0.422    0.045  -0.00002     1  0.552    0.000 -25188.24  0.043  0.064   40.2      1 279.43616 -31.66246 84.71073 -69.07747       0       1 
 map_500_Gaussians_1      122    0.00295  0.654    0.069  -0.00006     2  0.258    0.000 -12571.52  0.060  0.047   41.8      1 279.43622 -31.66293 84.70941 -69.07747       0       1 
 map_500_Gaussians_1      123    0.00225  0.276    0.042  -0.00003     2  0.500    0.000 -13535.45  0.043  0.043  -28.6      1 279.43613 -31.66230 84.71118 -69.07746       0       1 
 map_500_Gaussians_1      124    0.00376  0.441    0.063   0.00014     2  0.318    0.000 -11576.42  0.043  0.043   90.0      1 279.43606 -31.66193 84.71223 -69.07745       0       1 
 map_500_Gaussians_1      125    0.00362  0.763    0.081   0.00009     2  0.284    0.000 -15976.01  0.046  0.060  -44.0      1 279.43621 -31.66306 84.70907 -69.07745       0       1 
 map_500_Gaussians_1      126    0.00388  0.964    0.095  -0.00004     2  0.101    0.000 -12562.97  0.055  0.059   24.1      1 279.43628 -31.66364 84.70741 -69.07744       0       1 
 map_500_Gaussians_1      127    0.00206  0.488    0.045  -0.00004     2  0.314    0.000  -9893.89  0.071  0.043  -42.9      1 279.43616 -31.66284 84.70969 -69.07743       0       1 
 map_500_Gaussians_1      128    0.00267  0.823    0.074  -0.00013     2  0.193    0.000 -14376.42  0.079  0.051  -43.9      1 279.43612 -31.66263 84.71029 -69.07743       0       1 
 map_500_Gaussians_1      129    0.00365  0.563    0.076   0.00004     2  0.378    0.000 -10261.00  0.086  0.052   44.7      1 279.43625 -31.66356 84.70764 -69.07742       0       1 
 map_500_Gaussians_1      130    0.00382  0.743    0.080  -0.00017     2  0.190    0.000 -14611.25  0.043  0.059   42.9      1 279.43606 -31.66230 84.71122 -69.07740       0       1 
 map_500_Gaussians_1      131    0.00353  0.577    0.069   0.00010     2  0.201    0.000 -14111.28  0.050  0.043  -46.7      1 279.43615 -31.66307 84.70905 -69.07740       0       1 
 map_500_Gaussians_1      132    0.00206  0.409    0.042  -0.00002     2  0.517    0.000 -13496.73  0.045  0.058  -40.2      1 279.43607 -31.66249 84.71067 -69.07740       0       1 
 map_500_Gaussians_1      133    0.00275  0.284    0.049   0.00010     2  0.577    0.000 -14534.79  0.048  0.043  -46.6      1 279.43617 -31.66326 84.70849 -69.07739       0       1 
