Temperature;YoungModulus;PoissonRatio
21;207500000000;0.278
93;204100000000;0.280
204;197900000000;0.286
316;191700000000;0.290
427;185500000000;0.295
538;178600000000;0.305
649;170300000000;0.321
760;160600000000;0.340
871;147500000000;0.336
