Temperature;CoefficientOfThermalExpansion
93.0;12.8E-6
204.0;13.1E-6
316.0;13.3E-6
427.0;13.7E-6
538.0;14.0E-6
649.0;14.8E-6
760.0;15.3E-6
871.0;15.8E-6
982;16.2E-6
