Temperature;YieldStrength
21;4.93E+08
93;4.79E+08
204;4.43E+08
316;4.30E+08
427;4.24E+08
538;4.23E+08
649;4.22E+08
760;4.15E+08
871;3.86E+08
1040;31000000
1150;15000000
