Temperature;ThermalConductivity
5.0;7.07
21.0;7.07
200.0;9.28
400.0;11.8
600.0;14.5
800.0;17.4
1000.0;22.0
1200.0;25.0
1400.0;26.0
1655.0;28.3
2126;37.0
2426.0;42.0
2500.0;42.0
