Temperature;ThermalConductivity
5.0;0.145
21.0;0.145
38.0;0.140
93.0;0.125
204.0;0.104
316.0;0.09
427.0;0.08
538.0;0.075
649.0;0.18
760.0;0.25
871.0;0.4
982;0.8
1605.0;19.4
1655.0;28.3
2126;37.0
2426.0;42.0
2426.0;42.0
