Temperature;CoefficientOfThermalExpansion
24.0;8.78E-6
93.0;9.83E-6
204.0;10.0E-6
316.0;10.7E-6
427.0;11.1E-6
538.0;11.2E-6
649.0;11.7E-6
760.0;12.2E-6
871.0;12.3E-6
1094;12.4E-6
1650;12.5E-6
