|INDEX|HYPER_ID_PY|HYPER_ID_IDL|PEAK_REF_mJy|PEAK_PY_mJy|PEAK_IDL_mJy|INT_REF_mJy|INT_PY_mJy|INT_IDL_mJy|D_PEAK_PY_pct|D_PEAK_IDL_pct|D_INT_PY_pct|D_INT_IDL_pct|
| long|       long|        long|      double|     double|      double|     double|    double|     double|        float|         float|       float|        float|
|     |           |            |            |           |            |           |          |           |             |              |            |             |
| null|       null|        null|        null|       null|        null|       null|      null|       null|         null|          null|        null|         null|
     1          50          427         28.1        26.1         26.3       449.2      471.0       487.5          -7.2           -6.3          4.9           8.5 
     2         124           84         48.8        46.7         48.0       445.7      441.0       492.9          -4.3           -1.5         -1.1          10.6 
     3          93          120         42.2        45.0         44.2       427.5      655.0       499.6           6.8            4.8         53.2          16.9 
     4         206          217         36.1        35.0         36.0       683.9      715.0       777.9          -3.2           -0.4          4.5          13.7 
     5          94          185         37.8        37.1         38.1       383.3      389.0       427.5          -2.0            0.7          1.5          11.5 
     6         452          428         24.7        24.6         25.3       621.4      671.0       707.8          -0.6            2.3          8.0          13.9 
     7         262          337         30.0        28.9         28.4       437.8      620.0       551.4          -3.7           -5.4         41.6          25.9 
     8         336           23         50.9        50.7         50.1      1306.2     1274.0      1140.7          -0.4           -1.6         -2.5         -12.7 
     9         338          345         28.0        28.2         28.8       692.1      655.0       754.4           0.4            2.7         -5.4           9.0 
    10         209          310         34.2        31.1         30.6       601.9      605.0       562.9          -8.8          -10.4          0.5          -6.5 
    11         133          252         37.2        34.1         36.0       349.3      284.0       348.4          -8.2           -3.2        -18.7          -0.3 
    12          73          240         37.5        35.7         36.7       679.6      614.0       642.6          -4.8           -2.2         -9.7          -5.4 
    13          34          223         40.5        35.6         36.3       521.0      453.0       480.9         -12.1          -10.4        -13.0          -7.7 
    14         339           86         48.0        44.0         44.9       642.8      542.0       570.4          -8.3           -6.5        -15.7         -11.3 
    15         154          326         29.5        31.1         31.3       764.0      783.0       787.7           5.7            6.2          2.5           3.1 
    16         137          233         37.1        36.1         37.1      1005.4     1011.0      1083.3          -2.6            0.0          0.6           7.8 
    17         218          179         38.2        35.2         35.4       623.8      628.0       639.9          -7.8           -7.4          0.7           2.6 
    18         311          180         40.4        38.0         39.4       542.5      588.0       607.7          -6.1           -2.5          8.4          12.0 
    19          57            9         49.6        50.1         50.6       795.7      950.0       971.1           1.0            2.0         19.4          22.0 
    20         448          237         33.2        34.1         35.8       846.6      850.0      1253.7           2.7            7.8          0.4          48.1 
    21          49          289         35.8        31.1         31.6       346.7      324.0       335.4         -12.9          -11.7         -6.5          -3.3 
    22         173          238         40.7        36.1         37.3      1119.3      850.0       932.0         -11.2           -8.3        -24.1         -16.7 
    23          59          335         29.2        28.5         28.8       472.8      484.0       487.9          -2.2           -1.3          2.4           3.2 
    24           8          455         21.3        22.6         24.3       535.2      525.0       662.8           5.9           14.0         -1.9          23.8 
    25         227           95         46.6        43.3         45.0      1279.0     1192.0      1312.2          -7.0           -3.3         -6.8           2.6 
    26          38          366         35.1        30.9         31.6       288.0      270.0       299.6         -11.9           -9.9         -6.2           4.0 
    27         203          248         37.8        33.6         34.8       477.7      371.0       393.4         -11.2           -8.1        -22.3         -17.6 
    28         489          213         32.2        35.4         33.9       491.3      676.0       583.0           9.9            5.3         37.6          18.7 
    29         163          192         33.1        34.2         35.6       796.9      874.0       949.6           3.4            7.4          9.7          19.2 
    30         300          328         27.2        30.0         30.0       719.7      841.0       705.9          10.6           10.5         16.9          -1.9 
    31         221          402         24.0        22.5         23.3       507.4      563.0       629.6          -6.5           -3.0         11.0          24.1 
    32         183          280         29.3        29.5         30.1       582.0      559.0       579.7           0.9            2.8         -4.0          -0.4 
    33         390           12         46.9        49.4         49.2       511.1      511.0       490.8           5.3            4.9         -0.0          -4.0 
    34          63          368         29.2        27.8         28.9       250.6      268.0       291.6          -4.9           -1.2          6.9          16.4 
    35          97          135         46.4        41.6         42.7       972.9      837.0       897.3         -10.5           -8.1        -14.0          -7.8 
    36           4          377         27.8        25.7         25.4       282.7      302.0       298.9          -7.5           -8.5          6.8           5.7 
    37          45          243         34.0        34.1         36.0       937.5      907.0      1053.1           0.4            6.0         -3.3          12.3 
    38          84          454         21.7        22.5         23.5       407.8      505.0       550.2           3.5            8.3         23.8          34.9 
