Project,Bug_ID,Total_Lines_Analyzed,Buggy_Lines_Found,Top_1_Hit,Top_3_Hit,Top_5_Hit,Top_10_Hit,Best_Rank,Avg_Rank,Ochiai_Best_Rank,Tarantula_Best_Rank,Jaccard_Best_Rank,Dstar2_Best_Rank
black,bug15,2021,123,True,True,True,True,1,629.8048780487804,1,1,1,1
black,bug16,1953,13,False,True,True,True,3,3.0,3,3,3,3
black,bug17,1880,5,False,False,False,False,12,13.6,12,12,12,12
black,bug18,1861,39,True,True,True,True,1,1207.1025641025642,1,1,1,1
black,bug19,1479,0,False,False,False,False,,,,,,
black,bug20,1451,4,False,False,False,True,10,10.75,10,10,10,10
black,bug22,1090,128,False,True,True,True,2,207.0234375,2,2,2,2
black,bug23,1012,3,False,False,False,False,400,401.6666666666667,400,400,400,386
black,bugs_17-18-19-20,1452,8,False,False,False,False,81,198.0,81,11,14,88
black,bugs_19-22-23,1012,28,False,False,False,False,174,512.1785714285714,174,194,187,160
cookiecutter,bug1,1000,2,False,False,True,True,4,4.0,4,4,4,4
cookiecutter,bug2,979,13,True,True,True,True,1,181.6153846153846,1,1,1,1
fastapi,bug1,1275,57,False,False,False,True,9,755.1578947368421,9,9,9,9
fastapi,bug10,1088,2,False,False,False,False,899,899.0,899,899,899,899
fastapi,bug11,1067,2,False,False,False,False,283,283.0,283,283,283,283
fastapi,bug12,864,3,True,True,True,True,1,2.0,1,1,1,1
fastapi,bug13,557,0,False,False,False,False,,,,,,
fastapi,bug14,519,0,False,False,False,False,,,,,,
fastapi,bug15,511,0,False,False,False,False,,,,,,
fastapi,bug16,483,8,True,True,True,True,1,142.5,1,1,1,1
fastapi,bug2,1277,0,False,False,False,False,,,,,,
fastapi,bug3,1261,3,False,False,True,True,5,9.333333333333334,5,2,6,5
fastapi,bug4,1242,4,False,False,False,False,11,11.0,11,11,11,11
fastapi,bug5,1240,2,False,False,False,False,1179,1179.0,1179,1179,1179,1179
fastapi,bug6,1233,2,False,False,False,False,31,267.0,31,31,31,31
fastapi,bug7,1202,3,False,False,False,False,41,41.0,41,41,41,41
fastapi,bug8,1131,3,False,False,False,False,748,748.0,748,748,748,748
fastapi,bug9,1097,0,False,False,False,False,,,,,,
fastapi,multi-1-9-12-13-15-16,483,16,True,True,True,True,1,195.125,1,1,1,1
pygraphistry,main,3566,4,False,True,True,True,2,2.75,2,2,2,426
