show,vote_average,vote_count
s256,7.5,4
s1084,7.1,475
s1322,7.1,4482
s719,7.6,9728
s102,7.8,4
s392,10.0,10
s577,7.1,1483
s1308,6.4,42
s66,0.0,0
s1257,6.5,1003
s1228,6.9,249
s383,6.6,5
s194,8.5,4
s1149,6.7,219
s70,7.0,95
s407,8.3,29
s519,6.9,34
s861,7.0,32
s58,6.5,403
s1120,7.0,12
s800,8.3,29
s195,7.9,6451
s438,7.9,8179
s928,6.5,250
s1305,6.5,457
s936,6.2,301
s1332,5.9,1028
s411,6.0,1
s243,8.2,305
s161,7.3,203
s834,10.0,2
s586,7.8,4
s247,8.3,3
s832,8.0,129
s504,7.6,54
s918,8.0,266
s1179,6.6,91
s1418,8.0,357
s564,0.0,0
s215,6.1,18
s1090,5.8,98
s563,7.3,13
s1079,7.3,118
s908,8.2,296
s434,0.0,0
s703,6.9,31
s991,5.8,2
s1354,5.5,57
s355,7.1,89
s603,1.0,1
s1165,4.9,82
s805,6.9,111
s93,8.0,7977
s865,6.2,34
s615,6.7,72
s1128,6.6,128
s1229,7.3,110
s24,5.1,426
s1036,7.0,126
s1315,6.6,46
s1334,6.3,23
s840,7.5,56
s41,7.0,23
s154,5.0,1
s770,6.2,502
s1019,6.0,43
s259,5.3,190
s361,6.2,679
s798,5.6,334
s1148,6.6,1504
s1018,5.6,113
s591,6.5,29
s527,6.5,4
s367,5.3,2474
s342,7.4,39
s1054,7.7,867
s447,0.0,0
s1403,6.2,361
s1085,7.2,6
s1310,7.2,448
s859,7.2,38
s544,0.0,0
s759,6.6,442
s1075,7.7,717
s1101,5.6,247
s381,0.0,0
s166,10.0,1
s1389,7.2,5
s408,8.0,2
s903,5.9,382
s332,5.5,3
s984,6.5,38
s1119,6.8,220
s440,10.0,1
s140,4.0,1
s905,5.5,39
s990,6.9,146
s57,6.1,260
s783,6.3,60
s200,6.1,2591
s522,5.7,30
s13,7.6,188
s1221,7.4,386
s616,8.0,2
s406,8.0,4
s338,0.0,0
s855,7.4,207
s175,7.0,5
s672,8.0,105
s354,8.0,3
s1283,6.9,219
s238,,
s839,7.8,20
s660,6.5,2
s1246,7.1,24
s224,10.0,1
s1422,5.7,44
s989,5.5,215
s972,6.3,1032
s1398,7.9,17337
s87,8.0,1
s118,6.0,5325
s1279,5.6,7
s635,7.0,1
s973,7.3,753
s911,5.9,102
s598,7.0,1019
s581,8.0,3
s305,0.0,0
s131,4.4,5219
s272,6.8,8
s1352,6.7,129
s343,7.2,6314
s1430,7.0,776
s938,5.9,254
s213,0.0,0
s897,7.5,971
s734,6.9,3937
s232,6.4,30
s780,6.0,108
s329,5.7,122
s893,7.3,201
s312,0.0,1
s871,7.0,4172
s1151,7.2,358
s774,4.4,28
s943,6.6,3106
s441,6.9,29
s707,6.6,51
s525,6.7,6
s26,0.0,0
s1047,7.6,18468
s349,6.2,1946
s954,6.4,331
s1043,7.7,16299
s387,5.3,869
s429,7.8,316
s220,8.1,11
s709,5.9,2860
s1183,7.1,965
s648,7.0,2
s736,7.5,25655
s1016,6.9,257
s1122,7.2,4548
s373,6.6,7
s436,0.0,0
s600,5.1,1608
s264,8.6,9
s643,6.8,126
s613,8.5,2
s149,10.0,1
s816,6.2,491
s308,7.3,9
s1087,7.2,6
s1066,6.2,345
s977,,
s286,8.3,12
s15,6.2,7
s1158,6.3,60
s480,9.4,5
s910,6.5,571
s80,8.5,10
s728,6.4,489
s51,7.3,11149
s1268,6.6,5368
s1377,5.4,144
s1294,5.9,49
s626,6.2,138
s311,7.3,156
s226,6.4,8280
s679,8.6,19
s701,8.2,15868
s267,8.8,5
s1033,,
s474,6.5,11378
s207,8.0,238
s376,6.8,51
s664,0.0,0
s1176,6.2,5
s822,7.8,186
s667,6.8,57
s1014,6.8,64
s421,6.6,5583
s1080,7.0,323
s473,0.0,0
s1256,5.7,10
s246,8.5,4
s530,7.3,5098
s28,7.7,567
s874,6.8,5
s554,6.9,31
s686,7.6,17864
s896,6.4,22
s744,6.2,391
s299,7.5,2206
s885,7.0,1046
s669,7.9,43
s6,7.1,12
s245,8.1,266
s191,8.2,6
s1329,6.6,1031
s1194,6.8,2624
s32,7.7,6774
s1155,6.1,18
s1262,5.6,59
s1401,7.3,80
s999,7.1,4468
s933,6.6,1759
s944,8.1,684
s188,7.3,324
s1007,7.4,20
s601,7.9,53
s1362,6.1,15
s708,7.5,6541
s1169,6.4,3874
s162,8.3,7
s287,10.0,1
s275,8.2,108
s1204,6.3,36
s1186,7.3,11
s833,8.2,53
s2,5.3,134
s1214,5.9,7
s3,6.4,526
s230,7.5,77
s444,0.0,0
s334,6.1,125
s597,7.2,3052
s927,6.9,414
s229,7.4,37
s1282,6.7,4680
s209,6.8,32
s39,6.6,305
s1073,6.6,735
s63,7.7,3
s1312,7.1,72
s360,5.9,1374
s974,6.5,1065
s747,7.7,676
s21,6.2,408
s1041,7.4,19989
s1270,7.0,47
s843,7.3,152
s895,5.6,1975
s996,6.4,1039
s533,0.0,0
s1021,7.5,5050
s62,0.0,0
s607,6.6,1365
s68,0.0,0
s624,6.3,1074
s772,6.4,1871
s422,7.4,302
s1313,7.5,185
s939,6.1,326
s553,8.0,1
s50,6.3,170
s1321,6.7,174
s1217,8.4,14327
s547,8.5,2
s452,0.0,0
s1251,8.3,549
s1363,6.8,294
s353,8.3,268
s482,8.3,981
s320,7.0,814
s401,8.0,4
s531,6.4,7910
s1346,6.9,159
s79,0.0,0
s952,5.2,26
s891,5.8,156
s234,8.4,617
s174,7.9,453
s1070,6.0,29
s930,7.2,20
s907,5.2,7
s619,8.5,1440
s1097,6.5,1983
s291,7.0,13
s205,8.0,5424
s20,6.8,4630
s1126,7.9,515
s1378,8.0,15555
s108,8.0,3734
s1089,7.6,10526
s14,5.5,10
s1121,6.4,1913
s1098,0.0,0
s558,7.6,35
s1164,6.6,678
s546,10.0,2
s835,6.8,243
s491,0.0,0
s106,0.0,0
s185,8.0,108
s959,6.4,393
s260,8.0,2
s1249,7.3,4235
s235,8.3,803
s147,10.0,1
s55,0.0,0
s25,7.5,4416
s551,6.5,10
s341,6.5,14
s512,8.0,4
s1170,0.0,0
s704,6.2,46
s957,6.5,44
s314,7.9,3927
s1008,2.0,1
s781,6.1,59
s173,6.9,245
s31,5.4,9
s981,7.8,3
s261,6.4,56
s10,6.1,38
s562,7.7,94
s1003,7.3,7
s1369,7.8,7564
s751,7.7,13742
s276,8.1,47
s992,5.8,9
s1227,6.1,112
s1424,7.4,516
s1237,6.2,261
s336,8.2,907
s294,8.2,161
s1358,7.0,636
s1402,8.1,15870
s296,6.5,151
s1383,6.9,452
s470,7.0,3
s737,6.0,39
s876,7.0,1454
s967,6.9,744
s796,7.0,93
s16,8.3,47
s1434,6.4,1065
s202,8.2,8963
s33,6.7,38
s962,7.9,17984
s997,6.5,67
s47,5.9,178
s1390,6.7,1770
s104,0.0,0
s216,7.2,115
s136,7.8,17
s1218,7.3,17134
s693,6.0,4
s1124,6.0,51
s880,7.0,6
s271,6.8,16
s170,7.3,3
s1300,6.7,823
s405,10.0,1
s1062,6.3,495
s318,7.3,2402
s1238,4.9,68
s713,7.1,649
s339,2.0,1
s698,8.4,4
s369,8.3,3
s110,10.0,1
s756,6.5,5071
s650,6.2,59
s541,6.7,41
s588,6.2,26
s942,6.5,3310
s730,6.2,1128
s1278,6.4,1657
s37,7.5,2
s545,7.2,6
s208,7.0,10
s99,7.3,173
s103,7.0,3
s695,7.3,47
s1265,6.3,362
s1081,6.2,672
s190,7.8,82
s1055,7.6,1409
s486,6.6,682
s851,7.3,71
s1368,5.9,27
s428,10.0,1
s1266,6.1,294
s621,6.4,182
s244,7.9,10
s365,7.4,9059
s633,7.7,39
s1108,6.4,1281
s502,6.7,53
s298,6.6,188
s804,5.3,209
s567,7.3,12
s920,6.6,96
s397,7.0,8681
s971,6.7,218
s29,7.1,241
s584,7.8,5079
s987,4.2,215
s862,7.1,22
s1301,6.2,30
s135,6.1,11
s964,4.1,309
s484,5.8,1435
s1064,4.3,3
s273,5.8,1667
s1298,7.4,6507
s663,7.2,16
s518,6.9,298
s644,7.6,729
s1347,6.6,184
s182,9.0,1
s1355,7.5,18
s599,5.6,5
s592,7.0,58
s458,5.0,1
s393,6.3,3
s454,0.0,0
s617,6.7,20
s1191,0.0,0
s742,6.3,46
s153,8.4,7
s761,7.0,11626
s1180,7.4,2896
s721,6.1,2612
s1030,6.0,13
s431,6.0,1
s705,6.6,8
s1156,6.1,35
s1210,7.7,546
s176,0.0,0
s951,8.0,9
s754,5.8,362
s60,0.0,0
s649,5.9,68
s534,6.5,2
s864,5.9,37
s460,7.0,1
s242,7.0,1
s917,6.8,33
s1114,5.1,136
s882,7.5,48
s590,6.0,3
s335,5.8,3861
s1225,5.9,186
s1231,7.6,9489
s288,0.0,0
s638,0.0,0
s792,6.7,60
s1035,6.9,71
s483,6.1,3799
