name,known_for,total,release_year_min,ratio,vote_average
Andrew Stanton,,10,1995,1.0,7.5
John Lasseter,,7,1995,1.0,7.271428571428571
Jennifer Darling,,13,1989,1.0,7.2846153846153845
Patrick Warburton,,9,2000,0.8888888888888888,6.2666666666666675
Danny Mann,,26,1994,1.0,6.746153846153847
Josh Keaton,red,4,1997,1.0,6.449999999999999
Pat Fraley,,9,1990,0.7777777777777778,7.066666666666666
Mary Kay Bergman,,8,1991,0.875,7.3375
Paul Eiding,,16,1997,1.0,6.956249999999999
Edie McClurg,,12,1989,0.9166666666666666,6.816666666666667
Wayne Knight,,5,1997,1.0,6.74
Estelle Harris,,10,1999,1.0,6.94
Raymond S. Persi,,6,2011,1.0,7.516666666666667
Phil Johnston,,3,2011,1.0,7.3999999999999995
Katie Lowes,,6,2011,1.0,7.266666666666667
Rich Moore,,3,2011,1.0,7.3999999999999995
Josie Trinidad,,4,2011,1.0,7.475
Ed O'Neill,,4,2010,0.75,7.425
Dana Snyder,,4,2016,0.25,7.550000000000001
Danny Jacobs,,5,2015,0.2,7.660000000000001
John McLeish,,7,1940,1.0,6.7857142857142865
George Johnson,,4,1942,1.0,6.6499999999999995
Tim Allen,,19,1994,0.9473684210526315,6.85263157894737
Eric Lloyd,,5,1994,1.0,5.88
Judge Reinhold,,4,1994,1.0,6.25
Wendy Crewson,,4,1994,1.0,6.175000000000001
Spencer Breslin,,8,2000,1.0,5.862500000000001
Peter Boyle,,5,1994,1.0,5.9
Lee Unkrich,,9,1998,1.0,7.699999999999998
Tom Hanks,,15,1984,1.0,7.253333333333332
Angus MacLane,,10,2007,1.0,6.93
Joan Cusack,,13,1999,1.0,6.96923076923077
Laurie Metcalf,,7,1995,1.0,7.571428571428571
R. Lee Ermey,,7,1995,1.0,7.085714285714286
Wallace Shawn,,21,1987,1.0,6.9333333333333345
Dave Foley,,10,1998,1.0,6.95
Bob Peterson,,28,1997,0.9642857142857143,6.785714285714286
Teddy Newton,,12,1992,1.0,7.333333333333333
Don Rickles,,9,1995,1.0,7.366666666666668
Blake Clark,,4,2008,1.0,7.125
Michael Keaton,red,3,2006,1.0,7.233333333333333
Timothy Dalton,,8,2010,1.0,7.2250000000000005
Jeff Garlin,blue,8,2008,1.0,7.15
Kristen Schaal,,10,2010,0.8,7.239999999999999
Bonnie Hunt,,15,1998,1.0,6.846666666666666
Emily Hahn,,7,2010,1.0,7.200000000000001
Lori Alan,,19,1994,0.9473684210526315,6.878947368421052
John Cygan,,17,2002,1.0,6.9
Steve Purcell,,12,2006,1.0,6.491666666666667
Jim Ward,,14,2002,0.8571428571428571,7.292857142857144
Annie Potts,,4,1995,1.0,7.625
John Morris,,5,1993,1.0,7.76
Skyler Gisondo,,5,2008,1.0,6.039999999999999
Gig Morton,,3,2008,1.0,5.933333333333333
Lauren Maltby,,5,1998,1.0,5.74
Kirsten Storms,,5,1999,1.0,6.06
Holly Fulger,,3,1999,1.0,5.833333333333333
Stuart Pankin,,7,1991,0.8571428571428571,6.014285714285714
Trevor Tordjman,,5,2018,0.8,6.425
Chandler Kinney,,4,2020,0.75,6.1000000000000005
Milo Manheim,,5,2018,0.8,5.733333333333333
Kylee Russell,,6,2007,0.8333333333333334,5.8500000000000005
Mandy Moore,,10,2001,0.6,7.2
Zachary Levi,red,7,2010,0.7142857142857143,7.242857142857142
Julie Bowen,,4,2014,0.5,7.0
Eden Espinosa,,3,2017,0.3333333333333333,7.266666666666667
Erik von Detten,,6,1995,0.8333333333333334,7.166666666666667
Greg Lewis,,3,2001,1.0,6.400000000000001
Larry Miller,,4,1999,1.0,6.675000000000001
Stacy Keach,,4,2007,1.0,6.425000000000001
Ed Catmull,,2,2007,1.0,7.449999999999999
Ryan O'Donohue,,6,1995,1.0,7.066666666666666
Anthony Burch,,3,1995,1.0,7.533333333333334
Jonathan Harris,,3,1998,1.0,7.3999999999999995
Pete Docter,,12,2001,1.0,7.466666666666668
Brad Bird,,6,2004,1.0,7.5
Ollie Johnston,,4,1995,1.0,7.5249999999999995
Frank Thomas,,4,1995,1.0,7.5249999999999995
Billy Crystal,,8,1987,0.875,7.237500000000001
John Goodman,,13,2000,0.8461538461538461,6.984615384615386
Owen Wilson,,13,2004,0.9230769230769231,6.723076923076922
Larry the Cable Guy,,20,2006,1.0,6.245
Paul Newman,,5,2006,1.0,6.9
Cheech Marin,,15,1988,1.0,6.833333333333332
Guido Quaroni,,11,2001,1.0,6.500000000000001
Lou Romano,,4,2004,1.0,7.275
Susan Blu,,5,1996,1.0,7.1
Teresa Ganzel,,7,2001,1.0,7.628571428571428
Craig Good,,2,1995,1.0,7.45
A.J. Riebli III,,3,2004,1.0,7.033333333333334
Stephen Schaffer,,2,2004,1.0,7.300000000000001
Bob Scott,,13,2001,1.0,6.592307692307691
Katherine Ringgold,,4,2001,1.0,7.575
George Lucas,blue,6,2004,1.0,7.266666666666667
Anthony Daniels,blue,17,1978,0.8823529411764706,7.129411764705884
Kenny Baker,blue,10,1934,1.0,7.260000000000001
James Earl Jones,blue,13,1978,1.0,7.46923076923077
Michael Eisner,,3,2007,1.0,7.966666666666666
Mary Gibbs,,3,2001,1.0,7.766666666666667
Paula Pell,,3,2015,1.0,7.666666666666667
Josh Cooley,,9,2009,1.0,6.9
Bret 'Brook' Parker,,10,2001,1.0,6.9399999999999995
Alexander Gould,,4,2003,1.0,7.2250000000000005
Albert Brooks,,4,2003,1.0,7.3500000000000005
Ellen DeGeneres,,3,2003,1.0,7.466666666666666
Anthony Gonzalez,,3,2017,1.0,7.8999999999999995
Benjamin Bratt,red,4,2016,1.0,7.7749999999999995
Alanna Ubach,,5,1993,0.8,7.459999999999999
Jaime Camil,,6,2016,0.5,7.883333333333333
Polo Rojas,,4,2017,1.0,8.2
Montse Hernandez,,5,2013,1.0,7.959999999999999
Craig T. Nelson,,4,2004,1.0,7.475
Eli Fucile,,5,2004,1.0,7.38
Nicholas Bird,,4,2003,1.0,7.525
Angela Lansbury,,9,1971,1.0,7.066666666666666
Alan Menken,,4,2009,1.0,7.3500000000000005
Alvy Ray Smith,,2,2007,1.0,7.449999999999999
Eben Ostby,,2,2007,1.0,7.6
Joe Lanzisero,,2,2007,1.0,7.449999999999999
Darrell Van Citters,,2,2007,1.0,7.449999999999999
Brett Thompson,,2,2007,1.0,7.449999999999999
Leslie Margolin,,2,2007,1.0,7.449999999999999
Mike Cedeno,,2,2007,1.0,7.449999999999999
Paul Nowak,,2,2007,1.0,7.449999999999999
Nancy Beiman,,2,2007,1.0,7.449999999999999
Jerry Rees,,2,2007,1.0,7.449999999999999
Bruce Morris,,2,2007,1.0,7.449999999999999
Elmer Plummer,,2,2007,1.0,7.449999999999999
Doug Lefler,,2,2007,1.0,7.449999999999999
Ron Miller,,2,2007,1.0,7.449999999999999
Robin Williams,,9,1992,1.0,6.7333333333333325
Barry Diller,,2,2007,1.0,7.449999999999999
Marc Davis,,2,2007,1.0,7.449999999999999
Les Clark,,2,2007,1.0,7.449999999999999
Eric Larson,,2,2007,1.0,7.449999999999999
John Lounsbery,,2,2007,1.0,7.449999999999999
Wolfgang Reitherman,,2,2007,1.0,7.449999999999999
Madeline Kahn,,3,1979,1.0,7.266666666666667
Tim Burton,,4,1979,1.0,7.275
Walter Cronkite,,4,2004,1.0,7.249999999999999
Elissa Knight,,17,2006,1.0,6.558823529411764
Torbin Xan Bullock,,4,2006,1.0,6.6000000000000005
Eartha Kitt,,5,1998,0.8,6.779999999999999
Wendie Malick,,5,2000,0.8,7.160000000000001
Patti Deutsch,,3,2000,1.0,7.233333333333334
Jennifer Tilly,,4,2001,1.0,6.75
Jason Lee,,7,2004,1.0,6.5
Justin Long,,5,2007,0.8,6.419999999999999
Matthew Gray Gubler,,3,2007,1.0,5.833333333333333
Janice Karman,,3,2007,1.0,5.833333333333333
Dessie Flynn,,9,1947,1.0,6.9
Liam Neeson,blue,6,1999,1.0,6.583333333333333
Ewan McGregor,blue,9,1999,0.8888888888888888,6.655555555555555
Ian McDiarmid,blue,5,1983,1.0,6.9399999999999995
Oliver Ford Davies,blue,4,1999,1.0,6.925000000000001
Ahmed Best,blue,3,1999,1.0,6.8
Frank Oz,blue,17,1976,0.9411764705882353,7.276470588235295
Warwick Davis,blue,13,1983,1.0,6.846153846153846
Silas Carson,blue,3,1999,1.0,6.8
Jerome St. John Blake,blue,3,1999,1.0,6.8
Amanda Lucas,blue,3,1999,1.0,6.8
Katie Lucas,blue,3,1999,1.0,6.8
Don Bies,blue,3,1983,1.0,6.966666666666666
Ben Burtt,blue,6,1983,1.0,7.466666666666668
Mike Savva,blue,3,1999,1.0,6.8
Christian Simpson,blue,3,1999,1.0,7.133333333333333
Hayden Christensen,blue,3,2002,1.0,6.766666666666667
Jimmy Smits,blue,3,2002,1.0,7.133333333333333
Joonas Suotamo,blue,4,2015,1.0,6.799999999999999
Kiran Shah,blue,7,1983,1.0,7.1000000000000005
Dave Chapman,blue,5,1996,1.0,6.76
Andrew Jack,blue,3,2015,1.0,6.933333333333333
Samuel Witwer,blue,4,2015,1.0,7.075
Samantha Alleyne,blue,4,2015,1.0,7.074999999999999
Philip Harvey,blue,3,2005,1.0,7.166666666666667
Brian Herring,blue,5,1996,1.0,6.76
Tobias James-Samuels,blue,3,2015,1.0,6.933333333333333
Jorge Leon Martinez,blue,3,2015,1.0,7.133333333333333
Stephanie Silva,blue,3,2015,1.0,6.933333333333333
Clem So,blue,5,2015,1.0,7.119999999999999
Kelly Marie Tran,blue,4,2017,1.0,7.0
Billy Dee Williams,blue,6,1980,1.0,7.283333333333334
James Arnold Taylor,blue,8,2003,0.625,7.2250000000000005
Mark Hamill,blue,10,1978,0.8,7.45
Harrison Ford,blue,6,1978,1.0,7.75
Carrie Fisher,blue,7,1978,1.0,7.628571428571428
Peter Mayhew,blue,6,1980,1.0,7.6000000000000005
Alec Guinness,blue,4,1980,1.0,7.5
Denis Lawson,blue,3,1980,1.0,7.566666666666667
Tim Rose,blue,5,1983,1.0,7.2
Jeremy Bulloch,blue,4,1980,1.0,7.675000000000001
Mike Quinn,blue,10,1981,0.9,6.82
Bill Kipsang Rotich,blue,3,1983,1.0,7.2
Michael Giacchino,blue,7,2007,1.0,7.485714285714285
Adam Driver,blue,3,2015,1.0,6.866666666666667
Daisy Ridley,blue,3,2015,1.0,6.866666666666667
John Boyega,blue,4,2015,1.0,6.799999999999999
Oscar Isaac,blue,7,2010,1.0,6.742857142857142
Lupita Nyong'o,blue,7,2015,0.8571428571428571,6.914285714285714
Andy Serkis,blue,5,2015,1.0,7.06
Domhnall Gleeson,blue,3,2015,1.0,6.866666666666667
Billie Lourd,blue,3,2015,1.0,6.866666666666667
Jimmy Vee,blue,3,2015,1.0,7.233333333333333
Michael Donovan,blue,4,1999,0.5,7.199999999999999
David Acord,blue,4,2005,1.0,7.275
David M. Santana,blue,3,2015,1.0,7.233333333333333
Bern Collaço,blue,7,2011,1.0,7.014285714285714
Nick Donald,blue,4,2014,1.0,7.199999999999999
Paul Kasey,blue,4,2015,1.0,7.025
Sandeep Mohan,blue,3,2015,1.0,7.233333333333333
Jack Purvis,blue,3,1980,1.0,7.766666666666667
Phil Tippett,blue,2,1983,1.0,7.800000000000001
Joe Johnston,blue,4,1980,1.0,7.5249999999999995
Courtland Mead,,6,1995,0.8333333333333334,6.516666666666666
Francesca Marie Smith,,3,1998,1.0,6.6000000000000005
Bud Luckey,,6,2003,1.0,7.216666666666666
Peter Sohn,,13,2004,1.0,6.846153846153846
Sarah Chalke,,4,2009,1.0,6.699999999999999
Derek Richardson,,3,2009,1.0,6.8
William Morgan Sheppard,,5,1998,1.0,6.42
Julia Louis-Dreyfus,red,5,1998,1.0,7.139999999999999
Keith Ferguson,,19,2006,0.8947368421052632,6.4526315789473685
Bill Hader,blue,10,2009,1.0,7.07
Gregg Berger,,6,1999,1.0,7.116666666666667
Patrick Seitz,,3,2013,1.0,7.366666666666667
Alec Medlock,,3,2003,1.0,7.333333333333333
Gabriel Iglesias,,6,2013,1.0,7.25
Tony Hale,,14,2015,0.9285714285714286,6.542857142857143
