name,known_for,total,release_year_min,ratio,vote_average
Chris Coppola,,5,2009,1.0,5.96
Michael Teigen,,6,2008,1.0,6.05
Genevieve Hannelius,,7,2010,0.8571428571428571,6.3
Jonathan Morgan Heit,,4,2008,1.0,6.1000000000000005
Danny Woodburn,,4,1996,1.0,6.1000000000000005
Richard Kind,,11,1998,1.0,6.454545454545454
Kaitlyn Maher,,4,2009,1.0,6.15
Josh Flitter,,6,2005,1.0,6.266666666666667
Paul Rudd,red,7,2006,1.0,7.228571428571429
Evangeline Lilly,red,5,2003,1.0,7.159999999999999
Michael Peña,red,4,2015,1.0,6.574999999999999
Bobby Cannavale,red,5,2014,1.0,6.9399999999999995
Judy Greer,red,4,2015,1.0,6.85
T.I.,red,3,2015,1.0,7.066666666666666
David Dastmalchian,red,3,2015,1.0,7.066666666666666
Abby Ryder Fortson,red,3,2015,1.0,7.066666666666666
Michael Douglas,red,4,2015,1.0,7.375
Dax Griffin,red,3,2015,1.0,7.066666666666666
Hayley Lovitt,red,3,2015,1.0,7.066666666666666
Stan Lee,red,31,1981,0.9354838709677419,7.187096774193549
Vanessa Ross,red,3,2015,1.0,7.066666666666666
Hayley Gagner,red,3,2015,1.0,7.066666666666666
John Lobato,red,3,2015,1.0,7.066666666666666
Ed Moy,red,4,2010,1.0,7.0
Anthony Mackie,red,11,2014,0.9090909090909091,7.336363636363637
Hayley Atwell,red,12,2011,0.9166666666666666,7.158333333333334
John Slattery,red,6,2007,1.0,7.016666666666667
Michael A. Cook,red,4,2015,1.0,7.4750000000000005
Chris Evans,red,14,2007,1.0,7.2
Sebastian Stan,red,12,2011,0.9166666666666666,7.316666666666666
Nicholas Barrera,red,3,2015,1.0,6.8
Randall Park,red,4,2018,0.75,7.0
Elizabeth Olsen,red,8,2014,0.875,7.5
Paul Bettany,red,11,2008,0.9090909090909091,7.236363636363635
Kat Dennings,red,6,2002,0.8333333333333334,6.783333333333334
Kathryn Hahn,,4,2015,0.75,6.8
Teyonah Parris,,3,2019,0.6666666666666666,7.0
James Siderits,red,3,2018,1.0,7.566666666666667
Chris Hemsworth,red,12,2011,0.9166666666666666,7.363636363636362
Natalie Portman,red,7,1999,1.0,7.0
Tom Hiddleston,red,13,2011,0.9230769230769231,7.215384615384614
Anthony Hopkins,red,3,2011,1.0,7.0
Ray Stevenson,red,4,2011,1.0,6.699999999999999
Tadanobu Asano,red,3,2011,1.0,7.0
Idris Elba,red,7,2011,1.0,7.328571428571428
Rene Russo,red,3,2011,1.0,7.233333333333333
Stellan Skarsgård,red,6,2006,1.0,7.1499999999999995
Benicio del Toro,red,4,2013,1.0,7.425000000000001
Robert Downey Jr.,red,11,2006,1.0,7.181818181818182
Mark Ruffalo,red,10,2012,1.0,7.4799999999999995
Scarlett Johansson,red,15,1997,1.0,7.28
Benedict Cumberbatch,red,6,2013,1.0,7.466666666666668
Tom Holland,red,4,2016,1.0,7.95
Chadwick Boseman,red,5,2016,1.0,7.7
Don Cheadle,red,8,2010,1.0,7.375
Zoe Saldana,red,7,2003,1.0,7.842857142857143
Karen Gillan,red,4,2014,1.0,8.025
Danai Gurira,red,4,2014,1.0,7.775
Benedict Wong,red,5,2016,1.0,7.94
Pom Klementieff,red,3,2017,1.0,8.066666666666668
Dave Bautista,red,4,2014,1.0,8.025
Vin Diesel,red,7,2005,1.0,7.485714285714287
Bradley Cooper,red,4,2014,1.0,8.025
Gwyneth Paltrow,red,7,2008,1.0,7.514285714285714
Josh Brolin,red,4,2014,1.0,7.950000000000001
Chris Pratt,red,8,2014,1.0,7.625
Sean Gunn,red,4,2014,1.0,8.025
William Hurt,red,6,2002,1.0,7.3999999999999995
Letitia Wright,red,3,2018,1.0,8.0
Winston Duke,red,3,2018,1.0,8.0
Florence Kasumba,red,3,2016,1.0,7.7
Kerry Condon,red,4,2015,1.0,7.825
Monique Ganderton,red,4,2015,1.0,7.325
Samuel L. Jackson,blue,20,1999,1.0,7.235000000000001
Cobie Smulders,red,5,2012,1.0,7.860000000000001
Jon Favreau,red,9,2008,0.8888888888888888,6.933333333333334
Clark Gregg,red,7,2008,1.0,7.0857142857142845
Ricki Lander,red,3,2008,1.0,7.266666666666666
Ajani Perkins,red,3,2008,1.0,7.266666666666666
Laura Haddock,red,3,2011,1.0,7.5
Hugh Jackman,,9,2000,1.0,7.011111111111111
Shawn Ashmore,,6,2000,0.8333333333333334,6.966666666666666
Tom Kenny,red,14,1995,0.6428571428571429,6.950000000000002
Charlie Adler,,9,1989,0.8888888888888888,7.222222222222222
Jeremy Renner,red,10,2011,0.9,7.280000000000001
Maximiliano Hernández,red,6,2011,1.0,7.5
Brent McGee,red,3,2012,1.0,7.800000000000001
Pat Kiernan,red,5,2006,1.0,6.960000000000001
Zack Duhame,red,3,2014,1.0,7.3
Seth Green,red,8,1988,0.875,6.8
Emily VanCamp,red,7,2014,0.8571428571428571,7.057142857142858
Frank Grillo,red,3,2014,1.0,7.800000000000001
Brian Schaeffer,red,5,2010,1.0,7.339999999999999
Joe Russo,red,4,2014,1.0,7.6000000000000005
Dove Cameron,,13,2013,0.8461538461538461,7.338461538461538
Cameron Boyce,,4,2011,0.75,7.625
Booboo Stewart,,7,2014,1.0,7.271428571428571
Sofia Carson,,8,2015,0.875,7.525
Mitchell Hope,,4,2015,1.0,7.324999999999999
Melanie Paxson,,5,2013,1.0,7.340000000000001
Brenna D'Amico,,3,2015,1.0,7.433333333333333
Sarah Jeffery,,3,2015,1.0,7.3
Jedidiah Goodacre,,6,2014,1.0,6.95
Dan Payne,,4,2015,1.0,7.324999999999999
Keegan Connor Tracy,,3,2015,1.0,7.433333333333333
Tyler Layton-Olson,,3,2015,1.0,7.433333333333333
Kiara Gudgeon,,3,2015,1.0,7.433333333333333
Navid Charkhi,,3,2015,1.0,7.433333333333333
China Anne McClain,,6,2011,0.8333333333333334,7.266666666666667
Anna Cathcart,,5,2017,1.0,7.300000000000002
Bobby Moynihan,,11,2013,0.8181818181818182,7.209090909090909
Dee Bradley Baker,red,35,1998,0.7428571428571429,6.932352941176471
Skai Jackson,,6,2010,0.6666666666666666,7.316666666666666
Kathreen Khavari,,6,2018,1.0,6.95
Kamil McFadden,,5,2015,0.8,7.280000000000001
Tyler Posey,,5,2018,1.0,7.0
Cierra Ramirez,,6,2018,1.0,6.95
Tara Strong,red,17,1997,0.7647058823529411,6.858823529411764
Milana Vayntrub,,6,2018,1.0,6.95
Thomas Doherty,,4,2016,0.75,7.75
Dylan Playfair,,3,2017,1.0,7.599999999999999
Zachary Gibson,,3,2014,1.0,6.8999999999999995
Kathy Najimy,,11,1992,0.9090909090909091,7.109090909090909
Jeff Bennett,,46,1994,0.8478260869565217,6.591304347826087
Kristin Chenoweth,,7,2008,1.0,6.785714285714286
Mae Whitman,,10,1999,0.9,6.8
Pamela Adlon,,13,1996,0.7692307692307693,6.761538461538461
Lucy Liu,,7,2004,1.0,6.814285714285714
Raven-Symoné,,17,1999,0.8823529411764706,6.856249999999999
Rob Paulsen,blue,25,1992,0.92,6.512
Jesse McCartney,,8,2007,1.0,6.45
Bob Bergen,,33,1996,0.9696969696969697,7.009090909090909
Jennifer Oleksiuk,,3,2010,1.0,6.900000000000001
Morgan Tanner,,4,2003,1.0,6.750000000000001
Demi Lovato,,5,2008,0.8,6.719999999999999
Joe Jonas,,6,2008,0.8333333333333334,6.483333333333333
Nick Jonas,,6,2008,0.8333333333333334,6.483333333333333
Kevin Jonas,,6,2008,0.8333333333333334,6.483333333333333
Frankie Jonas,,4,2009,1.0,6.2250000000000005
Maria Canals-Barrera,,5,2007,0.8,6.9
Selena Gomez,,5,2007,0.8,7.0
Jake T. Austin,,5,2007,0.8,6.9
Jennifer Stone,,4,2007,0.75,6.7749999999999995
David DeLuise,,4,2007,0.75,7.174999999999999
Alyson Stoner,,11,2004,0.8181818181818182,6.745454545454544
Vincent Martella,,7,2007,0.7142857142857143,7.3
Thomas Brodie-Sangster,blue,6,2007,0.6666666666666666,7.266666666666666
Dan Povenmire,,6,2007,0.6666666666666666,7.250000000000001
Ashley Tisdale,,12,1998,0.75,7.016666666666667
Caroline Rhea,,8,2000,0.75,7.3375
Richard O'Brien,,7,1976,0.8571428571428571,7.000000000000001
Jeff 'Swampy' Marsh,,6,2007,0.6666666666666666,7.250000000000001
Maulik Pancholy,,7,2007,0.8571428571428571,6.885714285714286
Bobby Gaylor,,6,2007,0.6666666666666666,7.283333333333334
Mitchel Musso,,7,2005,0.8571428571428571,6.6
Tyler Alexander Mann,,3,2007,0.6666666666666666,7.400000000000001
Kelly Hu,,5,2003,0.8,7.160000000000001
Olivia Olson,,3,2011,1.0,7.133333333333333
John Viener,,3,2011,1.0,7.133333333333333
Walt Disney,,41,1928,0.975609756097561,6.887804878048781
Marcellite Garner,,9,1933,1.0,6.611111111111112
Peter Schneider,,3,2007,1.0,7.266666666666666
Thomas Schumacher,,3,2007,1.0,7.266666666666666
Roy Edward Disney,,4,2007,1.0,7.299999999999999
Ron Clements,,4,2007,1.0,7.225
John Musker,,4,2007,1.0,7.225
Glen Keane,,4,1995,1.0,7.324999999999999
Don Hahn,,4,2007,1.0,6.949999999999999
Robert A. Iger,,5,2007,1.0,7.279999999999999
Harry Sabin,,5,1979,1.0,7.38
Randy Cartwright,,3,2007,1.0,7.266666666666666
Milt Kahl,,3,1938,1.0,7.166666666666667
James MacDonald,,25,1936,1.0,6.836
Ward Kimball,,3,1941,1.0,7.166666666666667
Pinto Colvig,,46,1932,1.0,6.534782608695653
Clarence Nash,,47,1932,1.0,6.680851063829787
Billy Bletcher,,12,1933,1.0,6.724999999999999
Eddie Holden,,4,1935,1.0,6.65
Fred Tatasciore,blue,19,2006,0.7368421052631579,7.052631578947367
Zac Efron,,5,2006,1.0,6.9
Vanessa Hudgens,,3,2006,1.0,6.566666666666666
Lucas Grabeel,,9,2004,0.8888888888888888,6.366666666666666
Corbin Bleu,,4,2006,1.0,6.475
Monique Coleman,,3,2006,1.0,6.566666666666666
Olesya Rulin,,6,2001,1.0,6.099999999999999
Chris Warren,,3,2006,1.0,6.566666666666666
Ryne Sanborn,,3,2006,1.0,6.566666666666666
Kaycee Stroh,,3,2006,1.0,6.566666666666666
Bart Johnson,,3,2006,1.0,6.566666666666666
Alyson Reed,,3,2006,1.0,6.566666666666666
Leslie Wing,,4,2006,1.0,6.55
Robert Curtis Brown,,4,2001,1.0,6.225
Jessica Tuck,,5,1997,1.0,6.159999999999999
"Manly ""Little Pickles"" Ortega",,3,2007,1.0,6.366666666666667
Shawn Carter,,3,2006,1.0,6.566666666666666
Mollee Gray,,5,2006,1.0,6.68
Charles Klapow,,3,2006,1.0,6.566666666666666
Britt Stewart,,4,2006,1.0,6.65
Kevin Michael Richardson,red,24,2000,0.7083333333333334,6.650000000000001
Grey DeLisle,,18,2002,0.7777777777777778,6.872222222222223
Martin Short,,6,1997,1.0,6.333333333333333
Corey Burton,blue,30,1985,0.7333333333333333,6.899999999999998
Diedrich Bader,,13,1998,0.7692307692307693,6.661538461538461
Frank Welker,,57,1969,0.8947368421052632,6.887719298245614
Tress MacNeille,,30,1996,0.7333333333333333,6.633333333333332
Matt Lanter,blue,3,2008,0.6666666666666666,7.433333333333334
Kim Raver,,4,2006,1.0,6.875
Chloe Bennet,,4,2014,1.0,7.125000000000001
Roger Craig Smith,red,12,2009,0.75,6.925000000000001
Adrian Pasdar,red,3,2013,1.0,6.233333333333333
Clancy Brown,red,12,1996,0.6666666666666666,6.625
Liam O'Brien,red,4,2009,0.75,6.6000000000000005
Jim Cummings,blue,57,1985,0.7894736842105263,6.8122807017543865
Jack McBrayer,,4,2011,1.0,7.0
Debi Derryberry,,18,1992,1.0,6.755555555555556
John DiMaggio,,13,2000,0.6923076923076923,7.076923076923078
April Winchell,,27,1988,0.8148148148148148,6.562962962962963
Daveigh Chase,,3,2002,1.0,6.866666666666667
Chris Sanders,blue,9,1998,1.0,6.98888888888889
Tia Carrere,,4,2002,1.0,6.800000000000001
David Ogden Stiers,,15,1991,1.0,6.560000000000001
Kevin McDonald,,5,2002,1.0,6.6800000000000015
Liliana Mumy,,11,2002,0.9090909090909091,6.309090909090909
Ving Rhames,red,4,2002,1.0,7.050000000000001
Jess Harnell,,30,1997,0.9666666666666667,6.846666666666668
Kari Wahlgren,,17,2006,0.7647058823529411,7.223529411764706
John Kassir,,9,1995,1.0,6.244444444444444
Trevor Devall,blue,7,2015,0.2857142857142857,7.214285714285714
David Cowgill,blue,12,1998,1.0,6.958333333333333
Terri Douglas,blue,15,2005,1.0,6.920000000000001
Laraine Newman,,18,1996,1.0,7.072222222222222
Paul Pape,,7,2006,1.0,6.842857142857142
Nolan North,red,3,2006,0.3333333333333333,7.166666666666667
Mona Marshall,,13,1996,1.0,7.276923076923078
Daniel Kaz,,6,2006,1.0,6.916666666666665
Bridget Hoffman,red,6,2002,1.0,6.6499999999999995
Nicholas Guest,,7,2002,1.0,6.828571428571429
Eddie Frierson,,4,2006,1.0,6.925
Steve Blum,blue,7,2002,0.42857142857142855,7.6000000000000005
Tom Kane,blue,7,2008,0.5714285714285714,7.314285714285715
Idina Menzel,,9,2007,0.8888888888888888,6.933333333333333
Alan Tudyk,blue,15,2006,0.9333333333333333,7.280000000000001
Stephen J. Anderson,,5,2000,1.0,7.080000000000001
David Boat,blue,6,2009,0.8333333333333334,7.300000000000001
Paul Briggs,,7,2009,0.8571428571428571,7.271428571428571
June Christopher,red,8,2008,1.0,7.15
Jackie Gonneau,,8,2007,1.0,6.975
Scott Menville,,7,2005,1.0,6.8999999999999995
Lynwood Robinson,,8,2007,1.0,7.125
Robin Atkin Downes,blue,6,2006,0.8333333333333334,6.766666666666667
Matthew Wood,blue,13,1999,0.7692307692307693,7.092307692307693
Matt Sloan,blue,6,2002,0.6666666666666666,7.05
A.J. LoCascio,,4,2014,1.0,6.875000000000001
Megan Hilty,,4,2012,0.75,6.875
Angela Bartys,,4,2009,1.0,6.825
Anjelica Huston,,8,1998,1.0,6.975
Jane Horrocks,,5,2006,1.0,6.6
Thomas Lennon,blue,5,2009,0.6,7.0200000000000005
Wayne Allwine,,11,1983,1.0,7.045454545454546
Tony Anselmo,,18,1986,0.5555555555555556,7.538888888888888
Bill Farmer,,41,1990,0.6585365853658537,7.224390243902438
Russi Taylor,,20,1984,0.75,6.8649999999999975
Phil Proctor,,23,1991,1.0,7.273913043478262
Catherine O'Hara,,8,1990,1.0,6.825
Jodi Benson,,18,1989,0.8888888888888888,6.844444444444445
Kath Soucie,blue,27,1991,0.7777777777777778,6.644444444444445
Brad Garrett,,20,1996,0.9,6.505
Cree Summer,,9,1985,0.5555555555555556,6.522222222222223
Paige O'Hara,,6,1991,1.0,6.833333333333333
Rodger Bumpass,,15,1996,1.0,7.153333333333333
Andrew McDonough,,3,1999,1.0,6.633333333333333
Maurice LaMarche,,10,1992,0.9,6.959999999999999
Bill Fagerbakke,,6,1994,0.8333333333333334,6.533333333333334
Susanne Blakeslee,,4,2002,1.0,6.550000000000001
Jennifer Hale,blue,12,1994,0.6666666666666666,7.091666666666666
Carlos Alazraqui,,17,1997,0.8235294117647058,7.047058823529412
Jeannie Elias,,3,1996,0.6666666666666666,5.766666666666667
John Ratzenberger,,36,1980,1.0,7.166666666666667
Jack Angel,,26,1988,1.0,7.296153846153848
Greg Berg,,3,1984,0.6666666666666666,7.166666666666667
Sherry Lynn,,29,1989,0.9655172413793104,7.251724137931034
Mickie McGowan,,37,1988,1.0,7.024324324324324
Jeff Pidgeon,,13,1995,1.0,7.492307692307691
Patrick Pinney,,14,1991,1.0,7.500000000000001
Jan Rabson,,23,1995,1.0,7.052173913043478
Joe Ranft,,11,1993,1.0,7.49090909090909
