show_id,type,title,director,release_year,duration
s1,Movie,Duck the Halls: A Mickey Mouse Christmas Special,"Alonso Ramirez Ramos, Dave Wasson",2016,23
s2,Movie,Ernest Saves Christmas,John Cherry,1988,91
s3,Movie,Ice Age: A Mammoth Christmas,Karen Disher,2011,23
s4,Movie,The Queen Family Singalong,Hamish Hamilton,2021,41
s5,TV Show,The Beatles: Get Back,,2021,
s6,Movie,Becoming Cousteau,Liz Garbus,2021,94
s7,TV Show,Hawkeye,,2021,
s8,TV Show,Port Protection Alaska,,2015,
s9,TV Show,Secrets of the Zoo: Tampa,,2019,
s10,Movie,A Muppets Christmas: Letters To Santa,Kirk R. Thatcher,2008,45
s11,Movie,Adventure Thru the Walt Disney Archives,John Gleim,2020,59
s12,Movie,Puppy for Hanukkah,,2020,4
s13,Movie,The Pixar Story,Leslie Iwerks,2007,91
s14,TV Show,"Dr. Oakley, Yukon Vet",,2013,
s15,Movie,America the Beautiful,,2021,2
s16,Movie,Baymax!,,2021,1
s17,Movie,Ciao Alberto,McKenna Harris,2021,8
s18,TV Show,Disney Fancy Nancy,,2018,
s19,TV Show,Disney Intertwined,,2021,
s20,Movie,Enchanted,Kevin Lima,2007,110
s21,Movie,Feast,Patrick Osborne,2014,8
s22,Movie,Frozen Fever,"Chris Buck, Jennifer Lee",2015,11
s23,Movie,Get a Horse!,Lauren MacMullan,2013,7
s24,Movie,Home Sweet Home Alone,Dan Mazer,2021,95
s25,Movie,Jungle Cruise,Jaume Collet-Serra,2021,129
s26,Movie,Limitless with Chris Hemsworth,,2021,2
s27,Movie,Marvel Studios’ 2021 Disney+ Day Special,,2021,14
s28,Movie,Obi-Wan Kenobi,,2021,1
s29,TV Show,Olaf Presents,,2021,
s30,Movie,Paperman,John Kahrs,2012,7
s31,Movie,Pixar 2021 Disney+ Day Special,,2021,5
s32,Movie,Shang-Chi and The Legend of The Ten Rings,Destin Daniel Cretton,2021,134
s33,Movie,Spin,Manjari Makijany,2021,94
s34,Movie,Tangled Ever After,"Nathan Greno, Byron Howard",2012,9
s35,Movie,The Ballad of Nessie,"Stevie Wermers-Skelton, Kevin Deters",2011,8
s36,Movie,The Little Matchgirl,Roger Allers,2006,7
s37,Movie,The Making of Happier Than Ever: A Love Letter to Los Angeles,David Clair,2021,30
s38,Movie,The Proud Family: Louder and Prouder,,2021,1
s39,Movie,The Simpsons in Plusaversary,David Silverman,2021,6
s40,Movie,Tick Tock Tale,Dean Wellins,2010,6
s41,Movie,Under the Helmet: The Legacy of Boba Fett,,2021,22
s42,Movie,Willow,,2021,3
s43,Movie,Alvin and the Chipmunks: Chipwrecked,Mike Mitchell,2011,87
s44,Movie,Jingle All The Way,Brian Levant,1996,90
s45,Movie,Jingle All the Way 2,Alex Zamm,2014,91
s46,Movie,Prep & Landing: Operation Secret Santa,"Kevin Deters, Stevie Wermers-Skelton",2010,8
s47,Movie,Santa Buddies: The Legend of Santa Paws,Robert Vince,2009,93
s48,Movie,Snow Buddies,Robert Vince,2008,91
s49,Movie,Space Buddies,Robert Vince,2009,87
s50,Movie,The Search for Santa Paws,Robert Vince,2010,101
s51,Movie,X-Men: First Class,Matthew Vaughn,2011,132
s52,TV Show,Disney Amphibia,,2018,
s53,TV Show,Photo Ark,,2017,
s54,TV Show,Storm Rising,,2021,
s55,Movie,Bob Ballard: An Explorer's Life,,2021,44
s56,Movie,"McFarland, USA",Niki Caro,2015,131
s57,Movie,Rookie of the Year,Daniel Stern,1993,104
s58,Movie,Thumbelina,"Don Bluth, Gary Goldman",1994,87
s59,TV Show,PJ Masks,,2015,
s60,TV Show,The Wild Life of Dr. Ole,,2021,
s61,Movie,Lost Cities with Albert Lin: The Great Flood,Jim Greayer,2021,44
s62,Movie,Megacity of the Maya Warriors,Ben Crichton,2021,44
s63,TV Show,Apollo: Back To The Moon,,2019,
s64,TV Show,Just Beyond,,2021,
s65,TV Show,Secrets Of The Zoo: Down Under,,2020,
s66,TV Show,Secrets of the Zoo: North Carolina,,2020,
s67,TV Show,The Wizard of Paws,,2021,
s68,TV Show,Zombies: Addison's Moonstone Mystery,,2020,
s69,Movie,Just Roll With It: You Decide Live!,,2019,52
s70,Movie,Mickey's Tale of Two Witches,Jeff Gordon,2021,47
s71,Movie,Muppets Haunted Mansion,Kirk Thatcher,2021,53
s72,Movie,The Most Magical Story on Earth: 50 Years of Walt Disney World,Dave Hoffman,2021,85
s73,Movie,Under Wraps,Alex Zamm,2021,92
s74,TV Show,Among the Stars,,2021,
s75,Movie,Black Widow,Cate Shortland,2021,135
s76,TV Show,Drain the Oceans,,2017,
s77,TV Show,Drain The Oceans: The Mississippi River & Arctic War,,2021,
s78,Movie,Fauci,"John Hoffman, Janet Tobias",2021,105
s79,TV Show,IMPACT with Gal Gadot,,2021,
s80,TV Show,The Ghost and Molly McGee,,2021,
s81,Movie,Alvin and the Chipmunks,Tim Hill,2007,91
s82,Movie,Alvin and the Chipmunks: The Road Chip,Walt Becker,2015,92
s83,Movie,LEGO Star Wars Terrifying Tales,Ken Cunningham,2021,47
s84,Movie,Maleficent,Robert Stromberg,2014,99
s85,Movie,The Scariest Story Ever: A Mickey Mouse Halloween Spooktacular,"Alonso Ramirez Ramos, Eddie Trigueros, Dave Wasson",2017,22
s86,TV Show,Disney Vampirina,,2017,
s87,TV Show,Disney's Magic Bake-Off,,2021,
s88,TV Show,Great Barrier Reef,,2020,
s89,TV Show,Ready for Preschool,,2019,
s90,TV Show,Rolie Polie Olie,,1998,
s91,TV Show,Star Wars Galaxy of Sounds,,2021,
s92,TV Show,The Hatcher Family Dairy,,2021,
s93,TV Show,The Simpsons,,1989,
s94,Movie,A Spark Story,"Jason Sterman, Leanne Dare",2021,88
s95,Movie,Spooky Buddies,Robert Vince,2011,93
s96,Movie,The Fault in Our Stars,Josh Boone,2014,127
s97,TV Show,Dog: Impossible,,2019,
s98,TV Show,Spidey And His Amazing Friends,,2021,
s99,TV Show,Star Wars: Visions,,2021,
s100,Movie,Confessions of a Shopaholic,P.J. Hogan,2009,106
s101,Movie,Descendants: Royal Wedding,Salvador Simó,2021,22
s102,Movie,Disney's Broadway Hits at London's Royal Albert Hall,Jay Hatcher,2016,116
s103,Movie,Flooded Tombs of the Nile,Katie Bauer Murdock,2021,44
s104,Movie,Jade Eyed Leopard,,2020,44
s105,Movie,Nona,Louis Gonzales,2021,9
s106,Movie,Smoky Mountain Park Rangers,,2021,42
s107,TV Show,Life Below Zero,,2012,
