year,total_assets
2006,60
2007,60.93
2008,62.50
2009,63.12
2010,69.21
2011,72.12
2012,74.90
2013,81.24
2014,84.14
2015,88.18
2016,92.03
2017,95.79
2018,98.60
2019,193.98
2020,201.55
2021,203.61
