Temperature;Emissivity
0;0.121
25;0.121
200;0.178
400;0.228
600;0.561
800;0.600
1000;0.600
1200;0.600
1400;0.600
1650;0.405
1900;0.402
2100;0.400
2300;0.398
2600;0.395
3000;0.395
