Temperature;CoefficientOfThermalExpansion;CoefficientOfThermalExpansionCooling
 22.58100;-5.04528E-07;9.44446E-06
 22.58100;-3.86495E-07;9.47673E-06
 22.58100;-2.68462E-07;9.50883E-06
 22.58100;-1.50429E-07;9.54076E-06
 22.58100;-1.33807E-08;9.55618E-06
 22.58300;1.71967E-07;9.50962E-06
 22.58100;3.13113E-07;9.44215E-06
 22.57900;3.4201E-07;9.38312E-06
 22.58000;2.45585E-07;9.35677E-06
 22.58000;8.73112E-08;9.37718E-06
 22.58000;-4.2953E-08;9.42365E-06
 22.58000;-9.38859E-08;9.47569E-06
 22.58000;-8.17391E-08;9.51957E-06
 22.58300;-5.04228E-08;9.54666E-06
 22.58300;1.28601E-08;9.56645E-06
 22.58600;1.38825E-07;9.57166E-06
 22.59000;2.99973E-07;9.5383E-06
 22.59300;4.09899E-07;9.45763E-06
 22.59800;3.67424E-07;9.35769E-06
 22.60100;1.68797E-07;9.27503E-06
 22.60600;-6.26744E-08;9.22268E-06
 22.61400;-1.88166E-07;9.20173E-06
 22.62000;-2.07318E-07;9.2274E-06
 22.62800;-1.73552E-07;9.31369E-06
 22.63800;-1.14937E-07;9.42706E-06
 22.65000;-7.56748E-08;9.51378E-06
 22.66100;-5.89587E-08;9.53817E-06
 22.67400;-6.02709E-08;9.50241E-06
 22.68800;-8.41898E-08;9.46185E-06
 22.70000;-8.1438E-08;9.46143E-06
 22.71300;4.50027E-09;9.49258E-06
 22.73200;1.49594E-07;9.52658E-06
 22.74800;2.8137E-07;9.54582E-06
 22.76800;3.36829E-07;9.52969E-06
 22.78700;2.96117E-07;9.47624E-06
 22.80800;2.07595E-07;9.42312E-06
 22.82800;1.69982E-07;9.39535E-06
 22.85200;2.3772E-07;9.40043E-06
 22.87500;3.96558E-07;9.41749E-06
 22.90100;5.79385E-07;9.42247E-06
 22.92900;6.76827E-07;9.42028E-06
 22.95500;6.42069E-07;9.42471E-06
 22.98300;5.12397E-07;9.4492E-06
 23.00900;4.01248E-07;9.48484E-06
 23.04100;4.05988E-07;9.517E-06
 23.07200;5.46874E-07;9.52991E-06
 23.10400;7.74654E-07;9.51788E-06
 23.13900;9.61755E-07;9.49157E-06
 23.17400;1.00514E-06;9.4628E-06
 23.21100;9.02245E-07;9.45986E-06
 23.24700;7.56098E-07;9.50028E-06
 23.28200;6.67909E-07;9.55959E-06
 23.32300;6.88693E-07;9.6042E-06
 23.36300;8.01126E-07;9.60446E-06
 23.40300;9.16947E-07;9.55183E-06
 23.44500;9.79764E-07;9.44731E-06
 23.48700;9.92768E-07;9.307E-06
 23.52900;1.01451E-06;9.1885E-06
 23.57300;1.13171E-06;9.14979E-06
 23.62000;1.37205E-06;9.23412E-06
 23.66400;1.65429E-06;9.40215E-06
 23.71100;1.83629E-06;9.54657E-06
 23.76000;1.81375E-06;9.58846E-06
 23.80800;1.63142E-06;9.54064E-06
 23.85800;1.4374E-06;9.48797E-06
 23.90800;1.32046E-06;9.46414E-06
 23.96000;1.28603E-06;9.45253E-06
 24.00700;1.30978E-06;9.42422E-06
 24.06400;1.38926E-06;9.39353E-06
 24.11300;1.51579E-06;9.40316E-06
 24.16800;1.67679E-06;9.44308E-06
 24.22200;1.80806E-06;9.48547E-06
 24.27700;1.8614E-06;9.5101E-06
 24.33100;1.86378E-06;9.51844E-06
 24.38800;1.85312E-06;9.52454E-06
 24.44500;1.84E-06;9.52833E-06
 24.50400;1.82006E-06;9.52212E-06
 24.56300;1.79508E-06;9.51811E-06
 24.62300;1.78473E-06;9.53199E-06
 24.68200;1.79425E-06;9.54517E-06
 24.74000;1.80294E-06;9.53908E-06
 24.80500;1.80634E-06;9.5181E-06
 24.86400;1.85092E-06;9.48248E-06
 24.92300;1.97979E-06;9.43457E-06
 24.99000;2.17105E-06;9.38071E-06
 25.05300;2.3522E-06;9.33405E-06
 25.11400;2.43825E-06;9.33448E-06
 25.17800;2.39918E-06;9.41334E-06
 25.24200;2.28933E-06;9.56347E-06
 25.30400;2.19037E-06;9.73169E-06
 25.37500;2.15274E-06;9.835E-06
 25.44200;2.18092E-06;9.81225E-06
 25.50700;2.23562E-06;9.6724E-06
 25.57600;2.26881E-06;9.48187E-06
 25.63700;2.26735E-06;9.33304E-06
 25.71100;2.27368E-06;9.29057E-06
 25.77800;2.32805E-06;9.34667E-06
 25.84800;2.40723E-06;9.45855E-06
 25.91500;2.4536E-06;9.56748E-06
 25.98300;2.44393E-06;9.61701E-06
 26.05300;2.41956E-06;9.57029E-06
 26.12900;2.43253E-06;9.44083E-06
 26.19700;2.48981E-06;9.29214E-06
 26.26600;2.55835E-06;9.19417E-06
 26.34000;2.60559E-06;9.19837E-06
 26.41400;2.64084E-06;9.3069E-06
 26.48400;2.69403E-06;9.47037E-06
 26.55900;2.77153E-06;9.6049E-06
 26.63300;2.85725E-06;9.65147E-06
 26.70800;2.91292E-06;9.61353E-06
 26.78300;2.90148E-06;9.53983E-06
 26.85700;2.83182E-06;9.49665E-06
 26.93200;2.75226E-06;9.52226E-06
 27.00800;2.72691E-06;9.58256E-06
 27.08300;2.80674E-06;9.6143E-06
 27.16000;2.97994E-06;9.59363E-06
 27.23800;3.17416E-06;9.52603E-06
 27.31300;3.30436E-06;9.45355E-06
 27.39000;3.34425E-06;9.41862E-06
 27.46700;3.33176E-06;9.42578E-06
 27.54600;3.33222E-06;9.43572E-06
 27.62200;3.376E-06;9.41652E-06
 27.70300;3.4243E-06;9.39191E-06
 27.78100;3.43439E-06;9.3869E-06
 27.86100;3.397E-06;9.4227E-06
 27.94100;3.36307E-06;9.4835E-06
