budget,countries,runtime,cast_size,crew_size,cast_vote_avg,popular
0,0,89,6,3,6.1,False
0,1,4,15,17,6.6,False
0,1,88,1,7,6.9,True
0,1,7,4,12,5.8,True
0,1,9,5,13,6.3,False
0,3,75,15,15,6.5,False
111000000,2,108,50,148,6.8,True
0,1,60,1,1,6.5,True
0,1,90,3,34,6.9,True
0,1,107,20,16,5.9,False
115000000,1,136,118,107,6.4,False
0,1,78,15,9,6.4,True
0,1,89,36,17,6.0,False
35000000,3,125,34,48,6.3,True
0,1,2,7,20,6.1,False
0,1,84,28,20,6.0,False
150000000,1,98,46,157,6.6,False
0,0,70,7,11,5.9,False
0,1,89,45,12,6.0,False
6000000,1,139,60,40,6.3,True
50000000,1,98,23,26,6.1,False
0,1,75,13,22,6.6,False
0,1,26,12,10,6.2,False
120000000,1,99,36,39,6.4,False
0,0,47,10,4,5.8,False
0,1,7,3,10,6.4,True
0,1,94,26,13,5.9,False
170000000,1,112,45,341,6.4,False
0,0,3,3,3,6.3,False
0,1,9,3,9,6.3,True
0,0,61,14,7,6.0,False
0,1,88,8,3,6.1,False
0,0,85,3,3,5.7,False
0,1,120,18,10,5.8,False
0,1,45,1,3,7.8,True
250000000,1,132,84,96,6.2,True
75000000,4,110,33,127,6.2,False
0,0,93,19,4,5.8,False
0,1,88,0,2,0.0,True
0,1,69,1,5,6.9,True
0,2,93,17,74,6.1,False
0,1,60,15,5,6.7,False
15000000,1,128,25,27,6.0,True
15887,1,8,5,23,6.3,False
0,1,83,12,4,6.1,False
0,1,33,11,2,7.1,True
30000000,1,63,12,94,6.6,False
0,1,88,20,22,6.0,True
11000000,1,117,40,39,6.1,False
50000000,1,124,55,41,6.2,False
120000000,1,142,97,154,6.3,False
0,0,55,2,1,6.5,True
0,1,89,18,5,5.8,False
0,1,7,2,27,6.4,False
0,1,30,1,7,6.9,False
0,0,45,11,2,6.9,True
0,0,44,1,0,6.0,False
175000000,2,105,85,179,6.1,True
8000000,1,104,24,22,5.8,False
0,2,44,2,31,5.6,True
0,1,85,33,14,5.7,False
120000000,1,117,87,312,6.5,False
0,1,14,11,10,6.2,False
0,1,107,60,140,6.2,True
0,1,6,11,12,6.4,True
0,0,60,15,5,6.9,False
150000000,1,107,13,286,7.0,True
0,1,45,6,7,5.6,True
0,2,8,4,28,6.2,True
0,1,90,10,17,6.9,False
0,0,46,5,2,7.0,True
30000000,1,81,42,205,6.5,True
0,0,84,6,2,6.1,False
237000000,2,162,37,978,6.1,True
28000000,1,90,26,102,6.7,True
15000000,1,121,29,18,6.1,False
0,1,44,1,1,7.5,True
0,1,3,0,20,0.0,False
20000000,1,98,10,52,5.9,False
80000000,2,95,59,101,6.3,False
130000000,1,124,53,117,6.0,False
0,0,60,2,7,5.1,True
0,1,79,18,13,6.1,False
0,0,95,38,13,6.1,False
0,0,87,8,15,5.7,False
175000000,1,95,65,374,6.4,True
20000000,1,91,34,15,6.3,False
0,1,90,8,3,5.7,False
150000000,1,109,37,114,6.1,False
40000000,1,89,15,90,5.9,False
0,1,23,11,2,7.0,True
0,1,7,2,12,6.2,False
60000000,2,94,56,32,6.0,False
0,0,90,11,8,6.0,False
0,2,89,10,5,6.1,False
21000000,1,99,56,20,6.0,False
250000000,1,135,108,250,6.3,False
0,1,77,33,24,6.6,False
25000000,1,80,17,48,6.2,False
225000000,4,150,50,125,6.0,False
175000000,1,102,43,204,6.3,False
0,1,97,23,8,6.1,False
0,1,7,2,10,6.4,False
0,1,59,4,2,6.6,False
0,1,44,2,6,7.2,True
0,3,44,17,21,6.8,False
0,1,106,19,10,6.1,False
60000000,1,92,57,71,6.0,False
2000000,1,91,27,16,6.5,False
0,1,60,7,7,6.2,True
0,1,100,48,26,6.0,False
0,0,45,1,1,6.1,False
0,1,80,14,17,6.5,False
0,0,44,0,1,0.0,False
0,0,95,10,5,5.9,False
0,1,60,1,0,7.7,True
100000000,1,78,31,58,6.5,True
0,1,64,16,13,6.8,True
10000000,1,100,19,36,6.0,False
9000000,1,95,15,20,6.4,True
0,1,8,1,22,6.3,False
0,2,58,19,16,6.2,False
0,1,25,24,9,6.4,False
0,1,104,15,7,6.1,False
150000000,1,101,31,57,6.3,True
0,1,7,1,12,6.2,False
0,1,49,1,8,6.5,False
110000000,1,133,70,84,6.1,True
50663,1,9,9,21,6.3,True
0,1,81,24,22,6.0,False
14000000,1,107,14,19,5.8,False
0,1,4,2,27,6.4,False
0,1,87,6,9,7.1,True
37605,1,9,5,17,6.1,False
0,1,91,15,16,6.1,False
0,1,96,27,19,6.1,False
160000000,1,132,67,151,6.1,True
12000000,1,84,26,11,5.9,False
0,1,94,12,4,6.2,False
30000000,1,84,20,39,5.7,False
0,2,44,3,2,6.8,False
0,1,128,55,13,6.2,True
39000000,1,87,14,83,6.6,False
0,1,45,1,5,6.0,False
12000000,1,89,17,33,6.2,False
0,1,8,1,7,6.3,False
0,1,5,6,6,6.6,True
0,1,86,172,2,6.5,True
0,1,45,1,2,7.0,False
0,1,160,21,51,7.0,True
40000000,1,87,30,248,6.4,True
0,1,107,57,31,6.1,False
0,1,7,1,10,0.0,False
0,1,7,2,10,6.2,False
190000000,1,130,89,117,6.0,False
115000000,1,92,53,427,6.4,True
0,1,4,0,21,0.0,False
0,1,97,21,22,6.1,False
15000000,1,90,22,94,6.3,False
150000000,1,107,63,162,6.1,False
3000000,1,97,12,23,6.1,False
0,1,83,7,16,5.8,True
0,1,5,7,9,6.6,False
0,1,96,50,12,6.2,False
0,1,7,1,19,6.3,False
31000000,1,137,67,59,6.1,True
0,1,94,7,5,6.8,True
15000000,1,124,19,85,6.4,True
0,2,92,24,45,6.6,True
0,1,104,62,17,6.3,False
0,1,7,3,2,7.4,True
60000000,2,82,52,17,6.1,False
14000000,1,98,37,36,5.7,True
300000000,1,149,65,587,6.6,True
0,1,72,12,25,6.1,False
0,1,73,22,11,6.2,False
0,1,93,9,12,6.0,False
0,1,172,17,11,6.1,False
0,1,90,19,9,6.2,False
140000000,1,126,75,187,6.3,True
16855,1,8,5,23,6.2,False
0,1,51,3,8,6.6,False
25000000,1,83,20,41,6.1,False
0,1,88,4,3,7.0,True
24000000,1,69,16,35,6.7,False
2600000,1,88,14,77,6.1,True
0,1,93,23,24,6.1,False
0,0,0,18,0,7.2,False
0,5,108,22,26,5.9,True
0,1,0,1,1,0.0,False
2000000,1,90,8,1,6.3,True
0,1,101,16,12,6.3,False
0,0,4,7,3,6.4,False
0,1,9,6,5,6.6,True
4000000,1,78,15,33,6.0,True
0,1,92,8,2,5.7,False
0,2,93,21,3,5.8,False
80000000,1,99,62,87,5.9,False
0,0,32,0,1,0.0,True
0,0,105,0,1,0.0,False
0,1,46,7,6,5.7,False
12000000,1,126,52,64,6.3,True
0,0,46,1,0,6.5,False
0,0,0,3,1,9.0,True
0,1,83,12,11,6.0,False
0,1,106,33,40,6.0,False
0,1,91,40,10,6.3,False
0,1,94,19,19,6.1,True
0,1,40,6,11,6.6,True
0,1,6,0,37,0.0,True
0,1,4,0,32,0.0,True
140000000,1,124,58,587,6.4,True
0,3,45,18,19,6.4,False
0,1,8,2,6,6.5,False
210000000,1,104,62,248,6.2,False
0,1,47,11,2,6.8,False
5000000,1,127,19,25,6.0,True
0,1,7,3,17,6.3,False
17145,1,8,4,22,6.1,False
0,1,94,1,9,0.0,True
5000000,0,83,8,3,5.7,False
120000000,3,100,69,192,6.1,False
0,1,83,3,4,5.8,False
70000000,1,104,52,48,6.4,True
32671,1,9,4,16,6.2,False
0,0,180,0,0,0.0,False
150000000,1,102,61,283,6.5,True
0,1,89,6,1,8.0,True
25000000,2,109,32,63,6.0,False
58000000,1,125,48,236,6.1,False
150000000,1,95,38,22,6.4,False
200000000,1,114,90,105,6.2,False
0,1,9,10,21,6.5,True
0,1,4,17,14,6.6,False
0,1,112,22,20,6.0,False
0,0,4,3,3,6.0,False
0,2,79,14,75,6.6,False
0,1,104,26,14,6.5,False
0,2,85,23,18,5.8,False
6500000,1,108,39,30,6.1,False
0,1,6,0,17,0.0,True
0,1,5,0,30,0.0,False
65000000,1,104,57,45,6.1,False
0,1,99,62,255,6.5,True
0,1,84,27,9,6.6,False
0,2,92,25,91,6.3,False
0,1,0,1,5,6.0,True
0,1,79,1,1,0.0,True
0,1,129,19,33,6.2,True
0,1,9,2,13,6.2,False
0,0,0,4,1,5.7,True
0,0,95,13,4,6.0,False
0,1,73,10,28,6.2,False
0,1,8,3,4,6.3,False
0,1,7,2,19,6.5,False
18000000,4,78,31,23,6.6,False
4500000,1,84,10,3,6.1,False
0,1,113,14,18,6.1,True
0,1,7,3,12,6.4,False
200000000,1,106,52,235,6.2,False
0,2,104,60,14,6.4,False
0,1,7,1,10,6.3,False
0,0,60,0,0,0.0,False
220000000,1,143,113,566,6.3,True
0,1,77,6,52,6.6,False
0,1,22,12,7,6.5,True
0,1,88,6,11,5.9,True
0,1,44,1,2,0.0,False
0,1,84,1,1,6.4,False
0,0,97,0,1,0.0,False
0,2,142,23,42,6.2,False
0,1,7,2,39,6.6,False
0,1,71,3,0,8.4,True
32350000,1,135,175,63,6.4,True
0,1,71,7,4,6.6,False
59000000,1,120,20,91,6.5,False
50000000,1,99,41,45,5.9,False
0,2,86,25,6,6.0,False
0,0,27,1,1,6.8,True
0,1,8,4,10,6.3,False
200000000,1,118,25,258,6.3,True
4986,1,8,1,14,6.5,True
260000000,1,100,36,268,6.3,True
170000000,2,113,76,123,6.5,False
0,1,68,13,21,6.2,False
0,1,79,22,17,6.6,False
0,1,8,2,11,6.3,True
0,1,7,2,10,6.3,False
100000000,1,91,52,39,6.6,True
0,1,44,1,0,6.0,False
180000000,1,98,30,222,6.4,True
6000000,1,90,14,6,6.0,False
28000000,1,81,48,105,6.2,False
2280000,1,124,4,38,6.5,True
0,1,9,14,12,7.0,False
130000000,1,117,79,353,6.3,True
0,1,5,4,28,6.5,True
0,1,7,5,12,5.4,True
0,1,6,1,10,6.3,False
1200000,1,78,17,22,6.3,False
53000000,1,94,92,63,6.5,True
0,1,7,1,11,6.2,False
0,1,7,5,14,6.3,True
36000000,2,84,21,31,6.7,False
65000000,1,104,58,65,6.0,False
170000000,1,121,74,222,6.3,True
0,1,104,12,1,6.1,False
0,1,9,4,57,4.5,True
65000000,1,119,49,64,6.3,False
0,1,4,8,33,6.5,False
183000000,1,128,41,64,6.7,True
80000000,1,93,16,94,6.2,False
0,1,6,3,10,6.4,False
0,1,6,13,11,6.4,True
0,1,22,14,2,6.6,True
0,1,104,32,34,5.9,False
0,1,105,8,2,6.2,False
0,1,93,13,12,4.9,False
0,0,45,1,1,5.4,False
0,0,44,0,0,0.0,True
0,2,72,13,8,6.7,False
0,0,83,8,8,5.7,False
0,2,45,1,9,7.1,True
150000000,1,103,64,37,6.6,True
0,0,96,16,3,5.7,False
140000000,1,143,71,223,6.1,True
0,1,8,6,13,6.9,False
0,1,89,29,13,6.1,False
30000000,1,113,91,33,6.1,True
0,1,89,5,3,5.9,False
48000000,2,78,20,37,6.5,False
0,1,68,27,26,6.5,False
75000000,1,104,54,44,6.4,True
175000000,1,96,31,297,6.4,True
18000000,1,124,74,69,6.5,True
0,1,72,38,26,6.6,False
0,1,7,2,41,0.0,True
0,1,122,18,30,6.0,True
0,1,88,16,12,6.0,False
175000000,1,112,85,48,6.5,True
0,1,10,4,12,7.7,False
0,1,7,2,11,6.3,False
0,0,92,10,1,5.9,False
0,1,93,133,13,6.3,False
0,1,11,7,13,6.5,False
130000000,1,117,79,353,6.3,True
0,1,7,1,2,0.0,True
80000000,1,74,13,64,6.8,True
250000000,1,147,103,135,6.4,True
0,1,99,23,17,6.0,False
0,1,101,23,4,6.6,True
165000000,1,101,67,263,6.4,True
25000000,1,127,60,120,6.2,True
200000000,1,124,89,62,6.3,False
0,1,4,5,28,6.5,False
0,1,66,20,97,6.8,True
0,4,84,3,29,6.1,True
5250000,1,93,14,4,6.1,False
15000000,1,106,53,23,6.4,True
50000000,2,112,72,66,6.4,False
0,1,7,1,11,6.2,False
0,1,44,4,5,6.5,False
0,2,88,16,63,6.0,False
3000000,1,79,16,16,6.3,True
0,1,101,52,16,5.9,True
0,1,19,5,13,6.3,False
50000000,1,125,21,80,6.5,False
24000000,1,146,21,19,6.1,True
75000000,1,87,19,66,6.5,True
3500000,1,69,14,76,6.7,False
0,1,45,1,32,7.1,True
356000000,1,181,103,528,6.5,True
45000000,1,113,18,26,6.2,False
0,1,101,13,11,6.0,False
0,0,88,1,4,6.5,False
0,1,85,8,2,6.3,False
0,1,6,0,11,0.0,True
1488423,1,83,13,114,6.1,True
0,1,4,16,13,6.6,False
0,2,90,15,13,5.7,False
152000000,1,124,53,581,6.5,False
200000000,1,97,32,47,6.3,True
0,1,12,29,0,6.6,False
0,1,65,5,6,6.8,True
0,1,6,12,6,6.4,False
0,0,85,24,3,6.0,False
0,1,52,33,43,6.2,False
0,1,59,4,2,6.6,False
0,2,81,17,36,6.7,False
0,1,5,0,13,0.0,True
130000000,1,88,25,49,6.5,True
0,1,7,3,11,6.4,False
30000000,1,77,11,64,6.8,False
0,1,30,5,1,6.7,True
0,1,4,0,14,0.0,True
80000000,4,87,13,19,6.3,False
0,1,7,7,20,6.8,False
2000000,0,50,1,1,0.0,False
200000000,1,104,98,418,6.5,True
45000000,1,93,10,21,6.0,False
0,2,88,26,3,5.9,False
0,1,2,2,20,7.2,False
0,1,8,1,15,6.3,False
165000000,1,102,48,43,6.6,True
32000000,1,98,12,16,6.1,False
18000000,1,103,59,127,6.0,True
0,1,97,26,24,6.1,False
0,0,90,12,2,5.8,False
25990,1,8,3,15,6.2,False
0,1,45,11,10,7.2,True
0,1,4,1,37,6.6,True
23000000,3,106,27,12,6.2,True
0,1,90,15,5,6.5,False
0,1,8,3,8,6.3,False
4000000,1,77,12,42,6.3,True
0,1,78,1,28,6.4,True
20000000,3,72,17,10,6.7,False
0,1,45,23,17,6.3,False
150000000,1,81,28,68,6.2,False
92000000,1,115,60,346,6.6,True
25000000,2,98,60,50,6.0,False
56000000,2,95,78,116,6.0,False
35458,1,10,1,6,6.1,False
10000000,1,120,33,8,5.9,False
200000000,1,127,34,106,6.6,True
150000000,1,115,55,291,6.3,False
80000000,1,91,70,170,6.4,False
13000000,1,93,12,5,5.9,False
0,1,45,0,0,0.0,False
17000000,1,96,13,20,5.9,False
0,1,7,10,2,6.4,False
0,1,5,5,19,6.2,True
0,1,101,19,16,6.1,True
0,0,96,9,2,5.8,False
0,1,90,36,14,5.9,False
0,0,3,4,3,6.2,False
0,1,96,9,7,6.0,False
0,1,84,9,24,6.6,False
0,1,81,1,2,6.6,False
0,1,65,10,23,6.5,False
0,1,7,2,11,6.3,False
0,1,92,8,14,6.1,False
0,1,90,4,8,6.4,False
245000000,1,136,188,249,6.5,True
60000000,1,89,92,38,6.3,False
0,1,2,0,16,0.0,True
0,1,81,32,4,6.1,False
0,1,8,2,17,6.3,False
10000000,1,101,29,17,6.1,False
0,2,69,23,7,6.6,False
35000000,2,76,20,10,6.3,False
0,1,84,20,1,6.5,True
150000000,1,88,27,98,6.3,False
0,1,22,8,1,7.3,False
50000000,1,83,36,16,6.0,False
5000000,3,78,1,8,6.4,True
200000000,1,134,77,510,6.4,True
0,1,46,4,6,6.6,True
3000000,1,26,8,15,6.4,True
0,1,7,2,9,6.5,False
0,1,7,3,13,6.3,True
0,1,7,2,8,6.3,False
4200000,1,98,67,26,6.2,False
0,1,74,13,22,6.4,False
0,1,96,4,1,0.0,False
0,0,3,3,3,6.3,False
50000000,1,95,61,199,6.2,True
0,1,7,8,9,6.2,False
0,1,6,3,8,6.5,False
0,1,22,14,8,6.4,True
0,1,90,10,13,6.3,False
0,1,85,16,7,6.0,False
5000000,1,90,15,13,5.9,False
0,1,43,60,5,6.6,True
0,0,94,24,8,6.1,False
31000000,1,100,31,16,6.1,False
0,0,86,13,13,5.8,False
200000000,1,130,111,68,6.2,False
0,1,92,6,9,5.4,False
7000000,1,74,17,13,5.9,False
0,1,7,24,9,6.4,False
0,1,75,24,46,6.5,False
0,0,93,23,10,5.9,True
0,1,131,17,13,6.0,False
12000000,2,87,59,36,6.4,False
0,1,18,0,0,0.0,False
0,1,5,1,10,7.3,False
95000000,1,118,95,125,5.9,False
0,1,7,4,21,0.0,False
0,1,7,1,12,6.3,False
0,1,91,15,18,5.9,False
0,1,92,11,2,6.7,False
150000000,2,105,68,131,6.2,False
14000000,1,106,23,39,6.2,False
180000000,1,97,74,27,6.2,True
0,1,26,6,9,6.2,True
0,2,52,6,10,6.7,True
0,1,88,30,13,5.9,False
0,1,9,1,20,6.3,True
130000000,3,92,35,46,6.1,False
0,1,22,6,0,7.0,False
0,1,120,2,4,5.8,False
0,1,76,1,8,6.5,False
0,1,44,5,1,7.1,False
75000000,1,87,33,56,6.1,False
0,1,44,1,1,0.0,True
0,0,60,1,1,6.4,True
11000000,0,0,0,0,0.0,True
0,1,148,20,34,5.9,False
0,1,70,1,2,6.9,True
120000000,1,95,59,298,6.4,True
155000000,2,113,40,85,6.2,False
0,1,105,35,16,5.9,False
0,1,81,11,49,6.5,False
31000000,2,100,68,10,6.5,False
0,1,91,20,21,6.0,False
50000000,1,98,46,14,6.3,False
38000000,2,107,46,16,6.1,False
0,1,7,1,10,6.2,False
0,0,81,13,1,6.4,False
24000000,1,100,39,47,6.0,True
0,1,88,26,18,5.9,False
100000000,1,107,18,71,6.3,True
0,1,106,10,52,5.9,True
0,1,81,18,5,6.0,False
0,1,80,12,15,6.1,False
0,1,32,1,6,6.9,True
0,2,93,29,35,6.0,False
41000000,1,100,53,156,6.1,False
165000000,1,115,43,161,6.4,True
9000000,1,95,15,20,6.4,True
0,1,22,50,82,6.5,False
0,1,41,32,2,6.6,False
0,1,6,2,15,6.5,False
0,1,93,10,3,5.8,False
0,1,51,29,23,6.7,True
0,1,7,3,12,6.4,False
0,1,44,0,3,0.0,True
0,0,4,3,3,6.4,False
0,2,81,26,27,6.3,True
0,1,9,0,20,0.0,True
90000000,1,92,44,323,6.6,True
127500000,1,82,15,22,6.2,False
200000000,2,134,32,98,6.4,True
0,1,111,66,13,6.5,True
0,0,47,6,1,5.0,False
25000000,1,105,39,11,6.2,True
0,1,44,1,6,5.2,False
4000000,1,78,18,21,6.2,True
200000000,1,103,13,47,6.7,True
0,1,91,17,20,6.1,False
0,1,44,1,2,0.0,True
20000000,1,105,35,23,6.4,False
0,1,151,31,18,6.7,True
500000,3,83,3,3,4.2,True
0,1,75,1,1,6.9,True
0,1,76,8,4,6.0,False
0,1,100,14,2,5.8,False
0,1,90,7,2,5.7,False
32000000,1,102,36,173,6.0,False
0,0,85,20,9,5.3,False
22000000,1,110,57,37,6.5,False
0,1,22,4,3,6.8,True
0,1,155,11,5,6.8,True
0,1,89,16,3,6.1,False
0,1,88,5,11,5.9,False
0,1,93,42,44,6.4,True
8000000,1,111,27,48,5.9,False
25000000,1,84,50,205,6.6,True
0,1,108,45,40,6.0,False
0,1,0,0,1,0.0,True
0,1,87,13,5,6.0,False
0,0,44,0,0,0.0,False
0,1,77,13,24,6.8,False
0,1,7,1,11,6.2,False
110000000,1,76,27,77,6.0,False
0,2,83,1,12,6.4,False
0,1,118,21,30,6.1,True
0,1,7,3,12,6.4,True
0,1,82,13,4,5.7,False
6000000,1,84,24,5,5.7,False
0,1,55,18,46,6.4,False
0,1,71,6,16,6.7,False
0,1,44,12,15,6.5,False
0,1,107,18,27,5.9,False
0,1,44,1,0,0.0,False
0,1,88,8,5,5.8,False
0,1,47,1,4,7.1,False
0,2,84,27,8,6.0,False
18000000,1,120,75,159,6.1,False
0,1,81,26,43,5.9,True
0,0,44,1,2,0.0,True
250000000,1,142,110,358,6.5,False
200000000,1,152,112,190,6.5,False
0,1,3,8,14,6.6,False
0,1,5,24,14,6.6,False
90000000,1,96,66,218,6.1,False
25000000,1,81,19,47,6.2,False
5000000,1,91,10,8,6.0,False
0,1,68,16,13,6.3,False
12000000,1,82,15,44,6.2,True
200000000,1,137,61,171,6.4,True
380000000,2,137,84,84,6.4,False
0,0,92,2,5,6.0,False
65000000,1,94,31,101,5.8,False
0,1,6,6,45,6.6,True
17000000,1,94,25,23,5.8,False
25000000,1,98,23,14,6.3,False
0,1,104,2,16,6.0,False
0,1,106,4,36,7.4,True
0,1,8,3,7,6.4,False
0,1,7,0,10,0.0,True
0,1,14,52,0,6.5,True
365000000,1,141,72,608,6.4,True
0,1,134,40,63,6.5,True
0,1,93,15,14,6.3,False
0,1,70,17,16,6.7,False
0,1,55,3,4,7.6,True
0,1,88,13,16,6.0,False
0,0,44,1,1,5.7,True
0,0,45,2,1,6.6,False
0,1,49,6,59,5.7,False
0,1,15,4,11,5.7,False
0,1,4,1,37,6.3,True
35000000,1,123,27,47,6.1,True
24000000,1,76,36,106,6.3,True
0,1,3,16,17,6.3,False
0,1,8,2,14,6.4,False
0,1,10,5,5,6.7,True
0,1,22,12,3,6.7,False
0,1,7,2,9,7.2,True
0,1,8,2,16,6.3,False
200000000,1,95,21,57,6.3,True
0,1,99,10,14,6.1,False
200000000,1,94,30,261,6.2,False
65000000,1,103,43,135,6.4,False
90000000,1,88,62,39,6.5,True
105000000,1,98,30,102,6.4,True
125000000,1,94,85,46,6.4,False
0,2,78,3,9,5.7,True
28000000,1,96,32,101,6.1,True
0,0,11,6,2,6.3,True
0,1,25,10,14,6.9,False
0,1,8,5,11,6.6,True
45000000,1,99,15,23,6.1,False
10000000,1,112,25,24,6.0,True
0,1,4,7,1,6.7,False
200000000,1,134,94,278,6.3,True
0,1,7,1,5,0.0,True
4000000,1,87,43,41,6.1,False
600,1,74,20,37,6.1,False
0,1,62,16,8,6.1,False
0,1,7,5,6,6.1,False
0,1,88,10,9,5.9,True
110000000,4,120,34,178,6.2,False
150000000,1,132,38,74,6.4,True
0,1,45,8,29,7.2,True
0,1,95,4,16,6.5,True
0,1,92,16,43,6.2,False
0,1,0,1,2,0.0,True
0,1,85,20,55,6.9,True
0,2,96,34,10,6.3,False
0,1,77,19,43,6.6,True
150000000,1,111,27,372,6.3,True
0,1,104,11,9,5.9,False
0,2,101,14,8,6.3,False
17000000,1,103,32,115,6.0,False
0,1,76,11,10,7.0,False
113000000,1,140,110,116,6.3,True
0,2,95,4,6,6.2,True
175000000,1,93,19,65,6.4,False
0,1,22,14,114,6.1,False
16000000,1,99,27,18,6.2,True
0,1,8,7,15,6.8,False
0,0,4,7,3,6.4,False
8200000,1,175,29,37,6.3,True
0,2,88,35,40,5.9,False
0,1,7,11,14,6.5,False
40000000,1,83,41,178,6.6,True
0,1,89,32,8,5.9,False
26000000,1,97,34,163,6.0,False
13157,1,7,4,25,6.4,False
0,1,77,12,5,6.0,False
0,1,100,6,27,7.5,True
0,0,83,12,12,6.1,False
46000000,1,75,8,22,6.7,False
180000000,1,131,56,183,6.4,True
0,0,88,8,1,5.7,False
0,1,49,4,9,6.5,True
0,0,77,15,5,6.5,False
0,1,21,12,13,5.7,False
200000000,1,151,38,224,6.2,True
0,1,22,21,11,6.4,True
0,1,48,5,2,6.1,True
0,1,8,4,12,6.4,True
0,1,91,5,9,0.0,False
0,1,99,13,36,6.2,True
0,0,46,3,3,5.0,True
0,1,3,1,6,6.3,True
175000000,1,100,42,44,6.4,True
39000000,1,87,14,83,6.6,False
0,1,90,17,8,6.3,False
178000000,1,144,95,109,6.3,False
0,1,78,1,1,6.3,True
0,2,44,0,3,0.0,False
0,1,76,10,8,6.5,True
0,1,46,11,2,7.1,True
0,1,97,15,12,5.9,False
0,2,89,24,10,5.7,False
110000000,3,127,55,89,6.3,False
0,1,9,1,12,6.3,False
0,1,74,14,16,6.7,False
35000000,1,102,50,49,6.1,False
0,1,89,12,1,6.0,False
0,1,102,33,69,6.1,False
0,1,73,16,80,6.4,False
0,1,90,9,8,6.1,False
0,1,0,1,2,6.9,False
0,1,8,2,32,6.5,False
0,1,2,0,22,0.0,False
0,3,85,4,5,6.0,True
0,3,76,2,8,6.3,True
0,1,48,1,4,5.7,True
0,1,8,3,17,6.3,False
0,1,120,7,3,6.0,False
185000000,1,119,83,87,6.4,True
0,1,91,5,1,5.9,False
0,1,8,21,9,6.4,True
130000000,1,131,76,209,6.5,False
0,1,93,15,38,6.3,False
3000000,1,96,23,22,5.9,False
0,1,111,75,26,6.3,False
0,0,88,24,7,5.9,False
75000000,1,104,64,197,6.2,True
0,1,92,2,31,7.9,False
3200000,1,95,20,66,5.7,False
80000000,1,85,14,34,6.4,True
31000000,1,77,24,18,6.4,False
0,1,6,1,10,8.8,True
0,1,78,20,42,6.7,False
0,1,46,5,4,6.7,True
0,1,4,3,2,6.7,False
0,1,71,8,60,6.2,False
0,1,99,18,13,5.8,False
0,1,7,3,11,6.4,False
20000000,1,68,8,27,6.6,False
0,1,44,13,9,6.6,True
110000000,2,108,43,90,6.1,False
0,1,44,1,32,6.7,True
0,2,87,11,20,6.2,True
230000000,1,129,77,192,6.3,False
32000000,1,97,37,30,6.1,False
0,1,7,0,9,0.0,True
3000000,1,81,21,24,6.1,True
9000000,1,90,31,46,5.9,False
0,0,3,4,3,6.2,False
7000000,1,82,11,39,6.8,False
0,2,25,0,0,0.0,False
