budget,countries,runtime,cast_size,crew_size,cast_vote_avg,popular
22000000,1,91,69,50,6.2,False
140000000,1,119,83,482,6.3,True
0,1,112,65,14,6.4,True
0,1,98,42,17,6.4,False
0,1,9,3,23,6.4,False
0,1,78,30,8,6.8,False
0,2,106,1,2,6.5,False
0,1,94,5,16,6.3,True
0,1,72,12,16,6.5,False
0,1,8,2,9,6.6,True
0,1,0,10,10,6.8,False
24000000,1,93,13,21,6.0,False
12000000,1,98,66,40,6.0,False
0,1,90,12,3,6.2,True
30000000,2,86,53,15,6.1,False
0,1,23,12,34,6.7,True
15000000,1,95,8,6,6.2,False
37000000,1,115,93,29,6.0,False
0,1,87,151,16,6.5,True
0,1,22,14,67,6.3,False
50000000,1,80,27,11,6.1,False
0,1,100,20,20,6.3,False
2500000,1,134,38,13,6.2,True
2000000,1,75,12,17,5.7,False
0,1,21,13,7,6.8,True
0,0,91,14,5,5.7,False
0,0,89,20,8,5.9,False
0,1,8,1,11,6.3,False
0,1,72,13,75,6.5,False
15719,1,8,4,9,6.2,False
99000000,1,88,43,197,6.8,False
6000000,1,95,14,1,5.8,False
0,2,76,14,44,6.6,False
10000000,1,82,44,5,6.2,False
300000000,1,169,38,77,6.3,True
0,1,7,3,13,6.3,False
31000000,1,103,15,13,5.8,False
812000,1,64,18,20,6.1,True
0,2,100,19,18,5.7,False
0,1,48,2,2,6.9,False
0,1,88,51,13,6.1,False
0,1,7,1,11,6.2,False
0,1,7,3,11,6.2,True
0,0,3,3,3,6.3,False
6000000,1,75,9,25,6.0,False
90000000,1,94,49,186,6.3,False
0,1,42,6,30,6.3,False
0,2,77,1,3,6.7,True
28000000,1,135,17,14,6.1,True
10000000,1,68,19,26,6.6,True
200000000,2,140,73,353,6.3,False
140000000,1,95,30,39,6.6,True
0,0,3,1,2,6.2,False
180000000,2,143,60,187,6.0,True
0,1,117,22,13,5.9,False
0,1,84,33,17,6.6,True
0,0,69,1,15,6.8,True
28000000,1,87,22,29,6.3,False
14000000,2,95,28,13,6.4,False
0,1,44,2,0,0.0,False
0,1,88,28,12,5.9,False
0,1,6,23,10,6.6,True
105000000,3,95,36,18,6.3,False
0,1,60,3,9,7.1,False
0,1,7,1,10,6.2,False
150000000,1,109,50,357,6.3,True
0,1,92,42,10,5.9,False
20000000,1,117,22,14,6.2,True
25000000,1,125,53,104,6.0,True
0,2,140,9,17,6.0,False
3500159,3,112,15,25,6.0,False
300000,1,5,1,5,5.9,False
0,1,91,18,38,6.2,False
0,1,8,4,17,6.3,False
8000000,1,97,87,20,6.2,True
