rank,genre,platform,decade,sales
1,Rac,Nin,2000,35.82
2,Rac,Nin,2000,23.42
3,Act,Son,2010,21.4
4,Act,Son,2000,20.81
5,Act,MiS,2010,16.38
6,Act,Son,2000,16.15
7,Rac,Son,2000,14.98
8,Sho,MiS,2010,14.76
9,Sho,MiS,2010,14.64
10,Sho,Son,2010,14.24
11,Sho,Son,2010,14.03
12,Sho,MiS,2010,13.73
13,Sho,MiS,2000,13.51
14,Sho,Son,2010,13.46
15,Act,Son,2000,13.1
16,Sho,Son,2010,12.73
17,Rac,Nin,2010,12.21
18,Sho,MiS,2000,12.14
19,Act,Son,2010,11.98
20,Act,Nin,2000,11.9
21,Rac,Son,2000,11.66
22,Adv,Nin,1990,11.18
23,Act,MiS,2000,11.02
24,Rac,Son,1990,10.95
25,Rac,Son,2010,10.77
26,Sho,Son,2000,10.69
27,Act,Son,2000,10.57
28,Sho,MiS,2010,10.21
29,Sho,MiS,2010,9.88
30,Rac,Nin,1990,9.87
31,Sho,MiS,2010,9.76
32,Sho,Son,2010,9.59
33,Rac,Son,1990,9.49
34,Sho,MiS,2000,9.32
35,Rac,Nin,1990,8.76
36,Sho,MiS,2000,8.49
37,Act,Son,2010,8.24
38,Sho,Nin,1990,8.09
39,Act,Son,2000,7.72
40,Sho,Son,2010,7.67
41,Sho,Son,2010,7.6
42,Act,Nin,1990,7.6
43,Sho,MiS,2000,7.37
44,Sho,MiS,2010,7.34
45,Act,Nin,2000,7.31
46,Sho,MiS,2010,7.3
47,Sho,Son,2010,7.23
48,Rac,Son,2000,7.2
49,Rac,Nin,2010,6.96
50,Rac,Nin,2000,6.95
51,Rac,Son,2000,6.9
52,Sho,Son,2000,6.83
53,Act,Son,2010,6.83
54,Sho,MiS,2000,6.76
55,Act,Son,2000,6.73
56,Sho,Son,2000,6.72
57,Act,Son,2010,6.6
58,Act,Son,2010,6.5
59,Sho,MiS,2000,6.43
60,Sho,MiS,2000,6.36
61,Act,MiS,2010,6.34
62,Act,Son,1990,6.27
63,Sho,MiS,2010,6.24
64,Sho,MiS,2000,6.11
65,Act,Son,2000,6.05
66,Act,Son,2000,6.03
67,Act,Son,1990,6.03
68,Act,Son,2010,5.99
69,Act,Nin,2000,5.83
70,Act,Son,1990,5.82
71,Sho,Son,2010,5.65
72,Act,Son,2000,5.57
73,Adv,MiS,2000,5.55
74,Act,Son,2010,5.53
75,Rac,MiS,2000,5.51
76,Rac,Nin,2000,5.47
77,Sho,Son,2000,5.43
78,Act,MiS,2010,5.3
79,Act,MiS,2000,5.27
80,Act,Son,1990,5.24
81,Act,MiS,2010,5.18
82,Act,Nin,2000,5.17
83,Sho,Son,2000,5.13
84,Sho,MiS,2010,5.13
85,Act,Son,2000,5.11
86,Act,MiS,2010,5.08
87,Act,Son,2000,5.08
88,Act,Son,1990,5.05
89,Sho,Nin,2000,5.0
90,Act,Son,2000,4.94
91,Act,Nin,2000,4.9
92,Rac,Nin,1990,4.88
93,Act,Son,2010,4.84
94,Adv,Son,2000,4.83
