rank,genre,platform,decade,sales
95,Rac,Son,1990,4.79
96,Act,MiS,2010,4.76
97,Act,Son,2000,4.73
98,Rac,Son,2000,4.7
99,Act,Son,2000,4.67
100,Rac,MiS,2010,4.64
101,Act,Son,1990,4.63
102,Act,Nin,1990,4.61
103,Act,Nin,2000,4.6
104,Act,Nin,2010,4.58
105,Sho,Nin,2010,4.57
106,Act,Son,2010,4.55
107,Act,Son,2000,4.48
108,Act,Son,2010,4.47
109,Sho,Son,2010,4.45
110,Act,Son,2000,4.45
111,Rac,Son,2000,4.37
112,Sho,Son,2000,4.35
113,Sho,MiS,2010,4.31
114,Sho,MiS,2010,4.26
115,Act,Son,2000,4.25
116,Act,Son,2010,4.24
117,Act,Son,2000,4.23
118,Act,Nin,2010,4.21
119,Sho,Son,2010,4.2
120,Rac,Son,2000,4.2
121,Act,MiS,2010,4.19
122,Act,Son,1990,4.16
123,Act,Son,2010,4.14
124,Sho,Com,1990,4.12
125,Act,Nin,2010,4.1
126,Act,Son,2000,4.07
127,Rac,MiS,2000,4.06
128,Sho,Son,2010,4.03
129,Sho,Nin,1990,4.03
130,Sho,MiS,2000,3.99
131,Act,Son,2010,3.92
132,Act,Son,2010,3.89
133,Rac,Son,2000,3.88
134,Act,Nin,1990,3.83
135,Act,Son,2010,3.79
136,Act,MiS,2000,3.78
137,Act,Son,1990,3.77
138,Act,Son,2000,3.73
139,Act,Son,1990,3.72
140,Sho,Son,2010,3.69
141,Rac,Son,2000,3.66
142,Sho,Son,2000,3.65
143,Rac,Son,2010,3.64
144,Sho,Son,2010,3.63
145,Act,Son,2000,3.62
146,Sho,Son,2010,3.61
147,Sho,Son,2000,3.61
148,Sho,Com,1990,3.61
149,Rac,Son,2000,3.61
150,Act,Nin,2000,3.6
151,Sho,Son,2000,3.59
152,Act,Son,2000,3.54
153,Act,Son,2000,3.54
154,Act,Son,1990,3.54
155,Sho,Son,2000,3.53
156,Act,Son,2000,3.53
157,Sho,MiS,2010,3.53
158,Act,Son,2000,3.52
159,Sho,MiS,2000,3.52
160,Act,MiS,2000,3.51
161,Act,MiS,2010,3.5
162,Act,MiS,2000,3.5
163,Sho,MiS,2010,3.49
164,Sho,MiS,2010,3.48
165,Act,MiS,2010,3.46
166,Sho,Son,2010,3.45
167,Sho,MiS,2000,3.44
168,Sho,Son,2010,3.43
169,Act,Son,1990,3.42
170,Act,Son,2000,3.41
171,Rac,Nin,1990,3.41
172,Act,MiS,2000,3.38
173,Act,Son,2010,3.38
174,Act,Nin,2000,3.38
175,Act,Nin,2000,3.36
176,Adv,Son,1990,3.34
177,Act,MiS,2010,3.34
178,Sho,Son,2000,3.33
179,Act,Son,2000,3.32
180,Sho,Son,2000,3.31
181,Act,Son,2000,3.28
182,Act,Son,2010,3.28
183,Sho,MiS,2010,3.28
184,Act,Son,2000,3.27
185,Rac,Son,2000,3.27
186,Act,Nin,2010,3.26
187,Adv,Son,2010,3.23
188,Sho,Son,1990,3.21
189,Act,Son,2000,3.19
190,Act,Son,2000,3.18
191,Adv,Nin,2000,3.16
192,Act,Nin,2000,3.15
193,Sho,Son,2010,3.15
194,Sho,MiS,2010,3.15
195,Act,Son,2000,3.13
196,Rac,Son,1990,3.12
197,Rac,Nin,1990,3.12
198,Adv,Son,2010,3.12
199,Sho,MiS,2010,3.07
200,Act,Nin,2010,3.07
201,Act,MiS,2000,3.05
202,Sho,MiS,2010,3.04
203,Act,MiS,2000,3.03
204,Sho,Son,2000,3.02
205,Act,MiS,2000,3.02
206,Sho,MiS,2010,3.0
207,Act,Son,2010,2.99
208,Sho,Nin,1990,2.99
209,Act,Son,2000,2.99
210,Sho,Son,2010,2.97
211,Act,Son,2000,2.96
212,Rac,Nin,1990,2.94
213,Sho,Son,2000,2.94
214,Act,Son,2000,2.94
215,Sho,MiS,2010,2.9
216,Rac,Son,2010,2.89
217,Sho,Son,2000,2.89
218,Sho,Son,1990,2.88
219,Rac,Son,1990,2.87
220,Sho,MiS,2010,2.86
221,Rac,Nin,1990,2.85
222,Act,Nin,2010,2.85
223,Act,Son,2010,2.84
224,Sho,MiS,2000,2.83
225,Sho,Son,2010,2.83
226,Sho,Nin,2000,2.82
227,Act,Nin,2000,2.82
228,Adv,Com,1990,2.81
229,Rac,Son,2010,2.81
230,Act,MiS,2000,2.8
231,Sho,Son,2010,2.79
232,Sho,Com,2010,2.79
233,Act,Son,2010,2.78
234,Act,MiS,2010,2.77
235,Act,Son,2010,2.74
236,Adv,MiS,2010,2.72
237,Sho,MiS,2000,2.71
238,Act,Nin,2000,2.7
239,Act,Son,2000,2.7
240,Act,Son,2000,2.69
241,Rac,Son,2000,2.68
242,Rac,Son,2000,2.68
243,Sho,Son,2000,2.67
244,Sho,Son,1990,2.67
245,Act,Nin,2000,2.65
246,Act,Son,2000,2.65
247,Act,Nin,2010,2.65
248,Sho,Son,2000,2.65
249,Act,Nin,1990,2.65
250,Act,MiS,2000,2.64
251,Rac,Son,2000,2.63
252,Act,Son,2000,2.63
253,Sho,MiS,2010,2.62
254,Act,Son,2000,2.61
255,Sho,Son,2010,2.58
256,Act,MiS,2000,2.58
257,Rac,Son,2000,2.52
258,Act,Nin,2000,2.52
259,Act,Son,2010,2.51
260,Act,Son,2010,2.49
261,Act,MiS,2000,2.49
262,Act,Nin,2010,2.49
263,Sho,Son,2000,2.48
264,Rac,MiS,2000,2.48
265,Act,Son,1990,2.48
266,Rac,Son,2000,2.45
267,Rac,Son,1990,2.44
268,Sho,MiS,2010,2.44
269,Rac,Son,2000,2.44
270,Adv,Com,1990,2.43
271,Sho,MiS,2000,2.42
272,Rac,Son,2000,2.41
273,Act,Son,1990,2.41
274,Rac,Son,2000,2.41
275,Rac,Son,2010,2.39
276,Act,Son,2010,2.39
277,Act,MiS,2010,2.39
278,Act,Son,2000,2.38
279,Act,Son,2010,2.38
280,Sho,Com,2000,2.37
281,Act,Son,2000,2.37
282,Act,Nin,2010,2.35
283,Rac,MiS,2000,2.35
284,Act,Son,2000,2.34
285,Act,Nin,2010,2.32
286,Act,Son,1990,2.32
287,Sho,Son,2000,2.31
288,Rac,Son,1990,2.31
289,Act,MiS,2010,2.3
290,Act,Com,2010,2.3
291,Act,Son,2010,2.29
292,Act,Com,1990,2.29
293,Act,Son,2010,2.29
294,Rac,MiS,2000,2.28
295,Act,Nin,2010,2.28
296,Act,Son,2000,2.28
297,Sho,Son,2010,2.28
298,Rac,Son,1990,2.28
299,Act,Nin,2000,2.26
300,Adv,Son,2000,2.25
301,Act,Nin,1990,2.23
302,Act,Nin,2000,2.23
303,Act,Son,2000,2.22
304,Adv,Nin,1990,2.22
305,Rac,MiS,2010,2.22
306,Sho,MiS,2010,2.21
307,Act,MiS,2010,2.21
308,Act,Son,2000,2.21
309,Act,Son,2010,2.19
310,Act,MiS,2000,2.19
311,Act,Son,2010,2.19
312,Rac,Son,2000,2.18
313,Rac,MiS,2010,2.18
314,Sho,Son,2000,2.15
315,Sho,Son,2010,2.15
316,Sho,Son,2000,2.14
317,Act,Son,2010,2.13
318,Act,Nin,2010,2.12
319,Rac,MiS,2000,2.12
320,Sho,Son,2000,2.11
321,Rac,Son,2000,2.11
322,Act,Son,2000,2.11
323,Act,MiS,2000,2.1
324,Rac,Son,2000,2.1
325,Sho,MiS,2010,2.1
326,Act,Son,2000,2.09
327,Act,MiS,2000,2.09
328,Act,Son,2000,2.09
329,Act,MiS,2010,2.09
330,Sho,Son,2010,2.09
331,Act,Son,2010,2.09
332,Rac,Son,2000,2.08
333,Act,Son,2010,2.08
334,Sho,Son,2000,2.07
335,Rac,MiS,2000,2.06
336,Act,MiS,2010,2.06
337,Act,Nin,2000,2.06
338,Rac,Son,1990,2.06
339,Rac,Son,2000,2.05
340,Rac,MiS,2000,2.05
341,Sho,Son,2000,2.04
342,Act,Son,2000,2.04
343,Act,Son,2010,2.04
344,Act,Son,2000,2.02
345,Sho,MiS,2000,2.02
346,Rac,MiS,2010,2.02
347,Sho,MiS,2010,2.01
348,Act,Son,2010,2.0
349,Rac,Son,2010,2.0
350,Act,Son,1990,1.99
351,Act,Nin,2000,1.99
352,Act,Son,2000,1.98
353,Sho,MiS,2010,1.98
354,Sho,MiS,2010,1.98
355,Sho,Nin,2000,1.97
356,Act,Son,2000,1.97
357,Rac,Son,2000,1.97
358,Sho,MiS,2010,1.96
359,Sho,MiS,2000,1.96
360,Sho,MiS,2010,1.95
361,Rac,Son,2000,1.95
362,Act,MiS,2000,1.95
363,Sho,Com,1990,1.95
364,Adv,Son,2000,1.94
365,Rac,Son,1990,1.94
366,Sho,Son,2000,1.94
367,Act,MiS,2010,1.93
368,Act,Son,2010,1.93
369,Act,MiS,2010,1.92
370,Act,Nin,2000,1.92
371,Rac,MiS,2000,1.92
372,Sho,Son,2000,1.92
373,Rac,Son,2000,1.92
374,Act,Nin,2000,1.91
375,Sho,Son,2010,1.91
376,Act,Nin,2010,1.91
377,Sho,Son,2010,1.9
378,Rac,Son,2010,1.89
379,Sho,Son,2000,1.88
380,Adv,Nin,2000,1.87
381,Act,Son,2000,1.87
382,Adv,Nin,2000,1.86
383,Act,Nin,2000,1.86
384,Act,Nin,2010,1.86
385,Act,Son,2010,1.85
386,Rac,Son,2000,1.84
387,Rac,Son,1990,1.83
388,Act,Son,2010,1.83
389,Sho,MiS,2000,1.83
390,Sho,Nin,2000,1.82
391,Act,Son,2010,1.81
392,Act,Son,2010,1.8
393,Sho,Son,2010,1.79
394,Adv,Son,2010,1.79
395,Act,MiS,2010,1.78
396,Rac,Son,2000,1.78
397,Act,Son,2000,1.78
398,Act,Son,2000,1.78
399,Act,Son,2010,1.78
400,Act,Nin,2010,1.77
401,Act,Son,2000,1.77
402,Adv,Nin,1990,1.76
403,Sho,MiS,2000,1.76
404,Act,Son,2000,1.76
405,Sho,Son,2010,1.76
406,Act,MiS,2010,1.76
407,Act,Nin,2000,1.76
408,Sho,MiS,2010,1.76
409,Sho,MiS,2000,1.75
410,Sho,MiS,2000,1.75
411,Adv,Son,1990,1.74
412,Sho,Son,2010,1.74
413,Rac,MiS,2010,1.74
414,Rac,Nin,1990,1.74
415,Sho,Son,2010,1.73
416,Sho,Son,2010,1.73
417,Act,Son,1990,1.73
418,Act,Nin,2000,1.73
419,Act,Nin,2010,1.73
420,Act,MiS,2010,1.73
421,Act,Son,2000,1.72
422,Sho,Son,2010,1.72
423,Sho,Son,2000,1.72
424,Sho,Com,2010,1.72
425,Rac,MiS,2000,1.71
426,Rac,Son,2010,1.7
427,Act,Nin,2000,1.7
428,Sho,Son,2000,1.69
429,Act,Son,2000,1.69
430,Act,MiS,2010,1.69
431,Act,Nin,2000,1.69
432,Rac,MiS,2000,1.69
433,Act,Nin,2000,1.69
434,Sho,Son,2000,1.68
435,Act,MiS,2010,1.68
436,Sho,Son,1990,1.68
437,Act,Nin,2000,1.68
438,Act,Nin,2000,1.68
439,Sho,MiS,2000,1.67
440,Adv,Nin,2000,1.67
441,Rac,MiS,2000,1.67
442,Rac,Son,2000,1.67
443,Act,Son,2010,1.66
444,Act,Son,2000,1.66
445,Sho,MiS,2010,1.66
446,Rac,MiS,2000,1.66
447,Sho,Nin,1990,1.65
448,Sho,MiS,2000,1.65
449,Act,Nin,2010,1.64
450,Sho,Son,1990,1.64
451,Act,Son,2000,1.64
452,Adv,Son,2010,1.64
453,Act,MiS,2010,1.62
454,Sho,MiS,2010,1.62
455,Rac,Nin,2000,1.62
456,Rac,Son,1990,1.62
457,Sho,MiS,2010,1.61
458,Act,Nin,2000,1.61
459,Sho,MiS,2010,1.61
460,Act,Son,2000,1.6
461,Act,MiS,2000,1.6
462,Rac,Nin,1990,1.6
463,Act,Son,1990,1.6
464,Act,Son,2010,1.6
465,Act,Nin,2000,1.59
466,Act,Son,2000,1.59
467,Act,MiS,2010,1.59
468,Rac,Son,1990,1.59
469,Sho,Son,2010,1.58
470,Rac,MiS,2010,1.58
471,Act,Nin,2010,1.58
472,Act,Nin,2000,1.58
473,Sho,Son,2000,1.57
474,Rac,Son,2000,1.56
475,Act,Son,1990,1.56
476,Act,Nin,1990,1.56
477,Act,Son,2010,1.56
478,Act,MiS,2010,1.55
479,Act,Son,2010,1.55
480,Rac,Son,2000,1.55
481,Sho,MiS,2000,1.55
482,Sho,Son,2010,1.55
483,Act,Nin,2000,1.55
484,Act,Son,2000,1.55
485,Act,MiS,2010,1.55
486,Act,Son,2010,1.55
487,Act,MiS,2010,1.54
488,Act,Nin,2000,1.54
489,Sho,MiS,2000,1.54
490,Adv,Nin,2000,1.54
491,Sho,Son,1990,1.54
492,Sho,Com,2010,1.53
493,Act,Nin,2000,1.53
494,Sho,Nin,2000,1.53
495,Sho,MiS,2010,1.52
496,Rac,Son,2000,1.52
497,Rac,Son,1990,1.52
498,Rac,Son,1990,1.52
499,Act,Son,2010,1.52
500,Sho,Son,2000,1.52
501,Act,Son,2000,1.51
502,Rac,Nin,2010,1.51
503,Act,MiS,2010,1.51
504,Act,Son,2000,1.51
505,Sho,Son,2010,1.5
506,Rac,Son,2000,1.5
507,Sho,Son,2000,1.5
508,Act,MiS,2010,1.5
509,Act,Son,1990,1.5
510,Sho,MiS,2000,1.49
511,Adv,Nin,2000,1.49
512,Act,MiS,2000,1.49
513,Adv,Nin,2000,1.48
514,Sho,Son,2000,1.48
515,Act,MiS,2000,1.48
516,Act,Nin,1990,1.47
517,Act,Son,2010,1.47
518,Act,MiS,2010,1.47
519,Sho,Nin,2000,1.47
520,Adv,Nin,2000,1.47
521,Sho,MiS,2010,1.46
522,Sho,MiS,2000,1.46
523,Sho,MiS,2010,1.46
524,Act,Nin,2010,1.46
525,Act,Son,2010,1.46
526,Act,Son,2000,1.45
527,Act,MiS,2010,1.45
528,Sho,Son,2000,1.45
529,Sho,Son,2000,1.45
530,Act,Son,2000,1.45
531,Rac,Son,2000,1.44
532,Sho,Son,2010,1.44
533,Rac,MiS,2010,1.44
534,Rac,Son,2010,1.44
535,Sho,Son,2010,1.44
536,Act,Son,1990,1.43
537,Act,MiS,2010,1.43
538,Act,Nin,2000,1.43
539,Act,Nin,2000,1.42
540,Act,Nin,1990,1.42
541,Act,MiS,2000,1.42
542,Act,Nin,2000,1.42
543,Act,Son,2010,1.41
544,Act,Son,2000,1.41
545,Act,Nin,2010,1.41
546,Act,Nin,2000,1.41
547,Rac,Son,2000,1.41
548,Act,Nin,2010,1.41
549,Rac,Son,2000,1.41
550,Rac,Son,2000,1.41
551,Rac,Son,2000,1.41
552,Sho,Nin,2010,1.4
553,Act,MiS,2000,1.4
554,Rac,Son,2000,1.4
555,Act,Son,2000,1.4
556,Sho,Com,2010,1.4
557,Rac,Son,2000,1.4
558,Sho,Son,2010,1.39
559,Act,Nin,2000,1.39
560,Sho,Son,2010,1.39
561,Act,Nin,1990,1.39
562,Act,Son,2000,1.39
563,Act,Nin,2000,1.39
564,Act,Son,2010,1.39
565,Sho,MiS,2010,1.39
566,Act,MiS,2000,1.38
567,Sho,MiS,2010,1.38
568,Sho,Son,1990,1.38
569,Act,Son,2010,1.38
570,Adv,Nin,2000,1.38
571,Act,MiS,2010,1.38
572,Act,Son,2000,1.37
573,Act,Son,2010,1.37
574,Rac,Son,2000,1.37
575,Rac,MiS,2010,1.37
576,Rac,Son,2000,1.37
577,Act,Son,2010,1.37
578,Sho,MiS,2000,1.36
579,Rac,MiS,2000,1.36
580,Act,MiS,2010,1.36
581,Sho,Son,2000,1.36
582,Rac,Son,2010,1.35
583,Act,Nin,2000,1.35
584,Act,MiS,2010,1.35
585,Sho,Son,2000,1.35
586,Act,Son,2000,1.35
587,Rac,MiS,2000,1.35
588,Act,MiS,2000,1.35
589,Sho,Son,2000,1.35
590,Act,MiS,2010,1.35
591,Adv,Son,2010,1.35
592,Rac,Son,2000,1.34
593,Sho,MiS,2000,1.34
594,Sho,MiS,2000,1.34
595,Rac,Son,2000,1.34
596,Sho,Son,2000,1.34
597,Sho,Son,2010,1.33
598,Act,Nin,2000,1.33
599,Sho,Nin,2000,1.33
600,Rac,Son,2000,1.33
601,Act,MiS,2010,1.32
602,Rac,Son,2000,1.32
603,Act,Son,2000,1.32
604,Act,MiS,2010,1.32
605,Rac,Son,1990,1.32
606,Sho,Son,2010,1.32
607,Rac,Nin,2010,1.32
608,Act,MiS,2010,1.32
609,Rac,Son,1990,1.31
610,Rac,Son,2000,1.31
611,Act,MiS,2000,1.31
612,Adv,Son,1990,1.31
613,Sho,Son,2000,1.31
614,Rac,MiS,2000,1.31
615,Act,Son,2010,1.3
616,Act,Son,2010,1.3
617,Rac,Son,1990,1.3
618,Adv,MiS,2010,1.3
619,Rac,Nin,2000,1.29
620,Act,Nin,2000,1.29
621,Rac,MiS,2000,1.29
622,Sho,MiS,2010,1.29
623,Sho,Son,2000,1.29
624,Adv,Nin,2000,1.29
625,Rac,Son,2000,1.29
626,Act,MiS,2010,1.28
627,Act,Son,2010,1.28
628,Act,MiS,2010,1.28
629,Act,Son,1990,1.28
630,Act,MiS,2010,1.28
631,Rac,Son,1990,1.28
632,Act,Son,2000,1.28
633,Act,Nin,2010,1.28
634,Act,Son,2000,1.28
635,Act,Son,2000,1.27
636,Act,Son,2000,1.27
637,Rac,Son,1990,1.27
638,Act,Son,2000,1.27
639,Act,Nin,2010,1.27
640,Act,Nin,2000,1.26
641,Act,Nin,2010,1.26
642,Rac,Son,2000,1.26
643,Act,Nin,2000,1.26
644,Act,MiS,2010,1.26
645,Sho,Son,2000,1.25
646,Act,Son,2000,1.25
647,Sho,Son,2000,1.25
648,Sho,Son,2000,1.25
649,Act,Son,2000,1.25
650,Act,Son,2000,1.25
651,Rac,Son,1990,1.25
652,Sho,Son,2000,1.24
653,Act,Nin,2000,1.24
654,Rac,Nin,2000,1.24
655,Act,Son,2000,1.24
656,Act,Son,2000,1.24
657,Act,Son,2000,1.24
658,Act,MiS,2000,1.24
659,Act,Nin,2000,1.23
660,Act,MiS,2000,1.23
661,Rac,Son,2000,1.23
662,Sho,Son,2000,1.23
663,Rac,Son,1990,1.23
664,Act,Son,2000,1.23
665,Sho,Son,2000,1.23
666,Act,Son,2010,1.22
667,Adv,Son,2000,1.22
668,Rac,Son,2010,1.22
669,Rac,Son,2000,1.22
670,Sho,MiS,2000,1.22
671,Rac,Son,2000,1.21
672,Sho,MiS,2000,1.21
673,Act,Nin,2000,1.21
674,Act,Son,1990,1.21
675,Act,Son,2000,1.21
676,Rac,Nin,2000,1.21
677,Rac,Son,1990,1.21
678,Act,Son,2000,1.2
679,Act,Son,2010,1.2
680,Rac,Son,2000,1.2
681,Sho,MiS,2010,1.2
682,Act,MiS,2000,1.2
683,Adv,Nin,2000,1.2
684,Act,Son,2010,1.2
685,Act,Son,2000,1.19
686,Rac,Nin,2000,1.19
687,Act,Son,2000,1.19
688,Rac,Son,1990,1.19
689,Act,Nin,2000,1.19
690,Adv,Son,1990,1.18
691,Act,Son,2010,1.18
692,Act,Son,2000,1.18
693,Sho,Son,2000,1.17
694,Sho,Son,2000,1.17
695,Act,MiS,2010,1.17
696,Act,Nin,1990,1.17
697,Rac,Son,1990,1.17
698,Sho,MiS,2000,1.17
699,Rac,Son,1990,1.17
700,Sho,MiS,2010,1.17
701,Act,Son,2000,1.16
702,Rac,Son,2000,1.16
703,Sho,Son,2000,1.16
704,Act,Nin,2010,1.16
705,Rac,Son,2000,1.16
706,Sho,Nin,1990,1.16
707,Rac,Son,1990,1.16
708,Sho,Son,2000,1.16
709,Sho,MiS,2010,1.16
710,Act,MiS,2000,1.16
711,Sho,MiS,2010,1.16
712,Act,Son,2000,1.15
713,Act,Son,2000,1.15
714,Sho,Son,2000,1.15
715,Act,Son,2010,1.15
716,Sho,Com,2000,1.15
717,Sho,Son,1990,1.15
718,Act,Nin,2010,1.14
719,Act,Son,2000,1.14
720,Act,Son,2000,1.14
721,Act,Son,2000,1.14
722,Sho,Nin,1990,1.14
723,Rac,Nin,1990,1.14
724,Act,MiS,2000,1.14
725,Act,Nin,2000,1.14
726,Rac,Nin,2000,1.14
727,Rac,Son,2010,1.13
728,Act,Nin,2010,1.13
729,Rac,Nin,2000,1.13
730,Sho,MiS,2000,1.13
731,Sho,Son,2010,1.13
732,Act,Son,2000,1.13
733,Act,MiS,2010,1.12
734,Rac,Son,2000,1.12
735,Sho,MiS,2010,1.12
736,Act,Son,2010,1.12
737,Act,MiS,2010,1.12
738,Sho,Son,2000,1.12
739,Sho,MiS,2000,1.12
740,Act,MiS,2000,1.12
741,Sho,MiS,2000,1.11
742,Act,Son,2010,1.11
743,Act,Son,2000,1.11
744,Rac,Son,2000,1.11
745,Sho,MiS,2010,1.11
746,Act,MiS,2000,1.11
747,Rac,Nin,2000,1.11
748,Act,Son,2010,1.11
749,Sho,MiS,2000,1.1
750,Act,Nin,2010,1.1
751,Act,Son,2010,1.1
752,Rac,Nin,1990,1.1
753,Sho,Nin,2000,1.1
754,Act,Son,2000,1.09
755,Act,Son,2000,1.09
756,Adv,Son,2000,1.09
757,Act,Nin,2000,1.09
758,Act,Son,2000,1.09
759,Sho,Son,2000,1.09
760,Act,Son,2010,1.09
761,Rac,Nin,2010,1.09
762,Act,Son,2010,1.09
763,Adv,Nin,2000,1.09
764,Rac,MiS,2010,1.09
765,Rac,Son,2000,1.08
766,Act,Son,2000,1.08
767,Act,Com,2010,1.08
768,Adv,Nin,2000,1.08
769,Act,Nin,2000,1.08
770,Act,MiS,2010,1.08
771,Act,Son,2000,1.08
772,Sho,Son,2000,1.08
773,Act,MiS,2000,1.08
774,Sho,Son,2000,1.08
775,Rac,Son,2010,1.08
776,Sho,Nin,2000,1.08
777,Sho,Son,2000,1.07
778,Act,MiS,2010,1.07
779,Act,MiS,2000,1.07
780,Rac,Son,2010,1.07
781,Act,Nin,2010,1.07
782,Rac,Son,1990,1.07
783,Act,MiS,2010,1.07
784,Rac,Son,1990,1.07
785,Sho,MiS,2010,1.06
786,Rac,Son,2000,1.06
787,Act,MiS,2010,1.06
788,Rac,Son,2000,1.06
789,Sho,Nin,2000,1.06
790,Act,Son,2010,1.06
791,Sho,MiS,2000,1.06
792,Act,Son,2000,1.06
793,Act,Son,2000,1.06
794,Act,Nin,2000,1.06
795,Rac,Son,2000,1.06
796,Adv,Nin,2000,1.06
797,Act,MiS,2010,1.05
798,Sho,Son,2000,1.05
799,Act,Nin,2010,1.05
800,Sho,Son,2010,1.05
801,Act,Son,2010,1.05
802,Rac,MiS,2000,1.05
803,Rac,MiS,2000,1.05
804,Adv,Nin,2000,1.05
805,Act,MiS,2000,1.05
806,Act,Nin,2000,1.04
807,Act,Nin,2010,1.04
808,Rac,Son,2000,1.04
809,Adv,Nin,2000,1.04
810,Act,Son,1990,1.04
811,Sho,MiS,2010,1.04
812,Rac,Nin,2000,1.04
813,Rac,Son,1990,1.04
814,Act,MiS,2000,1.04
815,Rac,Son,2010,1.04
816,Rac,MiS,2000,1.04
817,Act,MiS,2010,1.04
818,Sho,Son,2000,1.04
819,Rac,Son,2000,1.04
820,Rac,Son,2000,1.04
821,Rac,Son,2000,1.03
822,Act,Nin,2010,1.03
823,Act,Nin,2000,1.03
824,Act,Com,1990,1.03
825,Sho,MiS,2010,1.02
826,Sho,MiS,2000,1.02
827,Act,Nin,2010,1.02
828,Act,Nin,1990,1.02
829,Act,Son,1990,1.02
830,Act,Son,2010,1.02
831,Act,Son,2000,1.02
832,Act,Nin,2010,1.01
833,Act,MiS,2000,1.01
834,Act,Son,2010,1.01
835,Act,MiS,2000,1.01
836,Act,Son,2010,1.01
837,Rac,Son,2000,1.01
838,Sho,Nin,2000,1.0
839,Rac,Son,2000,1.0
840,Rac,Nin,2000,1.0
841,Sho,Son,2000,1.0
842,Act,MiS,2010,1.0
843,Rac,Son,1990,1.0
844,Act,Son,2000,1.0
845,Act,Son,2010,1.0
846,Act,Son,2010,1.0
847,Act,MiS,2010,0.99
848,Adv,Nin,2000,0.99
849,Rac,Nin,2000,0.99
850,Act,MiS,2010,0.99
851,Act,Son,2010,0.99
852,Rac,Nin,2000,0.99
853,Act,Nin,2000,0.99
854,Rac,Son,2000,0.99
855,Act,Son,2000,0.99
856,Rac,Nin,2000,0.98
857,Sho,Com,2010,0.98
858,Rac,Son,2010,0.98
859,Rac,Nin,1990,0.98
860,Rac,Son,2010,0.98
861,Sho,Son,2010,0.98
862,Sho,MiS,2010,0.98
863,Act,Com,2000,0.98
864,Act,Son,2010,0.98
865,Act,Son,2010,0.98
866,Act,MiS,2000,0.98
867,Act,MiS,2010,0.97
868,Act,Son,2000,0.97
869,Act,Nin,2010,0.97
870,Act,Nin,2000,0.97
871,Sho,Son,2000,0.97
872,Act,Son,2010,0.96
873,Act,Nin,2010,0.96
874,Adv,Son,2000,0.96
