height,weight,gender
163.7,72.3,f
171.3,72.6,m
159.6,60.0,f
171.3,82.8,m
162.5,68.2,f
159.6,62.8,f
167.7,73.1,f
186.9,93.1,m
166.9,66.8,f
159.1,60.4,f
160.9,74.0,f
153.5,59.3,f
158.8,57.0,f
168.2,64.8,f
175.0,86.4,m
165.7,65.3,f
181.1,96.2,m
162.5,64.7,f
181.9,95.1,m
162.1,55.7,f
184.3,92.4,m
188.8,93.4,m
176.0,86.8,m
179.0,87.3,m
161.8,63.2,m
167.9,77.1,m
161.8,60.2,f
183.6,85.5,f
163.6,56.8,f
171.9,79.4,f
165.1,65.6,m
180.3,88.1,m
182.5,92.4,m
188.0,96.6,m
164.1,59.3,f
158.2,62.9,f
172.8,77.3,f
168.1,70.1,f
152.2,47.9,f
181.3,93.1,m
160.6,57.6,f
160.1,63.2,f
160.5,63.1,m
164.7,74.7,m
166.8,74.9,f
176.8,77.7,m
161.8,58.0,f
185.5,99.2,m
186.9,97.9,m
156.3,57.8,f
175.6,86.3,m
173.0,73.3,f
164.7,68.9,f
168.1,67.8,f
148.8,49.5,f
161.0,64.4,m
160.3,59.8,f
175.6,81.2,m
188.0,98.8,m
176.5,83.1,m
173.2,65.5,f
184.8,96.2,m
176.4,80.9,f
178.1,99.7,m
178.6,93.2,m
179.4,85.1,m
152.9,52.4,f
180.8,91.1,m
165.8,66.0,f
170.2,72.5,m
178.4,79.7,f
166.5,64.1,f
150.2,48.7,f
156.9,55.5,f
186.5,99.9,m
174.8,79.0,m
169.8,73.1,m
163.7,62.6,m
174.1,82.2,m
175.3,86.6,m
173.3,80.1,m
155.7,58.2,f
160.8,55.3,f
181.3,90.2,m
172.9,85.4,m
184.0,85.8,m
157.9,55.2,f
179.2,88.1,m
167.6,64.4,f
162.9,60.6,f
186.2,88.4,m
158.6,61.7,f
173.2,77.8,m
167.5,75.6,f
164.5,61.9,f
183.0,90.8,m
191.3,109.1,m
153.7,56.6,f
158.5,56.9,f
158.7,55.6,f
176.4,87.5,m
172.4,77.5,m
163.8,64.4,f
159.6,58.6,f
177.2,84.5,m
158.3,58.6,f
167.3,58.5,f
165.4,64.2,f
170.0,61.7,f
168.3,72.8,f
163.8,64.6,f
168.7,60.9,f
161.0,60.3,f
176.0,81.1,m
165.6,68.9,m
166.1,62.1,f
164.1,63.6,f
178.7,84.3,f
169.3,73.0,f
153.9,52.6,f
159.7,51.2,f
160.1,54.4,f
173.3,83.6,m
168.4,74.1,m
157.4,62.2,f
180.6,79.2,m
184.9,93.8,m
171.0,71.9,m
165.3,67.3,f
162.0,56.5,f
180.0,89.0,m
147.8,47.4,f
162.2,73.4,m
159.5,59.2,f
162.5,67.3,f
158.7,72.7,m
163.4,63.0,f
166.9,63.2,f
161.0,67.6,f
160.8,71.2,m
162.2,70.3,m
161.5,58.3,f
173.2,78.5,m
158.4,61.2,f
159.8,64.1,f
148.9,51.3,f
179.1,93.6,m
154.6,44.3,f
161.7,56.6,f
145.0,42.4,f
165.2,64.8,f
174.6,79.8,f
159.0,65.6,m
194.2,111.7,m
185.6,92.4,m
152.9,58.0,f
179.1,80.3,m
153.2,59.4,f
159.1,58.8,f
150.5,47.6,f
167.5,68.7,m
169.6,64.8,f
144.2,40.3,f
168.3,69.0,f
168.7,72.8,f
157.4,56.5,f
166.8,77.5,m
167.4,84.4,m
175.7,86.5,m
158.1,60.5,f
155.7,55.2,f
167.3,66.7,f
156.2,55.4,f
155.8,57.9,f
156.6,49.0,f
171.6,70.8,m
175.0,83.1,m
181.6,93.4,m
154.4,54.1,f
162.4,66.4,f
161.2,57.5,f
189.1,96.9,m
166.0,66.6,m
164.8,71.4,f
165.7,73.0,m
178.8,87.9,m
152.2,51.6,f
172.8,82.9,m
164.5,64.1,f
